Plot Title: 9735547_SM_LM_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371, LBL: LM_B1R)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280, LBL: LM_B1R)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166, LBL: LM_B1)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734418, LBL: LM_B1R)","Batt, V (LGR S/N: 9735547)"
Site,Treatment,Date.Time,SWC.right,SWC.left,PAR.up,PAR.left,PAR.right,ST.between,Air.T,RH,,SR.up,SR.left,SR.right,
LM,control,5/24/2019 15:00,0.0998,0.2196,2553.7,2553.7,2553.7,49.737,51.589,43.3,-0.1733,1180.6,59.4,66.9,4.4
LM,control,5/24/2019 15:10,0.0998,0.2196,1041.2,31.2,36.2,50.092,50.664,40.1,-0.1376,496.9,25.6,28.1,4.393
LM,control,5/24/2019 15:20,0.0991,0.2196,1358.7,41.2,48.7,50.356,49.649,43.9,-0.1274,654.4,34.4,39.4,4.442
LM,control,5/24/2019 15:30,0.0998,0.2196,1023.7,28.7,33.7,50.576,52.772,42.7,-0.1172,480.6,23.1,28.1,4.393
LM,control,5/24/2019 15:40,0.0991,0.2196,2136.2,61.2,73.7,50.797,50.268,46.8,-0.1172,1076.9,54.4,63.1,4.393
LM,control,5/24/2019 15:50,0.0991,0.2196,1926.2,53.7,66.2,50.974,53.951,41.2,-0.1121,965.6,48.1,56.9,4.4
LM,control,5/24/2019 16:00,0.0991,0.2196,1968.7,53.7,68.7,51.148,52.029,41.9,-0.0968,988.1,48.1,59.4,4.393
LM,control,5/24/2019 16:10,0.0991,0.2196,1918.7,53.7,66.2,51.325,53.341,43,-0.0866,961.9,48.1,58.1,4.418
LM,control,5/24/2019 16:20,0.0991,0.2189,696.2,18.7,23.7,51.458,51.325,41,-0.0765,333.1,16.9,19.4,4.393
LM,control,5/24/2019 16:30,0.0991,0.2196,1898.7,53.7,66.2,51.633,51.633,42.4,-0.0663,956.9,48.1,58.1,4.393
LM,control,5/24/2019 16:40,0.0991,0.2196,1693.7,46.2,58.7,51.764,53.298,40.8,-0.051,853.1,43.1,51.9,4.418
LM,control,5/24/2019 16:50,0.0983,0.2189,558.7,16.2,18.7,51.852,49.073,43,-0.0408,265.6,13.1,15.6,4.393
LM,control,5/24/2019 17:00,0.0983,0.2189,1368.7,36.2,46.2,51.984,51.852,40.5,-0.0357,671.9,34.4,39.4,4.393
LM,control,5/24/2019 17:10,0.0983,0.2189,1411.2,38.7,48.7,52.072,49.825,42.6,-0.0255,705.6,35.6,43.1,4.406
LM,control,5/24/2019 17:20,0.0983,0.2189,1201.2,31.2,41.2,52.115,48.004,46.5,-0.0255,594.4,29.4,36.9,4.393
LM,control,5/24/2019 17:30,0.0983,0.2182,1188.7,31.2,41.2,52.16,51.94,43.4,-0.0204,595.6,29.4,36.9,4.393
LM,control,5/24/2019 17:40,0.0983,0.2182,1208.7,31.2,41.2,52.203,52.029,41.2,-0.0051,610.6,29.4,38.1,4.406
LM,control,5/24/2019 17:50,0.0983,0.2175,463.7,11.2,16.2,52.203,48.762,42.8,0.0102,219.4,10.6,13.1,4.393
LM,control,5/24/2019 18:00,0.0983,0.2175,1093.7,26.2,38.7,52.203,51.017,41.9,0.0153,561.9,26.9,35.6,4.526
LM,control,5/24/2019 18:10,0.0983,0.2175,953.7,21.2,33.7,52.16,51.325,43.8,0.0255,489.4,21.9,30.6,4.4
LM,control,5/24/2019 18:20,0.0983,0.2175,828.7,16.2,28.7,52.115,50.929,42,0.0459,426.9,18.1,26.9,4.393
LM,control,5/24/2019 18:30,0.0983,0.2175,736.2,16.2,26.2,52.072,49.561,44,0.0612,383.1,15.6,24.4,4.538
LM,control,5/24/2019 18:40,0.0983,0.2167,273.7,6.2,8.7,51.984,45.082,48.7,0.0459,133.1,6.9,6.9,4.4
LM,control,5/24/2019 18:50,0.0983,0.2167,201.2,6.2,6.2,51.94,45.127,51.2,0.0204,93.1,4.4,5.6,4.393
LM,control,5/24/2019 19:00,0.0991,0.2175,136.2,3.7,3.7,51.852,43.9,53.3,0,59.4,3.1,3.1,4.393
LM,control,5/24/2019 19:10,0.0983,0.2167,148.7,3.7,3.7,51.764,43.808,53.4,-0.0204,71.9,3.1,3.1,4.4
LM,control,5/24/2019 19:20,0.0983,0.2167,93.7,1.2,1.2,51.633,43.03,55.3,-0.0306,41.9,0.6,1.9,4.393
LM,control,5/24/2019 19:30,0.0983,0.216,106.2,1.2,3.7,51.501,42.755,56.6,-0.0357,48.1,1.9,1.9,4.406
LM,control,5/24/2019 19:40,0.0991,0.216,93.7,1.2,1.2,51.37,42.294,56.1,-0.0408,44.4,1.9,1.9,4.393
LM,control,5/24/2019 19:50,0.0983,0.216,58.7,1.2,1.2,51.193,41.369,60.3,-0.0357,25.6,0.6,0.6,4.418
LM,control,5/24/2019 20:00,0.0983,0.2153,31.2,1.2,1.2,51.062,40.438,62.2,-0.0459,10.6,0.6,0.6,4.393
LM,control,5/24/2019 20:10,0.0983,0.2153,16.2,1.2,1.2,50.886,39.502,62,-0.0612,5.6,0.6,0.6,4.393
LM,control,5/24/2019 20:20,0.0983,0.2153,6.2,1.2,1.2,50.709,38.368,67.6,-0.0714,3.1,0.6,0.6,4.393
LM,control,5/24/2019 20:30,0.0983,0.2153,1.2,1.2,1.2,50.488,38.937,68,-0.0765,0.6,0.6,0.6,4.393
LM,control,5/24/2019 20:40,0.0983,0.2153,1.2,1.2,1.2,50.268,38.131,70.3,-0.0765,0.6,0.6,0.6,4.393
LM,control,5/24/2019 20:50,0.0983,0.2153,1.2,1.2,1.2,50.092,38.084,71.4,-0.0714,0.6,0.6,0.6,4.393
LM,control,5/24/2019 21:00,0.0983,0.2146,1.2,1.2,1.2,49.87,38.179,70.2,-0.0663,0.6,0.6,0.6,4.393
LM,control,5/24/2019 21:10,0.0983,0.2146,1.2,1.2,1.2,49.649,37.798,72.7,-0.0663,0.6,0.6,0.6,4.393
LM,control,5/24/2019 21:20,0.0983,0.2146,1.2,1.2,1.2,49.471,37.56,74.4,-0.0663,0.6,0.6,0.6,4.387
LM,control,5/24/2019 21:30,0.0983,0.2146,1.2,1.2,1.2,49.249,37.225,75.8,-0.0663,0.6,0.6,0.6,4.387
LM,control,5/24/2019 21:40,0.0976,0.2146,1.2,1.2,1.2,49.028,36.072,76.3,-0.0663,0.6,0.6,0.6,4.381
LM,control,5/24/2019 21:50,0.0983,0.2138,1.2,1.2,1.2,48.85,35.152,78.3,-0.0663,0.6,0.6,0.6,4.381
LM,control,5/24/2019 22:00,0.0976,0.2138,1.2,1.2,1.2,48.583,34.565,77.3,-0.0765,0.6,0.6,0.6,4.381
LM,control,5/24/2019 22:10,0.0983,0.2138,1.2,1.2,1.2,48.405,34.565,79.3,-0.0815,0.6,0.6,0.6,4.381
LM,control,5/24/2019 22:20,0.0983,0.2138,1.2,1.2,1.2,48.182,34.761,78.6,-0.0815,0.6,0.6,0.6,4.381
LM,control,5/24/2019 22:30,0.0983,0.2138,1.2,1.2,1.2,47.959,34.615,78.3,-0.0815,0.6,0.6,0.6,4.381
LM,control,5/24/2019 22:40,0.0983,0.2131,1.2,1.2,1.2,47.736,34.075,79.5,-0.0815,0.6,0.6,0.6,4.381
LM,control,5/24/2019 22:50,0.0983,0.2138,1.2,1.2,1.2,47.512,32.79,83.4,-0.0815,0.6,0.6,0.6,4.381
LM,control,5/24/2019 23:00,0.0983,0.2131,1.2,1.2,1.2,47.289,31.289,86.7,-0.0866,0.6,0.6,0.6,4.381
LM,control,5/24/2019 23:10,0.0983,0.2131,1.2,1.2,1.2,47.064,31.44,85.4,-0.0917,0.6,0.6,0.6,4.381
LM,control,5/24/2019 23:20,0.0983,0.2131,1.2,1.2,1.2,46.886,30.733,87.1,-0.0968,0.6,0.6,0.6,4.381
LM,control,5/24/2019 23:30,0.0983,0.2131,1.2,1.2,1.2,46.616,30.884,85.9,-0.1019,0.6,0.6,0.6,4.381
LM,control,5/24/2019 23:40,0.0983,0.2124,1.2,1.2,1.2,46.436,30.173,87.5,-0.107,0.6,0.6,0.6,4.381
LM,control,5/24/2019 23:50,0.0983,0.2124,1.2,1.2,1.2,46.211,29.304,89.4,-0.107,0.6,0.6,0.6,4.381
LM,control,5/25/2019 0:00,0.0983,0.2124,1.2,1.2,1.2,45.986,28.891,90.3,-0.1121,0.6,0.6,0.6,4.375
LM,control,5/25/2019 0:10,0.0983,0.2124,1.2,1.2,1.2,45.761,29.251,89.2,-0.1121,0.6,0.6,0.6,4.369
LM,control,5/25/2019 0:20,0.0983,0.2124,1.2,1.2,1.2,45.534,29.304,89.7,-0.1121,0.6,0.6,0.6,4.369
LM,control,5/25/2019 0:30,0.0983,0.2124,1.2,1.2,1.2,45.354,28.528,90.5,-0.1121,0.6,0.6,0.6,4.369
LM,control,5/25/2019 0:40,0.0983,0.2124,1.2,1.2,1.2,45.127,28.06,90.8,-0.1121,0.6,0.6,0.6,4.369
LM,control,5/25/2019 0:50,0.0983,0.2116,1.2,1.2,1.2,44.901,27.851,92.9,-0.1121,0.6,0.6,0.6,4.369
LM,control,5/25/2019 1:00,0.0983,0.2116,1.2,1.2,1.2,44.719,28.008,91.5,-0.1172,0.6,0.6,0.6,4.369
LM,control,5/25/2019 1:10,0.0976,0.2116,1.2,1.2,1.2,44.537,27.275,91.2,-0.1172,0.6,0.6,0.6,4.369
LM,control,5/25/2019 1:20,0.0976,0.2116,1.2,1.2,1.2,44.31,26.854,92.6,-0.1172,0.6,0.6,0.6,4.369
LM,control,5/25/2019 1:30,0.0976,0.2116,1.2,1.2,1.2,44.127,26.802,93.3,-0.1172,0.6,0.6,0.6,4.393
LM,control,5/25/2019 1:40,0.0983,0.2116,1.2,1.2,1.2,43.945,27.486,91.1,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 1:50,0.0976,0.2109,1.2,1.2,1.2,43.716,27.223,91.4,-0.1121,0.6,0.6,0.6,4.363
LM,control,5/25/2019 2:00,0.0983,0.2102,1.2,1.2,1.2,43.534,28.269,88.5,-0.1121,0.6,0.6,0.6,4.363
LM,control,5/25/2019 2:10,0.0976,0.2102,1.2,1.2,1.2,43.351,26.589,90.7,-0.1121,0.6,0.6,0.6,4.363
LM,control,5/25/2019 2:20,0.0983,0.2102,1.2,1.2,1.2,43.167,26.589,90.9,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 2:30,0.0976,0.2102,1.2,1.2,1.2,42.984,25.738,92.1,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 2:40,0.0976,0.2102,1.2,1.2,1.2,42.8,26.218,91,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 2:50,0.0976,0.2102,1.2,1.2,1.2,42.663,25.846,92.2,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 3:00,0.0976,0.2102,1.2,1.2,1.2,42.478,25.095,92.3,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 3:10,0.0976,0.2102,1.2,1.2,1.2,42.341,25.578,90.9,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 3:20,0.0976,0.2102,1.2,1.2,1.2,42.156,24.499,93,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 3:30,0.0976,0.2102,1.2,1.2,1.2,42.017,25.578,92.8,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 3:40,0.0976,0.2095,1.2,1.2,1.2,41.878,25.471,92.4,-0.1172,0.6,0.6,0.6,4.393
LM,control,5/25/2019 3:50,0.0976,0.2095,1.2,1.2,1.2,41.693,25.309,92.3,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 4:00,0.0976,0.2102,1.2,1.2,1.2,41.554,25.309,89.6,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 4:10,0.0976,0.2095,1.2,1.2,1.2,41.416,24.12,92,-0.1172,0.6,0.6,0.6,4.363
LM,control,5/25/2019 4:20,0.0976,0.2102,1.2,1.2,1.2,41.277,23.846,92.3,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 4:30,0.0976,0.2095,1.2,1.2,1.2,41.137,23.682,92.1,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 4:40,0.0976,0.2102,1.2,1.2,1.2,40.998,24.717,91.4,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 4:50,0.0976,0.2095,1.2,1.2,1.2,40.858,23.628,91.2,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 5:00,0.0976,0.2095,1.2,1.2,1.2,40.719,23.792,91.6,-0.1223,0.6,0.6,0.6,4.363
LM,control,5/25/2019 5:10,0.0976,0.2095,1.2,1.2,1.2,40.579,23.189,91.9,-0.1274,0.6,0.6,0.6,4.363
LM,control,5/25/2019 5:20,0.0976,0.2095,1.2,1.2,1.2,40.485,23.628,92.4,-0.1274,0.6,0.6,0.6,4.363
LM,control,5/25/2019 5:30,0.0976,0.2095,1.2,1.2,1.2,40.345,24.987,89.8,-0.1274,0.6,0.6,0.6,4.363
LM,control,5/25/2019 5:40,0.0976,0.2095,3.7,1.2,1.2,40.204,23.299,90.8,-0.1274,1.9,0.6,0.6,4.363
LM,control,5/25/2019 5:50,0.0976,0.2095,11.2,1.2,1.2,40.111,24.228,90.5,-0.1274,4.4,0.6,0.6,4.357
LM,control,5/25/2019 6:00,0.0976,0.2095,21.2,1.2,1.2,40.017,23.682,90.5,-0.1274,6.9,0.6,0.6,4.357
LM,control,5/25/2019 6:10,0.0969,0.2087,33.7,1.2,1.2,39.924,23.299,91.7,-0.1274,9.4,0.6,0.6,4.357
LM,control,5/25/2019 6:20,0.0976,0.2095,46.2,1.2,1.2,39.783,23.738,90.3,-0.1223,14.4,0.6,0.6,4.363
LM,control,5/25/2019 6:30,0.0976,0.2087,61.2,1.2,1.2,39.69,24.663,89.9,-0.1223,20.6,0.6,0.6,4.393
LM,control,5/25/2019 6:40,0.0969,0.2087,243.7,16.2,13.7,39.596,24.933,90,-0.1223,175.6,15.6,16.9,4.418
LM,control,5/25/2019 6:50,0.0976,0.2087,311.2,13.7,16.2,39.502,29.199,85.3,-0.1172,201.9,15.6,18.1,4.4
LM,control,5/25/2019 7:00,0.0976,0.2087,388.7,13.7,18.7,39.454,30.276,85.6,-0.1019,226.9,15.6,19.4,4.393
LM,control,5/25/2019 7:10,0.0976,0.2087,463.7,16.2,18.7,39.36,32.193,82.5,-0.0917,250.6,16.9,20.6,4.406
LM,control,5/25/2019 7:20,0.0976,0.2087,538.7,18.7,21.2,39.313,32.841,81.6,-0.0866,293.1,19.4,21.9,4.393
LM,control,5/25/2019 7:30,0.0976,0.2095,598.7,21.2,23.7,39.267,34.565,79.2,-0.0815,329.4,21.9,24.4,4.4
LM,control,5/25/2019 7:40,0.0969,0.2095,671.2,23.7,26.2,39.22,35.928,76.2,-0.0815,365.6,24.4,26.9,4.393
LM,control,5/25/2019 7:50,0.0969,0.2095,743.7,26.2,28.7,39.173,37.369,71.3,-0.0866,400.6,26.9,28.1,4.4
LM,control,5/25/2019 8:00,0.0969,0.2095,813.7,28.7,31.2,39.173,39.313,67.9,-0.0968,436.9,28.1,30.6,4.393
LM,control,5/25/2019 8:10,0.0969,0.2087,886.2,31.2,33.7,39.22,40.998,62.9,-0.1019,471.9,30.6,33.1,4.442
LM,control,5/25/2019 8:20,0.0969,0.2095,968.7,33.7,36.2,39.313,42.386,62.1,-0.107,513.1,33.1,35.6,4.393
LM,control,5/25/2019 8:30,0.0976,0.2095,1066.2,38.7,41.2,39.407,44.627,59.3,-0.107,568.1,36.9,39.4,4.406
LM,control,5/25/2019 8:40,0.0976,0.2102,843.7,28.7,31.2,39.549,42.708,60.1,-0.107,428.1,26.9,28.1,4.393
LM,control,5/25/2019 8:50,0.0969,0.2102,598.7,18.7,21.2,39.736,43.396,57.6,-0.1019,298.1,16.9,19.4,4.418
LM,control,5/25/2019 9:00,0.0969,0.2109,663.7,21.2,23.7,39.924,42.847,59.2,-0.1019,330.6,19.4,21.9,4.393
LM,control,5/25/2019 9:10,0.0962,0.2109,811.2,28.7,28.7,40.111,44.764,57.1,-0.0968,405.6,24.4,26.9,4.418
LM,control,5/25/2019 9:20,0.0962,0.2109,1251.2,43.7,46.2,40.345,45.669,53,-0.0917,644.4,40.6,43.1,4.4
LM,control,5/25/2019 9:30,0.0962,0.2116,1586.2,56.2,58.7,40.579,46.661,50.5,-0.0866,836.9,53.1,56.9,4.442
LM,control,5/25/2019 9:40,0.0962,0.2109,1423.7,51.2,53.7,40.811,49.604,45.4,-0.0866,728.1,46.9,49.4,4.4
LM,control,5/25/2019 9:50,0.0962,0.2116,1603.7,56.2,58.7,41.09,52.597,39.9,-0.0866,833.1,53.1,55.6,4.393
LM,control,5/25/2019 10:00,0.0969,0.2116,1611.2,56.2,58.7,41.322,53.078,38.4,-0.0866,833.1,53.1,55.6,4.406
LM,control,5/25/2019 10:10,0.0969,0.2124,1638.7,58.7,58.7,41.601,51.501,38.1,-0.0917,848.1,54.4,55.6,4.393
LM,control,5/25/2019 10:20,0.0969,0.2124,1681.2,58.7,61.2,41.925,53.166,39.8,-0.1019,871.9,55.6,56.9,4.418
LM,control,5/25/2019 10:30,0.0969,0.2124,1728.7,61.2,63.7,42.294,54.082,35.4,-0.1019,898.1,56.9,58.1,4.4
LM,control,5/25/2019 10:40,0.0969,0.2124,1771.2,63.7,63.7,42.663,54.561,33.6,-0.107,923.1,58.1,59.4,4.538
LM,control,5/25/2019 10:50,0.0976,0.2131,1801.2,63.7,63.7,43.075,55.647,31.6,-0.107,950.6,58.1,60.6,4.4
LM,control,5/25/2019 11:00,0.0969,0.2131,1843.7,66.2,66.2,43.443,55.602,33.1,-0.1121,975.6,59.4,60.6,4.393
LM,control,5/25/2019 11:10,0.0969,0.2138,1876.2,66.2,66.2,43.853,57.42,28.3,-0.1172,1000.6,60.6,60.6,4.418
LM,control,5/25/2019 11:20,0.0969,0.2138,1906.2,66.2,66.2,44.31,56.901,28.4,-0.1172,1023.1,60.6,61.9,4.4
LM,control,5/25/2019 11:30,0.0969,0.2146,1933.7,66.2,68.7,44.719,57.29,29.9,-0.1172,1046.9,61.9,63.1,4.442
LM,control,5/25/2019 11:40,0.0976,0.2146,1968.7,68.7,68.7,45.172,57.42,28,-0.1172,1066.9,61.9,63.1,4.4
LM,control,5/25/2019 11:50,0.0976,0.2146,1991.2,68.7,68.7,45.624,58.582,25.3,-0.1172,1075.6,61.9,63.1,4.393
LM,control,5/25/2019 12:00,0.0976,0.2153,2103.7,71.2,73.7,46.076,61.547,27.6,-0.1172,1144.4,65.6,66.9,4.418
LM,control,5/25/2019 12:10,0.0976,0.2153,2078.7,71.2,73.7,46.526,57.893,26.5,-0.1172,1131.9,64.4,65.6,4.4
LM,control,5/25/2019 12:20,0.0969,0.2153,2216.2,73.7,76.2,46.974,60.26,25.6,-0.1172,1208.1,68.1,69.4,4.526
LM,control,5/25/2019 12:30,0.0969,0.216,2253.7,76.2,78.7,47.422,59.916,27.5,-0.1172,1221.9,68.1,70.6,4.4
LM,control,5/25/2019 12:40,0.0969,0.216,2288.7,76.2,78.7,47.871,59.702,26,-0.1172,1233.1,69.4,70.6,4.393
LM,control,5/25/2019 12:50,0.0976,0.216,2361.2,78.7,81.2,48.315,60.647,24.2,-0.1172,1273.1,70.6,73.1,4.418
LM,control,5/25/2019 13:00,0.0969,0.216,1596.2,51.2,56.2,48.762,59.873,24.6,-0.1172,799.4,44.4,45.6,4.4
LM,control,5/25/2019 13:10,0.0976,0.2167,2553.7,86.2,91.2,49.204,63.561,24.8,-0.1121,1276.9,78.1,79.4,4.393
LM,control,5/25/2019 13:20,0.0976,0.2167,2553.7,83.7,88.7,49.604,62.704,24.6,-0.107,1276.9,74.4,76.9,4.406
LM,control,5/25/2019 13:30,0.0976,0.2175,2471.2,78.7,86.2,50.002,63.775,25.7,-0.1019,1276.9,71.9,74.4,4.393
LM,control,5/25/2019 13:40,0.0983,0.2167,2553.7,83.7,91.2,50.4,63.005,23.3,-0.1019,1276.9,76.9,79.4,4.46
LM,control,5/25/2019 13:50,0.0976,0.2175,973.7,31.2,33.7,50.797,60.346,24.2,-0.107,474.4,26.9,28.1,4.4
LM,control,5/25/2019 14:00,0.0976,0.2175,1548.7,48.7,53.7,51.193,61.462,28.5,-0.1121,773.1,41.9,45.6,4.393
LM,control,5/25/2019 14:10,0.0976,0.2175,2433.7,73.7,83.7,51.589,65.102,24,-0.107,1276.9,66.9,71.9,4.418
LM,control,5/25/2019 14:20,0.0976,0.2175,1986.2,61.2,68.7,51.94,61.934,24.6,-0.0968,1038.1,55.6,59.4,4.393
LM,control,5/25/2019 14:30,0.0976,0.2175,723.7,21.2,23.7,52.335,60.775,23.7,-0.0968,346.9,19.4,20.6,4.393
LM,control,5/25/2019 14:40,0.0969,0.2175,638.7,18.7,21.2,52.641,60.217,20.8,-0.0917,296.9,15.6,18.1,4.4
LM,control,5/25/2019 14:50,0.0969,0.2182,861.2,23.7,28.7,52.903,58.928,23.2,-0.0866,401.9,20.6,23.1,4.393
LM,control,5/25/2019 15:00,0.0969,0.2175,723.7,21.2,23.7,53.166,60.26,20.2,-0.0663,346.9,19.4,20.6,4.526
LM,control,5/25/2019 15:10,0.0969,0.2175,796.2,23.7,26.2,53.341,59.916,23.5,-0.0612,383.1,20.6,23.1,4.4
LM,control,5/25/2019 15:20,0.0969,0.2175,1716.2,48.7,58.7,53.515,61.804,24.8,-0.0459,859.4,44.4,50.6,4.418
LM,control,5/25/2019 15:30,0.0969,0.2175,1423.7,41.2,48.7,53.69,66.6,20,-0.0051,691.9,35.6,40.6,4.43
LM,control,5/25/2019 15:40,0.0969,0.2175,708.7,21.2,23.7,53.776,61.977,23.2,-0.0051,341.9,18.1,20.6,4.4
LM,control,5/25/2019 15:50,0.0969,0.2182,721.2,21.2,23.7,53.908,61.506,24,-0.0255,346.9,18.1,20.6,4.393
LM,control,5/25/2019 16:00,0.0969,0.2175,678.7,18.7,23.7,54.037,59.616,25.1,-0.0204,326.9,18.1,19.4,4.418
LM,control,5/25/2019 16:10,0.0962,0.2182,663.7,18.7,23.7,54.212,62.533,26.6,-0.0255,319.4,18.1,19.4,4.4
LM,control,5/25/2019 16:20,0.0962,0.2182,796.2,23.7,26.2,54.3,60.647,25.6,-0.0357,374.4,20.6,23.1,4.393
LM,control,5/25/2019 16:30,0.0962,0.2175,1251.2,36.2,43.7,54.43,62.406,25.8,-0.0204,623.1,33.1,38.1,4.418
LM,control,5/25/2019 16:40,0.0962,0.2182,1546.2,43.7,51.2,54.516,62.406,28.3,-0.0204,776.9,40.6,46.9,4.4
LM,control,5/25/2019 16:50,0.0962,0.2182,691.2,21.2,23.7,54.604,57.85,30.4,-0.0306,338.1,18.1,20.6,4.393
LM,control,5/25/2019 17:00,0.0962,0.2182,531.2,16.2,18.7,54.691,57.765,30.7,-0.0408,254.4,14.4,15.6,4.418
LM,control,5/25/2019 17:10,0.0962,0.2175,328.7,8.7,11.2,54.777,55.647,31.9,-0.051,148.1,8.1,8.1,4.4
LM,control,5/25/2019 17:20,0.0962,0.2175,456.2,13.7,16.2,54.82,55.515,33.2,-0.0612,218.1,11.9,13.1,4.393
LM,control,5/25/2019 17:30,0.0962,0.2175,413.7,11.2,13.7,54.865,55.949,31.2,-0.0612,194.4,10.6,11.9,4.514
LM,control,5/25/2019 17:40,0.0962,0.2175,616.2,16.2,21.2,54.865,57.376,29.4,-0.0561,290.6,14.4,18.1,4.4
LM,control,5/25/2019 17:50,0.0962,0.2167,396.2,11.2,13.7,54.82,56.165,33,-0.0561,184.4,9.4,10.6,4.393
LM,control,5/25/2019 18:00,0.0962,0.216,431.2,11.2,13.7,54.777,55.992,31.2,-0.051,203.1,10.6,11.9,4.393
LM,control,5/25/2019 18:10,0.0962,0.2167,338.7,8.7,11.2,54.691,56.469,32,-0.051,161.9,8.1,9.4,4.406
LM,control,5/25/2019 18:20,0.0962,0.216,331.2,8.7,11.2,54.648,54.952,31.8,-0.0561,160.6,8.1,9.4,4.4
LM,control,5/25/2019 18:30,0.0962,0.2167,368.7,8.7,11.2,54.561,56.642,31.5,-0.0561,178.1,8.1,10.6,4.406
LM,control,5/25/2019 18:40,0.0962,0.216,261.2,6.2,8.7,54.43,57.29,28.3,-0.051,125.6,6.9,6.9,4.418
LM,control,5/25/2019 18:50,0.0962,0.216,321.2,8.7,11.2,54.343,54.3,33,-0.051,158.1,8.1,9.4,4.4
LM,control,5/25/2019 19:00,0.0962,0.216,266.2,6.2,8.7,54.212,54.3,33.7,-0.0561,131.9,6.9,6.9,4.393
LM,control,5/25/2019 19:10,0.0954,0.216,486.2,8.7,18.7,54.126,56.34,32.9,-0.0612,270.6,9.4,18.1,4.442
LM,control,5/25/2019 19:20,0.0954,0.216,376.2,6.2,13.7,53.994,54.387,33.7,-0.0561,214.4,6.9,14.4,4.4
LM,control,5/25/2019 19:30,0.0962,0.2153,126.2,1.2,3.7,53.865,51.148,36.8,-0.0612,59.4,3.1,3.1,4.393
LM,control,5/25/2019 19:40,0.0954,0.216,126.2,1.2,3.7,53.733,48.85,44.4,-0.0714,66.9,3.1,3.1,4.393
LM,control,5/25/2019 19:50,0.0954,0.216,106.2,1.2,3.7,53.602,48.315,45.1,-0.0815,61.9,3.1,3.1,4.4
LM,control,5/25/2019 20:00,0.0954,0.2153,61.2,1.2,1.2,53.427,48.004,42.6,-0.0866,38.1,1.9,1.9,4.393
LM,control,5/25/2019 20:10,0.0954,0.2153,33.7,1.2,1.2,53.253,45.896,48.5,-0.0917,21.9,0.6,0.6,4.406
LM,control,5/25/2019 20:20,0.0954,0.2153,13.7,1.2,1.2,53.121,43.351,56.1,-0.0968,8.1,0.6,0.6,4.393
LM,control,5/25/2019 20:30,0.0954,0.2146,3.7,1.2,1.2,52.903,42.064,56.2,-0.107,1.9,0.6,0.6,4.393
LM,control,5/25/2019 20:40,0.0954,0.2138,1.2,1.2,1.2,52.729,41.97,55.2,-0.1121,0.6,0.6,0.6,4.393
LM,control,5/25/2019 20:50,0.0954,0.2146,1.2,1.2,1.2,52.554,40.485,58.3,-0.1172,0.6,0.6,0.6,4.393
LM,control,5/25/2019 21:00,0.0954,0.2138,1.2,1.2,1.2,52.335,41.416,54.5,-0.1223,0.6,0.6,0.6,4.393
LM,control,5/25/2019 21:10,0.0954,0.2131,1.2,1.2,1.2,52.115,39.267,58.5,-0.1223,0.6,0.6,0.6,4.393
LM,control,5/25/2019 21:20,0.0954,0.2138,1.2,1.2,1.2,51.895,39.124,59.8,-0.1274,0.6,0.6,0.6,4.393
LM,control,5/25/2019 21:30,0.0954,0.2138,1.2,1.2,1.2,51.678,39.267,58.5,-0.1274,0.6,0.6,0.6,4.393
LM,control,5/25/2019 21:40,0.0954,0.2131,1.2,1.2,1.2,51.413,37.656,61,-0.1325,0.6,0.6,0.6,4.393
