Plot Title: 9735539_SM_LM_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"PAR, uE (LGR S/N: 9735539, SEN S/N: 9700886)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700897)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700898)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9719147, LBL: LM_B2)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9719458)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9721325)","RH, % (LGR S/N: 9735539, SEN S/N: 9721325)","Voltage, V (LGR S/N: 9735539, SEN S/N: 9725487)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734410)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734417)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145934, LBL: LM_B2R)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145936, LBL: LM_B2L)"
Site,Treatment,Date,Time,PAR.up,PAR.left,PAR.right,ST,SR.right,Air.T,RH,,SR.up,SR.left,SWC.right,SWC.left
LM,early,5/16/2019,16:00,2553.7,2241.2,2553.7,55.863,19.4,60.69,31.4,-0.1988,266.9,16.9,0.3231,0.3144
LM,early,5/16/2019,16:10,523.7,13.7,18.7,55.647,16.9,61.547,32.4,-0.1988,241.9,14.4,0.3231,0.3148
LM,early,5/16/2019,16:20,541.2,13.7,18.7,55.429,18.1,60.948,32.1,-0.1988,254.4,15.6,0.3228,0.3144
LM,early,5/16/2019,16:30,538.7,13.7,18.7,55.213,18.1,59.229,30.6,-0.1988,253.1,15.6,0.3231,0.3148
LM,early,5/16/2019,16:40,946.2,26.2,31.2,54.952,31.9,59.83,31.2,-0.1988,455.6,28.1,0.3228,0.3156
LM,early,5/16/2019,16:50,1248.7,33.7,43.7,54.734,41.9,64.117,27.5,-0.1988,605.6,36.9,0.3228,0.3144
LM,early,5/16/2019,17:00,1146.2,31.2,38.7,54.561,36.9,64.76,28.7,-0.1988,558.1,33.1,0.3231,0.3148
LM,early,5/16/2019,17:10,598.7,16.2,21.2,54.561,19.4,61.205,29.5,-0.1988,281.9,16.9,0.3235,0.3144
LM,early,5/16/2019,17:20,551.2,13.7,18.7,54.516,18.1,60.433,28.6,-0.1988,259.4,16.9,0.3235,0.3144
LM,early,5/16/2019,17:30,508.7,13.7,18.7,54.43,16.9,61.677,29.2,-0.1988,240.6,14.4,0.3231,0.3144
LM,early,5/16/2019,17:40,641.2,18.7,21.2,54.3,20.6,59.486,32.9,-0.1988,305.6,19.4,0.3231,0.3144
LM,early,5/16/2019,17:50,366.2,8.7,13.7,54.169,11.9,60.733,32.8,-0.1988,168.1,10.6,0.3231,0.3144
LM,early,5/16/2019,18:00,268.7,6.2,8.7,54.037,8.1,56.944,35.3,-0.1988,124.4,6.9,0.3235,0.314
LM,early,5/16/2019,18:10,158.7,3.7,3.7,53.865,4.4,57.506,32.4,-0.1988,71.9,4.4,0.3235,0.3148
LM,early,5/16/2019,18:20,133.7,3.7,3.7,53.602,3.1,55.038,41.1,-0.1988,59.4,3.1,0.3235,0.3151
LM,early,5/16/2019,18:30,171.2,3.7,3.7,53.341,5.6,54.734,37.2,-0.1988,80.6,4.4,0.3235,0.3144
LM,early,5/16/2019,18:40,183.7,3.7,6.2,53.035,5.6,54.212,42.1,-0.1988,86.9,4.4,0.3235,0.3144
LM,early,5/16/2019,18:50,181.2,3.7,6.2,52.729,5.6,55.602,38.3,-0.1988,86.9,4.4,0.3235,0.314
LM,early,5/16/2019,19:00,93.7,1.2,1.2,52.466,3.1,54.082,42.1,-0.1988,43.1,1.9,0.3235,0.314
LM,early,5/16/2019,19:10,101.2,1.2,1.2,52.203,3.1,53.865,39.5,-0.1988,49.4,1.9,0.3235,0.314
LM,early,5/16/2019,19:20,81.2,1.2,1.2,51.895,1.9,52.772,41.3,-0.1988,39.4,1.9,0.3235,0.314
LM,early,5/16/2019,19:30,63.7,1.2,1.2,51.633,1.9,51.501,43,-0.1988,30.6,0.6,0.3231,0.314
LM,early,5/16/2019,19:40,28.7,1.2,1.2,51.413,0.6,52.903,37.7,-0.1988,13.1,0.6,0.3235,0.3136
LM,early,5/16/2019,19:50,21.2,1.2,1.2,51.148,0.6,50.488,44.3,-0.1988,9.4,0.6,0.3235,0.3136
LM,early,5/16/2019,20:00,6.2,1.2,1.2,50.886,0.6,48.983,47.3,-0.1988,3.1,0.6,0.3235,0.3136
LM,early,5/16/2019,20:10,1.2,1.2,1.2,50.664,0.6,49.161,43.9,-0.1988,0.6,0.6,0.3231,0.3136
LM,early,5/16/2019,20:20,1.2,1.2,1.2,50.445,0.6,50.886,41.7,-0.1988,0.6,0.6,0.3231,0.3136
LM,early,5/16/2019,20:30,1.2,1.2,1.2,50.18,0.6,51.148,44,-0.1988,0.6,0.6,0.3231,0.314
LM,early,5/16/2019,20:40,1.2,1.2,1.2,49.959,0.6,51.062,46.5,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/16/2019,20:50,1.2,1.2,1.2,49.737,0.6,50.002,49.4,-0.1988,0.6,0.6,0.3231,0.314
LM,early,5/16/2019,21:00,1.2,1.2,1.2,49.561,0.6,49.428,52.3,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/16/2019,21:10,1.2,1.2,1.2,49.294,0.6,43.488,71.4,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/16/2019,21:20,1.2,1.2,1.2,49.116,0.6,41.878,80.4,-0.1988,0.6,0.6,0.3235,0.314
LM,early,5/16/2019,21:30,1.2,1.2,1.2,48.85,0.6,41.322,83.8,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/16/2019,21:40,1.2,1.2,1.2,48.583,0.6,39.83,86.1,-0.1988,0.6,0.6,0.324,0.3144
LM,early,5/16/2019,21:50,1.2,1.2,1.2,48.315,0.6,40.579,84,-0.1988,0.6,0.6,0.3235,0.314
LM,early,5/16/2019,22:00,1.2,1.2,1.2,48.004,0.6,39.643,85.5,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/16/2019,22:10,1.2,1.2,1.2,47.736,0.6,39.313,88,-0.1988,0.6,0.6,0.3235,0.314
LM,early,5/16/2019,22:20,1.2,1.2,1.2,47.467,0.6,39.69,88.2,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/16/2019,22:30,1.2,1.2,1.2,47.244,0.6,40.017,88.6,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/16/2019,22:40,1.2,1.2,1.2,47.064,0.6,39.924,89.8,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/16/2019,22:50,1.2,1.2,1.2,46.886,0.6,39.783,91.3,-0.1988,0.6,0.6,0.3228,0.3133
LM,early,5/16/2019,23:00,1.2,1.2,1.2,46.706,0.6,39.549,93,-0.1988,0.6,0.6,0.3235,0.3133
LM,early,5/16/2019,23:10,1.2,1.2,1.2,46.526,0.6,39.549,91.7,-0.1988,0.6,0.6,0.3231,0.3128
LM,early,5/16/2019,23:20,1.2,1.2,1.2,46.346,0.6,39.643,93.6,-0.1988,0.6,0.6,0.324,0.3133
LM,early,5/16/2019,23:30,1.2,1.2,1.2,46.211,0.6,40.298,90.8,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/16/2019,23:40,1.2,1.2,1.2,46.076,0.6,39.924,91.9,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/16/2019,23:50,1.2,1.2,1.2,45.986,0.6,38.984,93.9,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,0:00,1.2,1.2,1.2,45.896,0.6,39.643,93.4,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,0:10,1.2,1.2,1.2,45.806,0.6,38.984,93.7,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,0:20,1.2,1.2,1.2,45.714,0.6,39.407,92.6,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,0:30,1.2,1.2,1.2,45.579,0.6,38.748,93.9,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,0:40,1.2,1.2,1.2,45.534,0.6,38.984,93.8,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,0:50,1.2,1.2,1.2,45.399,0.6,39.22,92.5,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,1:00,1.2,1.2,1.2,45.307,0.6,38.606,94.4,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,1:10,1.2,1.2,1.2,45.217,0.6,38.795,94.2,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,1:20,1.2,1.2,1.2,45.172,0.6,38.557,94.1,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,1:30,1.2,1.2,1.2,45.082,0.6,38.131,95.5,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,1:40,1.2,1.2,1.2,44.946,0.6,37.893,94.1,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,1:50,1.2,1.2,1.2,44.856,0.6,39.643,92.4,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,2:00,1.2,1.2,1.2,44.719,0.6,39.454,90.3,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,2:10,1.2,1.2,1.2,44.627,0.6,38.415,89.9,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,2:20,1.2,1.2,1.2,44.492,0.6,37.702,91.1,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,2:30,1.2,1.2,1.2,44.355,0.6,36.554,93.9,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,2:40,1.2,1.2,1.2,44.263,0.6,37.751,91.8,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,2:50,1.2,1.2,1.2,44.127,0.6,37.56,91.7,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,3:00,1.2,1.2,1.2,43.99,0.6,37.893,90.4,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,3:10,1.2,1.2,1.2,43.9,0.6,37.656,92.5,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,3:20,1.2,1.2,1.2,43.808,0.6,37.751,91.9,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,3:30,1.2,1.2,1.2,43.716,0.6,37.274,93.5,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,3:40,1.2,1.2,1.2,43.624,0.6,37.609,92.2,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,3:50,1.2,1.2,1.2,43.534,0.6,37.274,93.3,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,4:00,1.2,1.2,1.2,43.534,0.6,37.893,91,-0.1988,0.6,0.6,0.3244,0.314
LM,early,5/17/2019,4:10,1.2,1.2,1.2,43.488,0.6,37.56,89,-0.1988,0.6,0.6,0.3244,0.3144
LM,early,5/17/2019,4:20,1.2,1.2,1.2,43.443,0.6,37.751,89.8,-0.1988,0.6,0.6,0.324,0.314
LM,early,5/17/2019,4:30,1.2,1.2,1.2,43.351,0.6,38.273,86.5,-0.1988,0.6,0.6,0.324,0.3144
LM,early,5/17/2019,4:40,1.2,1.2,1.2,43.306,0.6,38.131,84.5,-0.1988,0.6,0.6,0.324,0.3144
LM,early,5/17/2019,4:50,1.2,1.2,1.2,43.259,0.6,37.702,85.2,-0.1988,0.6,0.6,0.324,0.3144
LM,early,5/17/2019,5:00,1.2,1.2,1.2,43.167,0.6,37.225,85.7,-0.1988,0.6,0.6,0.324,0.3144
LM,early,5/17/2019,5:10,1.2,1.2,1.2,43.167,0.6,37.369,85.2,-0.1988,0.6,0.6,0.324,0.3144
LM,early,5/17/2019,5:20,1.2,1.2,1.2,43.075,0.6,36.939,86,-0.1988,0.6,0.6,0.324,0.314
LM,early,5/17/2019,5:30,1.2,1.2,1.2,42.984,0.6,37.081,85.1,-0.1988,0.6,0.6,0.324,0.314
LM,early,5/17/2019,5:40,1.2,1.2,1.2,42.939,0.6,37.465,82.9,-0.1988,0.6,0.6,0.3235,0.314
LM,early,5/17/2019,5:50,1.2,1.2,1.2,42.847,0.6,38.084,80.8,-0.1988,0.6,0.6,0.3235,0.314
LM,early,5/17/2019,6:00,3.7,1.2,1.2,42.755,0.6,37.989,80.7,-0.1988,0.6,0.6,0.3235,0.314
LM,early,5/17/2019,6:10,6.2,1.2,1.2,42.708,0.6,37.702,81.1,-0.1988,1.9,0.6,0.3235,0.314
LM,early,5/17/2019,6:20,8.7,1.2,1.2,42.57,0.6,38.131,79.3,-0.1988,3.1,0.6,0.3235,0.314
LM,early,5/17/2019,6:30,16.2,1.2,1.2,42.525,0.6,38.511,77.3,-0.1988,8.1,0.6,0.3235,0.3136
LM,early,5/17/2019,6:40,26.2,1.2,1.2,42.433,0.6,38.322,77.8,-0.1988,10.6,0.6,0.3235,0.3136
LM,early,5/17/2019,6:50,53.7,1.2,1.2,42.386,0.6,38.415,78.2,-0.1988,24.4,0.6,0.3235,0.3136
LM,early,5/17/2019,7:00,61.2,1.2,1.2,42.341,0.6,38.368,79.2,-0.1988,29.4,0.6,0.3235,0.3136
LM,early,5/17/2019,7:10,53.7,1.2,1.2,42.341,0.6,38.415,78.1,-0.1988,25.6,0.6,0.3235,0.314
LM,early,5/17/2019,7:20,56.2,1.2,1.2,42.294,0.6,38.511,78.5,-0.1988,26.9,0.6,0.3235,0.3136
LM,early,5/17/2019,7:30,66.2,1.2,1.2,42.247,0.6,38.557,78.2,-0.1988,30.6,0.6,0.3235,0.3136
LM,early,5/17/2019,7:40,216.2,3.7,3.7,42.247,5.6,38.606,80.6,-0.1988,106.9,4.4,0.324,0.3136
LM,early,5/17/2019,7:50,188.7,3.7,3.7,42.247,4.4,37.702,87.2,-0.1988,91.9,4.4,0.3235,0.3136
LM,early,5/17/2019,8:00,123.7,1.2,1.2,42.247,3.1,35.685,87.1,-0.1988,58.1,1.9,0.3235,0.3136
LM,early,5/17/2019,8:10,176.2,3.7,3.7,42.247,4.4,33.435,91.5,-0.1988,85.6,3.1,0.3235,0.3136
LM,early,5/17/2019,8:20,148.7,1.2,3.7,42.156,3.1,33.138,93.9,-0.1988,70.6,3.1,0.324,0.314
LM,early,5/17/2019,8:30,201.2,3.7,3.7,41.97,4.4,34.565,93.5,-0.1988,98.1,4.4,0.3235,0.314
LM,early,5/17/2019,8:40,196.2,3.7,3.7,41.878,4.4,35.346,88.1,-0.1988,94.4,4.4,0.3235,0.314
LM,early,5/17/2019,8:50,148.7,3.7,3.7,41.787,3.1,34.419,88.1,-0.1988,71.9,3.1,0.3235,0.314
LM,early,5/17/2019,9:00,131.2,1.2,3.7,41.74,3.1,33.78,88.3,-0.1988,61.9,1.9,0.3235,0.314
LM,early,5/17/2019,9:10,271.2,6.2,6.2,41.601,6.9,34.516,89.1,-0.1988,133.1,5.6,0.3235,0.314
LM,early,5/17/2019,9:20,631.2,13.7,16.2,41.463,16.9,37.179,86.7,-0.1988,318.1,16.9,0.3235,0.3136
LM,early,5/17/2019,9:30,493.7,11.2,11.2,41.463,14.4,39.549,79.9,-0.1988,245.6,13.1,0.3235,0.314
LM,early,5/17/2019,9:40,333.7,6.2,6.2,41.648,8.1,38.842,81.6,-0.1988,161.9,8.1,0.3235,0.314
LM,early,5/17/2019,9:50,223.7,3.7,3.7,41.878,5.6,37.13,83.1,-0.1988,103.1,4.4,0.3235,0.3144
LM,early,5/17/2019,10:00,126.2,1.2,3.7,41.97,3.1,34.174,87.9,-0.1988,55.6,1.9,0.324,0.3144
LM,early,5/17/2019,10:10,216.2,6.2,8.7,42.017,5.6,33.237,91.4,-0.1988,91.9,4.4,0.324,0.3144
LM,early,5/17/2019,10:20,203.7,3.7,6.2,41.878,4.4,33.534,92,-0.1988,86.9,3.1,0.324,0.314
LM,early,5/17/2019,10:30,201.2,3.7,3.7,41.787,4.4,33.485,91.3,-0.1988,84.4,3.1,0.324,0.3136
LM,early,5/17/2019,10:40,251.2,6.2,6.2,41.693,5.6,33.089,93.1,-0.1988,109.4,4.4,0.324,0.3136
LM,early,5/17/2019,10:50,253.7,6.2,6.2,41.554,5.6,33.386,91.9,-0.1988,114.4,4.4,0.324,0.3133
LM,early,5/17/2019,11:00,296.2,6.2,8.7,41.416,6.9,33.188,91.5,-0.1988,135.6,5.6,0.324,0.3136
LM,early,5/17/2019,11:10,478.7,8.7,11.2,41.322,11.9,33.681,93.5,-0.1988,224.4,10.6,0.324,0.3136
LM,early,5/17/2019,11:20,501.2,8.7,11.2,41.277,11.9,35.733,91.8,-0.1988,239.4,10.6,0.3244,0.314
LM,early,5/17/2019,11:30,723.7,13.7,16.2,41.322,19.4,36.361,91.8,-0.1988,354.4,16.9,0.3249,0.314
LM,early,5/17/2019,11:40,906.2,16.2,21.2,41.463,24.4,38.273,89.9,-0.1988,444.4,21.9,0.3249,0.314
LM,early,5/17/2019,11:50,1118.7,21.2,26.2,41.693,30.6,41.369,87.4,-0.1988,559.4,28.1,0.3249,0.3144
LM,early,5/17/2019,12:00,1223.7,23.7,28.7,42.064,34.4,40.298,85.9,-0.1988,605.6,30.6,0.3249,0.3144
LM,early,5/17/2019,12:10,1016.2,18.7,26.2,42.616,28.1,40.764,85.8,-0.1988,501.9,25.6,0.3244,0.3144
LM,early,5/17/2019,12:20,888.7,18.7,21.2,43.075,25.6,41.508,85.9,-0.1988,434.4,23.1,0.3249,0.3148
LM,early,5/17/2019,12:30,1601.2,33.7,43.7,43.488,48.1,40.345,81.2,-0.1988,796.9,41.9,0.3249,0.3144
LM,early,5/17/2019,12:40,1433.7,31.2,41.2,43.763,44.4,40.858,78.6,-0.1988,719.4,39.4,0.3244,0.3144
LM,early,5/17/2019,12:50,1198.7,28.7,36.2,43.99,38.1,41.97,73.4,-0.1988,595.6,34.4,0.3244,0.3144
LM,early,5/17/2019,13:00,1078.7,26.2,33.7,44.218,35.6,42.109,72.2,-0.1988,534.4,31.9,0.3244,0.3144
LM,early,5/17/2019,13:10,936.2,23.7,31.2,44.445,30.6,40.345,73.8,-0.1988,459.4,28.1,0.3249,0.3144
LM,early,5/17/2019,13:20,863.7,21.2,28.7,44.627,28.1,40.064,68.9,-0.1988,416.9,24.4,0.3244,0.3144
LM,early,5/17/2019,13:30,1221.2,28.7,41.2,44.719,40.6,39.124,74.7,-0.1988,603.1,34.4,0.3244,0.3144
LM,early,5/17/2019,13:40,678.7,16.2,21.2,44.764,21.9,38.937,76.5,-0.1988,321.9,19.4,0.324,0.3144
LM,early,5/17/2019,13:50,831.2,21.2,26.2,44.809,26.9,38.7,72.7,-0.1988,405.6,23.1,0.324,0.3144
LM,early,5/17/2019,14:00,1621.2,38.7,53.7,44.901,55.6,42.663,68.8,-0.1988,821.9,45.6,0.3235,0.3144
LM,early,5/17/2019,14:10,1116.2,26.2,38.7,45.082,38.1,42.525,75.8,-0.1988,549.4,31.9,0.324,0.3144
LM,early,5/17/2019,14:20,588.7,16.2,21.2,45.354,19.4,40.345,73.3,-0.1988,278.1,16.9,0.3244,0.3144
LM,early,5/17/2019,14:30,291.2,6.2,8.7,45.624,8.1,38.415,71.4,-0.1988,129.4,6.9,0.3231,0.3144
LM,early,5/17/2019,14:40,623.7,16.2,21.2,45.714,19.4,37.846,76.3,-0.1988,295.6,16.9,0.3231,0.3144
LM,early,5/17/2019,14:50,1021.2,26.2,36.2,45.624,34.4,40.485,69.7,-0.1988,494.4,29.4,0.3235,0.3144
LM,early,5/17/2019,15:00,553.7,13.7,18.7,45.624,18.1,41.508,68.8,-0.1988,263.1,15.6,0.3231,0.3144
LM,early,5/17/2019,15:10,841.2,21.2,28.7,45.669,28.1,39.783,70.9,-0.1988,406.9,23.1,0.3231,0.3144
LM,early,5/17/2019,15:20,1621.2,38.7,53.7,45.714,55.6,43.671,70.9,-0.1988,811.9,43.1,0.3231,0.3144
LM,early,5/17/2019,15:30,923.7,23.7,31.2,45.761,31.9,42.017,68.5,-0.1988,451.9,26.9,0.3228,0.3144
LM,early,5/17/2019,15:40,1386.2,33.7,48.7,45.896,49.4,44.582,59.1,-0.1988,695.6,38.1,0.3231,0.3144
LM,early,5/17/2019,15:50,398.7,11.2,13.7,46.031,14.4,40.858,60.9,-0.1988,193.1,11.9,0.3231,0.3144
LM,early,5/17/2019,16:00,1791.2,43.7,61.2,46.076,61.9,43.214,66.6,-0.1988,898.1,46.9,0.3231,0.3144
LM,early,5/17/2019,16:10,951.2,23.7,33.7,46.076,31.9,45.307,59.8,-0.1988,464.4,26.9,0.3228,0.3144
LM,early,5/17/2019,16:20,483.7,11.2,16.2,46.256,16.9,43.03,55.6,-0.1988,234.4,14.4,0.3228,0.3144
LM,early,5/17/2019,16:30,453.7,11.2,16.2,46.391,15.6,40.764,58.4,-0.1988,219.4,13.1,0.3231,0.3144
LM,early,5/17/2019,16:40,558.7,13.7,18.7,46.391,19.4,39.502,63.6,-0.1988,275.6,15.6,0.3228,0.3148
LM,early,5/17/2019,16:50,351.2,8.7,11.2,46.301,11.9,36.747,71.5,-0.1988,173.1,10.6,0.3228,0.3148
LM,early,5/17/2019,17:00,711.2,18.7,26.2,46.076,25.6,36.41,81.5,-0.1988,351.9,21.9,0.3228,0.3144
LM,early,5/17/2019,17:10,1108.7,31.2,36.2,45.896,36.9,41.925,70.4,-0.1988,554.4,33.1,0.3228,0.3144
LM,early,5/17/2019,17:20,951.2,26.2,31.2,45.806,30.6,41.23,61.8,-0.1988,464.4,28.1,0.3228,0.3144
LM,early,5/17/2019,17:30,963.7,28.7,31.2,45.714,30.6,40.438,62.1,-0.1988,484.4,30.6,0.3228,0.3144
LM,early,5/17/2019,17:40,731.2,21.2,21.2,45.714,23.1,42.939,58.8,-0.1988,356.9,23.1,0.3228,0.3144
LM,early,5/17/2019,17:50,778.7,23.7,23.7,45.624,24.4,41.277,60,-0.1988,390.6,25.6,0.3228,0.3144
LM,early,5/17/2019,18:00,711.2,23.7,21.2,45.579,23.1,43.351,58.2,-0.1988,349.4,24.4,0.3223,0.314
LM,early,5/17/2019,18:10,686.2,23.7,21.2,45.489,21.9,41.601,56.5,-0.1988,324.4,25.6,0.3228,0.314
LM,early,5/17/2019,18:20,401.2,13.7,11.2,45.399,11.9,41.463,56.5,-0.1988,191.9,14.4,0.3231,0.314
LM,early,5/17/2019,18:30,123.7,1.2,3.7,45.307,3.1,37.321,61.9,-0.1988,49.4,1.9,0.3231,0.3144
LM,early,5/17/2019,18:40,73.7,1.2,1.2,45.172,1.9,37.225,63.8,-0.1988,31.9,0.6,0.3231,0.314
LM,early,5/17/2019,18:50,38.7,1.2,1.2,44.946,0.6,32.891,76.6,-0.1988,16.9,0.6,0.3235,0.314
LM,early,5/17/2019,19:00,21.2,1.2,1.2,44.627,0.6,30.429,88.5,-0.1988,8.1,0.6,0.3244,0.314
LM,early,5/17/2019,19:10,16.2,1.2,3.7,44.173,1.9,29.817,91.8,-0.1988,6.9,0.6,0.324,0.314
LM,early,5/17/2019,19:20,51.2,11.2,23.7,43.716,11.9,29.867,92.8,-0.1988,25.6,8.1,0.324,0.314
LM,early,5/17/2019,19:30,63.7,18.7,36.2,43.259,19.4,30.429,93,-0.1988,31.9,11.9,0.3235,0.314
LM,early,5/17/2019,19:40,41.2,11.2,23.7,42.939,13.1,29.251,93,-0.1988,23.1,8.1,0.3235,0.314
LM,early,5/17/2019,19:50,13.7,3.7,6.2,42.708,1.9,29.354,93.6,-0.1988,4.4,0.6,0.3249,0.314
LM,early,5/17/2019,20:00,11.2,3.7,6.2,42.433,1.9,28.684,93.6,-0.1988,4.4,0.6,0.3231,0.314
LM,early,5/17/2019,20:10,3.7,1.2,1.2,42.247,0.6,29.149,93.6,-0.1988,0.6,0.6,0.3223,0.314
LM,early,5/17/2019,20:20,1.2,1.2,1.2,42.064,0.6,29.097,94.2,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/17/2019,20:30,1.2,1.2,1.2,41.97,0.6,28.269,93.9,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,20:40,1.2,1.2,1.2,41.787,0.6,27.381,94.6,-0.1988,0.6,0.6,0.3223,0.314
LM,early,5/17/2019,20:50,1.2,1.2,1.2,41.648,0.6,27.381,94.6,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,21:00,1.2,1.2,1.2,41.508,0.6,27.851,94.5,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,21:10,1.2,1.2,1.2,41.322,0.6,27.851,95,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,21:20,1.2,1.2,1.2,41.23,0.6,28.425,95,-0.1988,0.6,0.6,0.3223,0.314
LM,early,5/17/2019,21:30,1.2,1.2,1.2,41.09,0.6,28.269,94.5,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,21:40,1.2,1.2,1.2,40.951,0.6,28.008,94.7,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,21:50,1.2,1.2,1.2,40.858,0.6,27.538,95.1,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,22:00,1.2,1.2,1.2,40.764,0.6,27.223,95.5,-0.1988,0.6,0.6,0.3223,0.314
LM,early,5/17/2019,22:10,1.2,1.2,1.2,40.672,0.6,27.486,95.7,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,22:20,1.2,1.2,1.2,40.579,0.6,27.327,95.7,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/17/2019,22:30,1.2,1.2,1.2,40.485,0.6,27.694,95.9,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/17/2019,22:40,1.2,1.2,1.2,40.392,0.6,28.008,96.2,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/17/2019,22:50,1.2,1.2,1.2,40.298,0.6,28.164,95.6,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,23:00,1.2,1.2,1.2,40.204,0.6,28.164,96,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/17/2019,23:10,1.2,1.2,1.2,40.158,0.6,28.425,96.3,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/17/2019,23:20,1.2,1.2,1.2,40.111,0.6,28.684,96.3,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/17/2019,23:30,1.2,1.2,1.2,40.064,0.6,28.58,96.2,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/17/2019,23:40,1.2,1.2,1.2,40.017,0.6,29.097,96.1,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/17/2019,23:50,1.2,1.2,1.2,39.97,0.6,29.046,95.8,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,0:00,1.2,1.2,1.2,39.924,0.6,29.149,96.1,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,0:10,1.2,1.2,1.2,39.83,0.6,28.994,96.2,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,0:20,1.2,1.2,1.2,39.83,0.6,28.735,96.3,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,0:30,1.2,1.2,1.2,39.783,0.6,28.735,96.5,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,0:40,1.2,1.2,1.2,39.736,0.6,28.839,96.8,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,0:50,1.2,1.2,1.2,39.69,0.6,28.684,96.5,-0.1988,0.6,0.6,0.3219,0.3136
