Plot Title: 9735547_PHb1,,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734418)","Batt, V (LGR S/N: 9735547)"
Site,Treatment,Date,Time,SWC.right,SWC.left,PAR.up,PAR.left,PAR.right,ST,Air.T,RH,V,SR.up,SR.left,SR.right,V
LM,control,4/26/2018,15:00,0.1572,0.2465,1701.2,43.7,58.7,43.99,57.893,25.8,-0.1835,844.4,36.9,45.6,4.393
LM,control,4/26/2018,15:10,0.1572,0.2436,1658.7,43.7,56.2,44.31,56.426,25.7,-0.1835,823.1,36.9,44.4,4.393
LM,control,4/26/2018,15:20,0.1572,0.2429,1613.7,43.7,56.2,44.627,56.772,23.9,-0.1835,804.4,35.6,44.4,4.4
LM,control,4/26/2018,15:30,0.1572,0.2429,1571.2,41.2,56.2,44.946,56.944,26.7,-0.1835,779.4,34.4,43.1,4.393
LM,control,4/26/2018,15:40,0.1564,0.2429,1526.2,41.2,53.7,45.217,56.512,24.2,-0.1835,756.9,34.4,41.9,4.418
LM,control,4/26/2018,15:50,0.1564,0.2429,1473.7,41.2,53.7,45.489,57.031,27.2,-0.1835,731.9,34.4,41.9,4.393
LM,control,4/26/2018,16:00,0.1564,0.2422,1423.7,38.7,51.2,45.714,56.469,25.9,-0.1835,705.6,33.1,40.6,4.418
LM,control,4/26/2018,16:10,0.1564,0.2422,1371.2,38.7,51.2,45.986,56.988,25.5,-0.1835,679.4,33.1,40.6,4.393
LM,control,4/26/2018,16:20,0.1572,0.2422,1313.7,38.7,48.7,46.166,56.426,25.6,-0.1835,650.6,31.9,39.4,4.418
LM,control,4/26/2018,16:30,0.1564,0.2414,1258.7,36.2,46.2,46.346,56.858,24.4,-0.1835,621.9,31.9,38.1,4.4
LM,control,4/26/2018,16:40,0.1564,0.2414,1191.2,33.7,43.7,46.526,56.988,25.1,-0.1835,591.9,30.6,36.9,4.526
LM,control,4/26/2018,16:50,0.1564,0.2407,1131.2,33.7,41.2,46.661,56.165,25.5,-0.1835,560.6,29.4,35.6,4.4
LM,control,4/26/2018,17:00,0.1564,0.2407,1068.7,31.2,38.7,46.796,57.333,25.8,-0.1835,529.4,28.1,33.1,4.393
LM,control,4/26/2018,17:10,0.155,0.2407,1003.7,28.7,36.2,46.841,55.256,24.2,-0.1835,498.1,26.9,31.9,4.4
LM,control,4/26/2018,17:20,0.1557,0.2407,936.2,26.2,33.7,46.886,56.035,25.8,-0.1835,464.4,24.4,29.4,4.393
LM,control,4/26/2018,17:30,0.1557,0.24,868.7,26.2,33.7,46.931,55.819,24.5,-0.1835,431.9,23.1,28.1,4.4
LM,control,4/26/2018,17:40,0.1557,0.24,798.7,23.7,31.2,46.886,56.251,24.7,-0.1835,399.4,20.6,26.9,4.393
LM,control,4/26/2018,17:50,0.155,0.24,728.7,18.7,28.7,46.841,56.34,25.8,-0.1835,364.4,18.1,24.4,4.412
LM,control,4/26/2018,18:00,0.155,0.2392,658.7,16.2,26.2,46.751,55.472,25.3,-0.1835,330.6,15.6,23.1,4.393
LM,control,4/26/2018,18:10,0.1557,0.2392,586.2,13.7,23.7,46.661,54.777,22.5,-0.1835,296.9,13.1,20.6,4.418
LM,control,4/26/2018,18:20,0.155,0.2392,516.2,11.2,21.2,46.571,54.604,26.4,-0.1835,263.1,10.6,18.1,4.393
LM,control,4/26/2018,18:30,0.155,0.2385,446.2,8.7,18.7,46.391,53.121,26.3,-0.1835,229.4,9.4,16.9,4.418
LM,control,4/26/2018,18:40,0.155,0.2378,378.7,6.2,16.2,46.211,52.16,26.7,-0.1835,196.9,8.1,14.4,4.4
LM,control,4/26/2018,18:50,0.1543,0.2371,313.7,6.2,11.2,45.986,49.914,29.3,-0.1835,165.6,4.4,11.9,4.43
LM,control,4/26/2018,19:00,0.1557,0.2371,93.7,1.2,1.2,45.761,46.974,34.1,-0.1835,31.9,0.6,0.6,4.4
LM,control,4/26/2018,19:10,0.155,0.2363,81.2,1.2,1.2,45.489,42.247,41.8,-0.1835,28.1,0.6,0.6,4.393
LM,control,4/26/2018,19:20,0.1557,0.2363,66.2,1.2,1.2,45.217,41.322,42.4,-0.1835,23.1,0.6,0.6,4.406
LM,control,4/26/2018,19:30,0.1557,0.2363,51.2,1.2,1.2,44.901,40.438,44.9,-0.1835,19.4,0.6,0.6,4.4
LM,control,4/26/2018,19:40,0.1557,0.2363,33.7,1.2,1.2,44.627,40.392,44.3,-0.1835,13.1,0.6,0.6,4.418
LM,control,4/26/2018,19:50,0.155,0.2349,16.2,1.2,1.2,44.263,39.549,45.5,-0.1835,6.9,0.6,0.6,4.4
LM,control,4/26/2018,20:00,0.1557,0.2342,3.7,1.2,1.2,43.99,37.465,50.9,-0.1886,1.9,0.6,0.6,4.393
LM,control,4/26/2018,20:10,0.155,0.2342,1.2,1.2,1.2,43.624,37.225,51.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,20:20,0.1543,0.2334,1.2,1.2,1.2,43.306,36.891,51.9,-0.1886,0.6,0.6,0.6,4.393
LM,control,4/26/2018,20:30,0.155,0.2334,1.2,1.2,1.2,42.984,36.41,53,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,20:40,0.155,0.2334,1.2,1.2,1.2,42.616,36.41,52.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,20:50,0.1543,0.2334,1.2,1.2,1.2,42.247,35.346,54.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,21:00,0.155,0.2327,1.2,1.2,1.2,41.925,34.32,56.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,21:10,0.155,0.2327,1.2,1.2,1.2,41.601,34.174,56.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,21:20,0.1543,0.2327,1.2,1.2,1.2,41.277,32.392,61.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,21:30,0.155,0.232,1.2,1.2,1.2,40.951,31.942,62.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,21:40,0.1543,0.2313,1.2,1.2,1.2,40.672,31.842,63.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,21:50,0.1543,0.2313,1.2,1.2,1.2,40.345,31.743,63.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,22:00,0.1543,0.2298,1.2,1.2,1.2,40.017,32.243,60.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/26/2018,22:10,0.1543,0.2298,1.2,1.2,1.2,39.736,30.173,67,-0.1835,0.6,0.6,0.6,4.387
LM,control,4/26/2018,22:20,0.1543,0.2298,1.2,1.2,1.2,39.454,29.046,70.6,-0.1886,0.6,0.6,0.6,4.393
LM,control,4/26/2018,22:30,0.1543,0.2291,1.2,1.2,1.2,39.173,28.373,72,-0.1835,0.6,0.6,0.6,4.387
LM,control,4/26/2018,22:40,0.1543,0.2291,1.2,1.2,1.2,38.889,28.684,72.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/26/2018,22:50,0.1543,0.2284,1.2,1.2,1.2,38.606,28.164,73.1,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/26/2018,23:00,0.1543,0.2276,1.2,1.2,1.2,38.322,26.695,76.3,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/26/2018,23:10,0.1543,0.2284,1.2,1.2,1.2,38.131,29.097,70.5,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/26/2018,23:20,0.1543,0.2276,1.2,1.2,1.2,37.846,27.955,73,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/26/2018,23:30,0.1543,0.2276,1.2,1.2,1.2,37.656,27.275,74.9,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/26/2018,23:40,0.1543,0.2269,1.2,1.2,1.2,37.416,28.216,72.4,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/26/2018,23:50,0.1543,0.2269,1.2,1.2,1.2,37.179,25.952,77.3,-0.1886,0.6,0.6,0.6,4.381
LM,control,4/27/2018,0:00,0.1543,0.2262,1.2,1.2,1.2,37.035,26.537,76.1,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/27/2018,0:10,0.1543,0.2262,1.2,1.2,1.2,36.795,28.373,71.3,-0.1835,0.6,0.6,0.6,4.369
LM,control,4/27/2018,0:20,0.1535,0.2254,1.2,1.2,1.2,36.651,26.748,73.4,-0.1835,0.6,0.6,0.6,4.375
LM,control,4/27/2018,0:30,0.1535,0.2254,1.2,1.2,1.2,36.459,26.483,74.6,-0.1835,0.6,0.6,0.6,4.369
LM,control,4/27/2018,0:40,0.1528,0.2247,1.2,1.2,1.2,36.313,26.218,74.8,-0.1835,0.6,0.6,0.6,4.369
LM,control,4/27/2018,0:50,0.1528,0.2247,1.2,1.2,1.2,36.12,24.879,78.4,-0.1835,0.6,0.6,0.6,4.369
LM,control,4/27/2018,1:00,0.1528,0.2247,1.2,1.2,1.2,35.976,25.686,75.5,-0.1886,0.6,0.6,0.6,4.369
LM,control,4/27/2018,1:10,0.1535,0.224,1.2,1.2,1.2,35.83,25.898,74.2,-0.1886,0.6,0.6,0.6,4.369
LM,control,4/27/2018,1:20,0.1528,0.224,1.2,1.2,1.2,35.685,26.537,71.7,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,1:30,0.1521,0.2233,1.2,1.2,1.2,35.541,26.377,71.6,-0.1835,0.6,0.6,0.6,4.369
LM,control,4/27/2018,1:40,0.1528,0.2233,1.2,1.2,1.2,35.443,23.409,78.1,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,1:50,0.1528,0.2233,1.2,1.2,1.2,35.298,24.391,76.5,-0.1886,0.6,0.6,0.6,4.369
LM,control,4/27/2018,2:00,0.1528,0.2225,1.2,1.2,1.2,35.152,24.066,75.5,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,2:10,0.1528,0.2218,1.2,1.2,1.2,35.055,22.912,79.8,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,2:20,0.1528,0.2211,1.2,1.2,1.2,34.957,23.353,78.8,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,2:30,0.1528,0.2211,1.2,1.2,1.2,34.858,23.133,78.2,-0.1835,0.6,0.6,0.6,4.381
LM,control,4/27/2018,2:40,0.1521,0.2211,1.2,1.2,1.2,34.761,23.792,76.4,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,2:50,0.1521,0.2204,1.2,1.2,1.2,34.664,22.525,79.7,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,3:00,0.1521,0.2204,1.2,1.2,1.2,34.565,24.12,76.5,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,3:10,0.1521,0.2204,1.2,1.2,1.2,34.468,25.201,73.9,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,3:20,0.1521,0.2196,1.2,1.2,1.2,34.371,23.353,78.1,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,3:30,0.1514,0.2196,1.2,1.2,1.2,34.272,22.858,76.7,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,3:40,0.1521,0.2189,1.2,1.2,1.2,34.223,23.738,76.5,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,3:50,0.1514,0.2189,1.2,1.2,1.2,34.174,24.391,74.3,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,4:00,0.1514,0.2189,1.2,1.2,1.2,34.075,24.553,73.8,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,4:10,0.1514,0.2189,1.2,1.2,1.2,33.978,23.133,75.4,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,4:20,0.1514,0.2182,1.2,1.2,1.2,33.928,23.463,76,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,4:30,0.1506,0.2175,1.2,1.2,1.2,33.879,21.632,79.4,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,4:40,0.1506,0.2175,1.2,1.2,1.2,33.78,21.967,79.4,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,4:50,0.1506,0.2175,1.2,1.2,1.2,33.732,20.444,82.1,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,5:00,0.1506,0.2167,1.2,1.2,1.2,33.681,20.898,79.3,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,5:10,0.1506,0.2167,1.2,1.2,1.2,33.584,21.967,79.8,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,5:20,0.1506,0.2167,1.2,1.2,1.2,33.534,23.077,77.6,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,5:30,0.1506,0.216,1.2,1.2,1.2,33.485,20.215,80.6,-0.1835,0.6,0.6,0.6,4.363
LM,control,4/27/2018,5:40,0.1499,0.216,1.2,1.2,1.2,33.435,23.518,76.1,-0.1886,0.6,0.6,0.6,4.393
LM,control,4/27/2018,5:50,0.1499,0.216,1.2,1.2,1.2,33.386,23.572,73.9,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,6:00,0.1499,0.216,1.2,1.2,1.2,33.336,21.967,77.5,-0.1886,0.6,0.6,0.6,4.363
LM,control,4/27/2018,6:10,0.1499,0.2153,6.2,1.2,1.2,33.287,22.413,76.2,-0.1835,3.1,0.6,0.6,4.363
LM,control,4/27/2018,6:20,0.1499,0.2153,18.7,1.2,1.2,33.237,20.898,79.5,-0.1835,9.4,0.6,0.6,4.363
LM,control,4/27/2018,6:30,0.1499,0.2153,36.2,1.2,1.2,33.188,21.519,80.1,-0.1886,16.9,0.6,0.6,4.363
LM,control,4/27/2018,6:40,0.1499,0.2153,56.2,1.2,1.2,33.138,23.738,75.4,-0.1835,23.1,0.6,0.6,4.393
LM,control,4/27/2018,6:50,0.1499,0.2153,76.2,1.2,1.2,33.089,23.628,74.7,-0.1886,29.4,0.6,0.6,4.418
LM,control,4/27/2018,7:00,0.1492,0.2146,211.2,8.7,8.7,33.089,22.248,79.8,-0.1835,126.9,6.9,9.4,4.406
LM,control,4/27/2018,7:10,0.1499,0.2153,326.2,11.2,13.7,33.039,29.662,73.7,-0.1835,199.4,10.6,14.4,4.393
LM,control,4/27/2018,7:20,0.1499,0.216,403.7,11.2,16.2,32.99,31.39,70,-0.1886,236.9,11.9,16.9,4.484
LM,control,4/27/2018,7:30,0.1492,0.216,478.7,13.7,18.7,32.99,33.978,67.4,-0.1886,274.4,13.1,18.1,4.4
LM,control,4/27/2018,7:40,0.1492,0.216,561.2,16.2,21.2,32.99,35.733,64.1,-0.1886,314.4,15.6,20.6,4.393
LM,control,4/27/2018,7:50,0.1492,0.2167,636.2,16.2,23.7,32.99,36.313,60.1,-0.1835,350.6,18.1,21.9,4.4
LM,control,4/27/2018,8:00,0.1492,0.216,713.7,18.7,26.2,32.94,38.842,53.3,-0.1835,386.9,19.4,24.4,4.4
LM,control,4/27/2018,8:10,0.1492,0.216,791.2,23.7,28.7,32.94,41.925,44.3,-0.1835,424.4,21.9,26.9,4.393
LM,control,4/27/2018,8:20,0.1492,0.2153,866.2,23.7,31.2,32.891,42.433,45.8,-0.1835,461.9,23.1,29.4,4.4
LM,control,4/27/2018,8:30,0.1492,0.2153,938.7,26.2,33.7,32.891,43.853,43.3,-0.1835,496.9,25.6,31.9,4.418
LM,control,4/27/2018,8:40,0.1492,0.2153,1008.7,28.7,36.2,32.891,45.851,42.4,-0.1835,529.4,26.9,34.4,4.4
LM,control,4/27/2018,8:50,0.1499,0.216,1081.2,31.2,38.7,32.891,46.481,41.4,-0.1835,565.6,29.4,35.6,4.418
LM,control,4/27/2018,9:00,0.1492,0.216,1148.7,33.7,43.7,32.94,47.736,37.5,-0.1835,599.4,30.6,38.1,4.393
LM,control,4/27/2018,9:10,0.1499,0.216,1216.2,33.7,43.7,32.891,47.422,39.9,-0.1835,628.1,31.9,39.4,4.442
LM,control,4/27/2018,9:20,0.1499,0.216,1278.7,36.2,46.2,32.891,49.338,35.1,-0.1835,660.6,34.4,41.9,4.418
LM,control,4/27/2018,9:30,0.1499,0.2167,1338.7,38.7,48.7,32.891,51.764,29.7,-0.1835,689.4,35.6,43.1,4.4
LM,control,4/27/2018,9:40,0.1499,0.2167,1401.2,41.2,51.2,32.891,52.903,30.7,-0.1835,720.6,38.1,45.6,4.406
LM,control,4/27/2018,9:50,0.1506,0.2167,1456.2,43.7,53.7,32.891,54.3,31.5,-0.1835,744.4,39.4,46.9,4.393
LM,control,4/27/2018,10:00,0.1506,0.2175,1506.2,43.7,56.2,32.94,52.817,29,-0.1835,769.4,40.6,48.1,4.406
LM,control,4/27/2018,10:10,0.1506,0.2189,1558.7,46.2,56.2,32.99,54.255,27.3,-0.1835,795.6,43.1,49.4,4.393
LM,control,4/27/2018,10:20,0.1514,0.2204,1596.2,48.7,58.7,33.138,55.125,26.4,-0.1835,811.9,43.1,50.6,4.406
LM,control,4/27/2018,10:30,0.1514,0.2211,1648.7,48.7,61.2,33.336,55.992,29.6,-0.1835,844.4,45.6,53.1,4.393
LM,control,4/27/2018,10:40,0.1514,0.2225,1698.7,51.2,61.2,33.633,57.117,28.4,-0.1835,864.4,46.9,54.4,4.418
LM,control,4/27/2018,10:50,0.1521,0.224,1768.7,53.7,63.7,34.027,56.556,25.4,-0.1835,900.6,49.4,55.6,4.393
LM,control,4/27/2018,11:00,0.1521,0.2247,1778.7,53.7,63.7,34.468,59.014,28.9,-0.1835,910.6,49.4,56.9,4.418
LM,control,4/27/2018,11:10,0.1521,0.2247,1573.7,48.7,56.2,35.006,59.529,26.9,-0.1835,800.6,43.1,49.4,4.393
LM,control,4/27/2018,11:20,0.1514,0.2254,1723.7,51.2,63.7,35.541,56.988,26.7,-0.1835,880.6,46.9,54.4,4.418
LM,control,4/27/2018,11:30,0.1514,0.2262,1656.2,51.2,61.2,36.12,57.247,26.5,-0.1835,845.6,45.6,50.6,4.418
LM,control,4/27/2018,11:40,0.1528,0.2262,1758.7,53.7,63.7,36.747,59.788,29.6,-0.1835,901.9,48.1,54.4,4.418
LM,control,4/27/2018,11:50,0.1528,0.2269,1936.2,58.7,71.2,37.369,59.916,24.6,-0.1835,1003.1,53.1,59.4,4.393
LM,control,4/27/2018,12:00,0.1521,0.2269,1886.2,56.2,68.7,37.989,59.745,24.5,-0.1835,974.4,50.6,56.9,4.418
LM,control,4/27/2018,12:10,0.1528,0.2276,1966.2,58.7,71.2,38.606,62.406,23.2,-0.1835,1025.6,53.1,60.6,4.393
LM,control,4/27/2018,12:20,0.1528,0.2284,1706.2,51.2,61.2,39.22,62.919,22.5,-0.1835,878.1,44.4,50.6,4.43
LM,control,4/27/2018,12:30,0.1528,0.2284,2006.2,61.2,71.2,39.877,62.148,22.3,-0.1835,1051.9,53.1,60.6,4.393
LM,control,4/27/2018,12:40,0.1528,0.2284,1938.7,56.2,68.7,40.485,61.891,21,-0.1835,1011.9,50.6,58.1,4.538
LM,control,4/27/2018,12:50,0.1535,0.2291,1983.7,58.7,68.7,41.09,62.49,21.6,-0.1835,1030.6,51.9,58.1,4.393
LM,control,4/27/2018,13:00,0.1528,0.2291,1941.2,56.2,68.7,41.693,62.276,21,-0.1835,1009.4,50.6,56.9,4.526
LM,control,4/27/2018,13:10,0.1535,0.2291,1898.7,56.2,66.2,42.247,61.419,20.3,-0.1835,984.4,48.1,55.6,4.4
LM,control,4/27/2018,13:20,0.1543,0.2291,1973.7,56.2,68.7,42.8,61.333,20.4,-0.1835,1021.9,50.6,56.9,4.393
LM,control,4/27/2018,13:30,0.1535,0.2291,1668.7,48.7,58.7,43.306,61.462,20.2,-0.1835,853.1,41.9,48.1,4.4
LM,control,4/27/2018,13:40,0.1543,0.2291,1856.2,53.7,63.7,43.763,62.447,20.3,-0.1835,949.4,45.6,53.1,4.393
LM,control,4/27/2018,13:50,0.1535,0.2291,1846.2,51.2,63.7,44.218,62.919,18.5,-0.1835,935.6,44.4,51.9,4.4
LM,control,4/27/2018,14:00,0.1543,0.2298,1841.2,51.2,63.7,44.627,63.903,18.8,-0.1835,931.9,44.4,51.9,4.393
LM,control,4/27/2018,14:10,0.1543,0.2298,1861.2,51.2,63.7,45.082,63.005,19,-0.1835,938.1,44.4,51.9,4.4
LM,control,4/27/2018,14:20,0.1535,0.2298,1856.2,51.2,63.7,45.489,62.62,21.3,-0.1835,931.9,43.1,50.6,4.393
LM,control,4/27/2018,14:30,0.1535,0.2298,1808.7,48.7,61.2,45.896,63.775,20.3,-0.1835,903.1,41.9,49.4,4.418
LM,control,4/27/2018,14:40,0.1535,0.2298,1776.2,48.7,61.2,46.256,63.475,24.3,-0.1835,883.1,40.6,48.1,4.393
LM,control,4/27/2018,14:50,0.1543,0.2298,1736.2,46.2,58.7,46.661,65.102,21.4,-0.1835,864.4,39.4,46.9,4.418
LM,control,4/27/2018,15:00,0.1535,0.2291,1696.2,46.2,58.7,46.974,63.048,21,-0.1835,845.6,39.4,45.6,4.393
LM,control,4/27/2018,15:10,0.1543,0.2291,1658.7,43.7,58.7,47.334,64.375,21,-0.1835,824.4,38.1,45.6,4.43
LM,control,4/27/2018,15:20,0.1543,0.2298,1618.7,43.7,56.2,47.647,64.033,19.7,-0.1835,804.4,36.9,44.4,4.393
LM,control,4/27/2018,15:30,0.1535,0.2291,1576.2,43.7,56.2,47.959,64.332,19.9,-0.1835,780.6,35.6,43.1,4.393
LM,control,4/27/2018,15:40,0.1535,0.2291,1528.7,41.2,53.7,48.272,63.689,21.7,-0.1835,755.6,34.4,41.9,4.4
LM,control,4/27/2018,15:50,0.1535,0.2291,1476.2,41.2,53.7,48.538,63.475,20.6,-0.1835,730.6,34.4,41.9,4.393
LM,control,4/27/2018,16:00,0.1543,0.2291,1426.2,41.2,51.2,48.805,63.133,21.8,-0.1835,706.9,34.4,41.9,4.4
LM,control,4/27/2018,16:10,0.1543,0.2291,1371.2,38.7,51.2,49.028,62.834,20,-0.1835,676.9,33.1,40.6,4.393
LM,control,4/27/2018,16:20,0.1535,0.2284,1311.2,38.7,48.7,49.204,63.176,21.2,-0.1835,649.4,33.1,39.4,4.406
LM,control,4/27/2018,16:30,0.1535,0.2284,1248.7,36.2,46.2,49.383,63.39,22,-0.1835,618.1,31.9,38.1,4.393
LM,control,4/27/2018,16:40,0.1535,0.2276,1188.7,36.2,43.7,49.516,61.848,23.1,-0.1835,586.9,30.6,36.9,4.418
LM,control,4/27/2018,16:50,0.1535,0.2276,1081.2,33.7,38.7,49.649,62.362,21.9,-0.1835,535.6,28.1,33.1,4.393
LM,control,4/27/2018,17:00,0.1543,0.2276,1003.7,31.2,36.2,49.782,61.804,20.6,-0.1835,493.1,26.9,31.9,4.418
LM,control,4/27/2018,17:10,0.1543,0.2276,1031.2,31.2,38.7,49.825,61.891,21.4,-0.1835,511.9,26.9,31.9,4.393
LM,control,4/27/2018,17:20,0.1535,0.2269,953.7,28.7,36.2,49.87,61.848,20.6,-0.1835,470.6,25.6,30.6,4.393
LM,control,4/27/2018,17:30,0.1535,0.2269,628.7,18.7,23.7,49.87,60.904,22.1,-0.1835,300.6,15.6,19.4,4.4
LM,control,4/27/2018,17:40,0.1535,0.2269,811.2,23.7,31.2,49.825,60.217,20.1,-0.1835,405.6,21.9,26.9,4.393
LM,control,4/27/2018,17:50,0.1535,0.2262,751.2,21.2,28.7,49.782,62.148,20.5,-0.1835,374.4,19.4,25.6,4.406
LM,control,4/27/2018,18:00,0.1535,0.2269,588.7,16.2,23.7,49.692,60.861,20.5,-0.1835,293.1,14.4,20.6,4.393
LM,control,4/27/2018,18:10,0.1535,0.2262,566.2,13.7,21.2,49.604,61.677,20.4,-0.1835,286.9,13.1,20.6,4.418
LM,control,4/27/2018,18:20,0.1535,0.2254,186.2,3.7,6.2,49.471,57.074,20.9,-0.1835,78.1,3.1,4.4,4.393
LM,control,4/27/2018,18:30,0.1535,0.2254,283.7,6.2,11.2,49.294,55.213,20.3,-0.1835,139.4,5.6,9.4,4.418
LM,control,4/27/2018,18:40,0.1528,0.2254,351.2,6.2,13.7,49.161,55.819,23,-0.1835,184.4,8.1,13.1,4.4
LM,control,4/27/2018,18:50,0.1528,0.2247,233.7,3.7,8.7,48.938,52.992,26,-0.1835,115.6,4.4,6.9,4.43
LM,control,4/27/2018,19:00,0.1528,0.2247,193.7,3.7,6.2,48.717,49.516,31.1,-0.1835,96.9,3.1,5.6,4.4
LM,control,4/27/2018,19:10,0.1528,0.224,133.7,1.2,3.7,48.493,48.004,33,-0.1835,61.9,1.9,3.1,4.393
LM,control,4/27/2018,19:20,0.1521,0.2233,101.2,1.2,3.7,48.227,46.436,35.6,-0.1835,46.9,1.9,1.9,4.43
LM,control,4/27/2018,19:30,0.1521,0.2233,73.7,1.2,1.2,47.959,46.526,33,-0.1835,34.4,0.6,0.6,4.4
LM,control,4/27/2018,19:40,0.1528,0.2233,48.7,1.2,1.2,47.691,45.624,35.1,-0.1835,25.6,0.6,0.6,4.418
LM,control,4/27/2018,19:50,0.1521,0.2233,23.7,1.2,1.2,47.377,45.307,34.9,-0.1835,14.4,0.6,0.6,4.4
LM,control,4/27/2018,20:00,0.1521,0.2233,6.2,1.2,1.2,47.109,44.173,36.3,-0.1835,3.1,0.6,0.6,4.393
LM,control,4/27/2018,20:10,0.1485,0.2225,1.2,1.2,1.2,46.796,42.755,38.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,20:20,0.1521,0.2225,1.2,1.2,1.2,46.481,41.925,41.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,20:30,0.1514,0.2218,1.2,1.2,1.2,46.166,41.463,41.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,20:40,0.1485,0.2218,1.2,1.2,1.2,45.896,39.596,45,-0.1835,0.6,0.6,0.6,4.418
LM,control,4/27/2018,20:50,0.1477,0.2218,1.2,1.2,1.2,45.534,38.511,48.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,21:00,0.1506,0.2211,1.2,1.2,1.2,45.262,37.465,51.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,21:10,0.147,0.2204,1.2,1.2,1.2,44.946,35.879,55.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,21:20,0.1463,0.2204,1.2,1.2,1.2,44.627,36.795,53.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,21:30,0.1463,0.2204,1.2,1.2,1.2,44.31,36.169,54.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,21:40,0.1463,0.2204,1.2,1.2,1.2,44.037,35.2,55.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,4/27/2018,21:50,0.147,0.2204,1.2,1.2,1.2,43.716,33.831,60,-0.1835,0.6,0.6,0.6,4.393
