Plot Title: 9735540_SM_LSA_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 2012372, LBL: LSA_B1R)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9680600, LBL: LSA_B1)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700883, LBL: LSA_B1R)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700893, LBL: LSA_B1L)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L )","RH, % (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L)","Voltage, V (LGR S/N: 9735540, SEN S/N: 9725488)","Current, mA (LGR S/N: 9735540, SEN S/N: 9725488)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734398, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734403, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734407, LBL: LSA_B1R)","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 10769153, LBL: LSA_B1R)"
Site,Treatment,Date.Time,SWC.right,ST,PAR.right,PAR.left,PAR.up,Air.T,RH,,,SR.left,SR.up,SR.right,SWC.between
LSA,control,6/28/2019 14:09,0.1281,68.443,2553.7,2553.7,1318.7,76.464,38.7,-0.2039,0,115.6,1213.1,115.6,0.078
LSA,control,6/28/2019 14:19,0.1288,68.999,86.2,76.2,1631.2,75.16,38.9,-0.1835,0,114.4,1218.1,115.6,0.0787
LSA,control,6/28/2019 14:29,0.1288,69.427,53.7,48.7,1861.2,74.295,40.2,-0.1121,0,74.4,791.9,75.6,0.078
LSA,control,6/28/2019 14:39,0.1281,69.514,33.7,31.2,811.2,67.928,45,-0.0153,0,48.1,510.6,49.4,0.0773
LSA,control,6/28/2019 14:49,0.1281,69.427,63.7,56.2,606.2,67.5,43.5,0,0,86.9,904.4,86.9,0.078
LSA,control,6/28/2019 14:59,0.1274,69.386,76.2,66.2,2173.7,70.974,43.1,0.0204,0,100.6,1098.1,103.1,0.0773
LSA,control,6/28/2019 15:09,0.1281,69.343,68.7,61.2,738.7,71.834,45,0.0765,0.0063,93.1,1034.4,95.6,0.0773
LSA,control,6/28/2019 15:19,0.1274,69.386,66.2,58.7,383.7,70.543,44.2,0.1478,0,90.6,1013.1,93.1,0.0773
LSA,control,6/28/2019 15:29,0.1267,69.514,66.2,58.7,716.2,71.146,44.3,0.1988,0,88.1,994.4,91.9,0.0766
LSA,control,6/28/2019 15:39,0.1274,69.643,66.2,58.7,1206.2,71.791,42.8,0.2446,0.0063,90.6,1004.4,94.4,0.0766
LSA,control,6/28/2019 15:49,0.1267,69.771,61.2,53.7,2003.7,72.61,41.5,0.3058,0.0063,84.4,950.6,88.1,0.0758
LSA,control,6/28/2019 15:59,0.1267,69.858,61.2,56.2,2066.2,73.299,38.5,0.3007,0,86.9,961.9,91.9,0.0758
LSA,control,6/28/2019 16:09,0.1267,69.985,58.7,51.2,2083.7,73.602,40.7,0.3415,0.0063,80.6,895.6,85.6,0.0758
LSA,control,6/28/2019 16:19,0.1259,69.985,53.7,48.7,2216.2,72.351,39.1,0.2701,0,75.6,855.6,80.6,0.0751
LSA,control,6/28/2019 16:29,0.1259,69.858,51.2,46.2,2316.2,71.19,41.9,0.2752,0.0063,71.9,824.4,78.1,0.0751
LSA,control,6/28/2019 16:39,0.1252,69.771,48.7,41.2,1031.2,72.136,42.8,0.2701,0.0063,70.6,790.6,74.4,0.0744
LSA,control,6/28/2019 16:49,0.1252,69.685,46.2,38.7,2553.7,71.447,40.3,0.2345,0.0063,68.1,769.4,73.1,0.0744
LSA,control,6/28/2019 16:59,0.1245,69.514,41.2,36.2,2553.7,70.502,40.5,0.1886,0.0063,64.4,728.1,68.1,0.0744
LSA,control,6/28/2019 17:09,0.1245,69.343,38.7,33.7,1241.2,70.115,41.8,0.1529,0,61.9,690.6,65.6,0.0751
LSA,control,6/28/2019 17:19,0.1245,69.17,36.2,31.2,878.7,70.887,41.4,0.1376,0,60.6,675.6,64.4,0.0744
LSA,control,6/28/2019 17:29,0.1245,68.999,16.2,13.7,1148.7,69.514,37.8,0.1223,0,24.4,274.4,25.6,0.0744
LSA,control,6/28/2019 17:39,0.1238,68.785,31.2,28.7,596.2,70.887,39.2,0.1121,0,55.6,611.9,59.4,0.0736
LSA,control,6/28/2019 17:49,0.123,68.614,28.7,26.2,943.7,71.834,42.3,0.107,0.0063,51.9,564.4,54.4,0.0736
LSA,control,6/28/2019 17:59,0.123,68.443,26.2,23.7,1218.7,71.231,38.4,0.0968,0.0063,49.4,538.1,51.9,0.0736
LSA,control,6/28/2019 18:09,0.123,68.142,3.7,3.7,1431.2,67.627,40.2,0.0815,0.0063,5.6,74.4,5.6,0.0744
LSA,control,6/28/2019 18:19,0.123,67.885,21.2,18.7,2096.2,70.329,35.2,0.0612,0.0063,41.9,461.9,45.6,0.0729
LSA,control,6/28/2019 18:29,0.123,67.586,21.2,16.2,2248.7,69.471,39.7,0.0561,0,39.4,430.6,43.1,0.0729
LSA,control,6/28/2019 18:39,0.123,67.242,11.2,8.7,863.7,67.757,47.7,0.0459,0.0063,20.6,225.6,21.9,0.0729
LSA,control,6/28/2019 18:49,0.1223,66.9,-888.9,3.7,786.2,60.991,50.3,0.0306,0,8.1,98.1,8.1,0.0722
LSA,control,6/28/2019 18:59,0.1223,66.515,-888.9,3.7,468.7,59.401,51,0.0102,0,5.6,66.9,5.6,0.0722
LSA,control,6/28/2019 19:09,0.123,66.087,-888.9,3.7,511.2,61.419,52.9,-0.0051,0.0063,5.6,66.9,5.6,0.0722
LSA,control,6/28/2019 19:19,0.1223,65.658,-888.9,3.7,796.2,57.549,56.5,-0.0153,0,6.9,63.1,5.6,0.0715
LSA,control,6/28/2019 19:29,0.1223,65.23,-888.9,1.2,1423.7,56.599,55.6,-0.0204,0,3.1,35.6,3.1,0.0715
LSA,control,6/28/2019 19:39,0.1216,64.803,-888.9,1.2,1146.2,54.473,61.4,-0.0306,0.0063,3.1,40.6,3.1,0.0715
LSA,control,6/28/2019 19:49,0.1216,64.332,-888.9,1.2,1306.2,53.166,62.5,-0.0459,0,1.9,26.9,0.6,0.0715
LSA,control,6/28/2019 19:59,0.1216,63.862,-888.9,1.2,1361.2,53.035,62.2,-0.0561,0,1.9,25.6,1.9,0.0707
LSA,control,6/28/2019 20:09,0.1216,63.39,-888.9,1.2,1991.2,53.035,60.5,-0.0612,0,1.9,21.9,0.6,0.0707
LSA,control,6/28/2019 20:19,0.1216,62.919,-888.9,1.2,1031.2,50.356,69.4,-0.0663,0,0.6,19.4,0.6,0.0715
LSA,control,6/28/2019 20:29,0.1216,62.447,-888.9,1.2,473.7,51.062,67.6,-0.0714,0,0.6,11.9,0.6,0.0715
LSA,control,6/28/2019 20:39,0.1216,62.062,-888.9,1.2,818.7,51.413,67.9,-0.0765,0,0.6,5.6,0.6,0.0715
LSA,control,6/28/2019 20:49,0.1216,61.633,-888.9,1.2,1266.2,52.029,63.3,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 20:59,0.1216,61.248,-888.9,1.2,1836.2,52.16,62.7,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:09,0.1216,60.861,-888.9,1.2,943.7,52.817,61.3,-0.0663,0,0.6,0.6,0.6,0.07
LSA,control,6/28/2019 21:19,0.1216,60.561,-888.9,1.2,621.2,51.282,67.1,-0.0663,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:29,0.1209,60.217,-888.9,1.2,413.7,50.709,70,-0.0663,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:39,0.1209,59.916,-888.9,1.2,541.2,50.223,69.9,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:49,0.1209,59.659,-888.9,1.2,1131.2,52.335,66.6,-0.0765,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:59,0.1209,59.358,-888.9,1.2,433.7,51.678,65.8,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 22:09,0.1209,59.099,-888.9,1.2,378.7,52.246,62.3,-0.0765,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:19,0.1209,58.842,-888.9,1.2,521.2,51.062,68.4,-0.0765,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:29,0.1209,58.582,-888.9,1.2,463.7,51.633,65,-0.0815,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:39,0.1209,58.325,-888.9,1.2,511.2,49.737,70.5,-0.0815,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:49,0.1209,58.066,-888.9,1.2,598.7,48.672,73.6,-0.0866,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:59,0.1209,57.85,-888.9,1.2,261.2,49.294,72,-0.0917,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:09,0.1201,57.592,-888.9,1.2,183.7,47.691,75,-0.0968,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:19,0.1201,57.376,-888.9,1.2,153.7,48.538,70.1,-0.1019,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:29,0.1201,57.117,-888.9,1.2,378.7,46.796,73.2,-0.107,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:39,0.1201,56.815,-888.9,1.2,158.7,46.706,77.3,-0.107,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:49,0.1201,56.599,-888.9,1.2,138.7,45.669,76.8,-0.1121,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:59,0.1201,56.34,-888.9,1.2,131.2,46.301,75,-0.1121,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:09,0.1201,56.079,-888.9,1.2,103.7,47.557,71.3,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:19,0.1201,55.863,-888.9,1.2,63.7,48.762,68.9,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:29,0.1201,55.647,-888.9,1.2,28.7,45.489,75.5,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:39,0.1201,55.386,-888.9,1.2,8.7,46.076,76,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:49,0.1201,55.213,-888.9,1.2,1.2,44.764,78.3,-0.1172,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 0:59,0.1201,54.995,-888.9,1.2,1.2,44.719,80.1,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:09,0.1201,54.777,-888.9,1.2,1.2,45.489,78,-0.1223,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 1:19,0.1201,54.604,-888.9,1.2,1.2,44.719,82.6,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:29,0.1201,54.43,-888.9,1.2,1.2,45.489,79,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:39,0.1194,54.255,-888.9,1.2,1.2,44.764,82.3,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:49,0.1194,54.126,-888.9,1.2,1.2,43.9,83.8,-0.1274,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 1:59,0.1201,53.908,-888.9,1.2,1.2,42.847,84.7,-0.1274,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 2:09,0.1201,53.733,-888.9,1.2,1.2,42.939,83.3,-0.1325,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 2:19,0.1194,53.559,-888.9,1.2,1.2,42.478,85.3,-0.1325,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 2:29,0.1194,53.384,-888.9,1.2,1.2,42.755,83.2,-0.1325,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 2:39,0.1194,53.166,-888.9,1.2,1.2,42.708,84.1,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 2:49,0.1201,52.992,-888.9,1.2,1.2,41.832,86,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 2:59,0.1194,52.772,-888.9,1.2,1.2,42.984,85.3,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 3:09,0.1194,52.597,-888.9,1.2,1.2,42.616,84.4,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 3:19,0.1194,52.423,-888.9,1.2,1.2,42.341,86.2,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 3:29,0.1194,52.291,-888.9,1.2,1.2,43.122,85.5,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 3:39,0.1194,52.16,-888.9,1.2,1.2,44.31,81.3,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 3:49,0.1194,51.984,-888.9,1.2,1.2,43.671,83.1,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 3:59,0.1194,51.895,-888.9,1.2,1.2,44.082,81.7,-0.1376,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 4:09,0.1194,51.764,-888.9,1.2,1.2,43.9,82.5,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 4:19,0.1194,51.633,-888.9,1.2,1.2,42.433,85,-0.1376,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 4:29,0.1194,51.501,-888.9,1.2,1.2,41.832,86.4,-0.1376,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 4:39,0.1187,51.37,-888.9,1.2,1.2,41.23,87.8,-0.1376,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 4:49,0.1194,51.237,-888.9,1.2,1.2,41.787,86.4,-0.1427,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 4:59,0.1194,51.105,-888.9,1.2,1.2,40.951,87.6,-0.1427,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 5:09,0.1187,50.929,-888.9,1.2,1.2,40.017,89.7,-0.1427,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 5:19,0.1187,50.797,-888.9,1.2,1.2,41.508,86.3,-0.1478,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 5:29,0.1187,50.621,-888.9,1.2,1.2,39.83,89.7,-0.1478,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 5:39,0.1187,50.488,-888.9,1.2,1.2,40.345,88.8,-0.1478,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 5:49,0.1187,50.311,-888.9,1.2,1.2,40.811,88.2,-0.1478,0,0.6,4.4,0.6,0.0707
LSA,control,6/29/2019 5:59,0.1187,50.18,-888.9,1.2,1.2,40.392,89.6,-0.1478,0,0.6,11.9,0.6,0.0707
LSA,control,6/29/2019 6:09,0.1187,50.047,-888.9,1.2,1.2,40.998,89.2,-0.1478,0,1.9,20.6,1.9,0.0707
LSA,control,6/29/2019 6:19,0.1187,49.914,-888.9,1.2,1.2,41.369,88.5,-0.1478,0,4.4,34.4,3.1,0.0707
LSA,control,6/29/2019 6:29,0.1187,49.825,-888.9,1.2,1.2,41.322,89.5,-0.1478,0,4.4,33.1,3.1,0.0707
LSA,control,6/29/2019 6:39,0.1187,49.737,-888.9,1.2,1.2,41.508,89.8,-0.1478,0,4.4,38.1,3.1,0.0707
LSA,control,6/29/2019 6:49,0.1187,49.649,-888.9,1.2,1.2,41.463,90,-0.1478,0,5.6,51.9,5.6,0.0707
LSA,control,6/29/2019 6:59,0.1187,49.604,-888.9,3.7,1.2,42.386,88.9,-0.1478,0,8.1,68.1,6.9,0.0707
LSA,control,6/29/2019 7:09,0.1187,49.561,-888.9,3.7,1.2,43.488,87.2,-0.1478,0,9.4,74.4,8.1,0.0707
LSA,control,6/29/2019 7:19,0.1187,49.516,-888.9,3.7,1.2,43.671,87.1,-0.1427,0,10.6,93.1,10.6,0.07
LSA,control,6/29/2019 7:29,0.1187,49.516,-888.9,6.2,1.2,45.851,85.7,-0.1427,0,16.9,135.6,15.6,0.07
LSA,control,6/29/2019 7:39,0.1187,49.561,-888.9,8.7,1.2,48.493,82.7,-0.1427,0,20.6,165.6,19.4,0.07
LSA,control,6/29/2019 7:49,0.1194,49.692,-888.9,11.2,1.2,50.974,83.5,-0.1376,0,23.1,185.6,21.9,0.07
LSA,control,6/29/2019 7:59,0.1194,49.87,-888.9,11.2,1.2,52.597,80.8,-0.1325,0,25.6,201.9,24.4,0.07
LSA,control,6/29/2019 8:09,0.1187,50.092,-888.9,13.7,1.2,54.691,76,-0.1274,0,30.6,233.1,28.1,0.07
LSA,control,6/29/2019 8:19,0.1187,50.4,-888.9,26.2,1.2,58.928,74.4,-0.1223,0,55.6,354.4,51.9,0.07
LSA,control,6/29/2019 8:29,0.1187,50.752,-888.9,18.7,1.2,60.39,60.7,-0.1121,0,38.1,278.1,35.6,0.07
LSA,control,6/29/2019 8:39,0.1187,51.148,-888.9,16.2,1.2,59.401,72.8,-0.1019,0,34.4,254.4,31.9,0.07
LSA,control,6/29/2019 8:49,0.1187,51.544,-888.9,13.7,1.2,58.152,62.7,-0.1019,0,30.6,241.9,29.4,0.07
LSA,control,6/29/2019 8:59,0.1187,51.895,-888.9,16.2,1.2,57.765,71,-0.1019,0,35.6,271.9,33.1,0.07
LSA,control,6/29/2019 9:09,0.118,52.246,-888.9,16.2,1.2,59.529,67.5,-0.1019,0,36.9,276.9,34.4,0.0693
LSA,control,6/29/2019 9:19,0.118,52.554,-888.9,16.2,1.2,58.755,62.9,-0.1019,0,35.6,290.6,34.4,0.0693
LSA,control,6/29/2019 9:29,0.118,52.903,-888.9,38.7,1.2,65.017,51.5,-0.1019,0,79.4,593.1,75.6,0.0693
LSA,control,6/29/2019 9:39,0.118,53.298,-888.9,26.2,1.2,61.59,49.4,-0.0917,0,51.9,411.9,49.4,0.0693
LSA,control,6/29/2019 9:49,0.118,53.645,-888.9,23.7,3.7,61.506,52.5,-0.0917,0,46.9,384.4,45.6,0.0686
LSA,control,6/29/2019 9:59,0.118,53.951,-888.9,26.2,11.2,62.661,57,-0.0917,0,51.9,413.1,49.4,0.0686
LSA,control,6/29/2019 10:09,0.1172,54.255,-888.9,28.7,21.2,62.875,50.1,-0.0917,0,54.4,438.1,51.9,0.0693
LSA,control,6/29/2019 10:19,0.118,54.604,-888.9,36.2,43.7,63.648,45.1,-0.0917,0,70.6,558.1,66.9,0.0693
LSA,control,6/29/2019 10:29,0.1172,54.952,-888.9,33.7,71.2,64.632,45.9,-0.0917,0,64.4,514.4,61.9,0.0693
LSA,control,6/29/2019 10:39,0.118,55.299,-888.9,51.2,86.2,68.527,44.2,-0.0866,0,93.1,748.1,89.4,0.0693
LSA,control,6/29/2019 10:49,0.1172,55.733,-888.9,51.2,83.7,67.543,40.5,-0.0866,0,90.6,730.6,86.9,0.0678
LSA,control,6/29/2019 10:59,0.1165,56.208,-888.9,51.2,101.2,67.842,46.5,-0.0815,0,91.9,735.6,86.9,0.0678
LSA,control,6/29/2019 11:09,0.1172,56.772,-888.9,58.7,113.7,71.577,38.9,-0.0815,0,103.1,850.6,99.4,0.0671
LSA,control,6/29/2019 11:19,0.1165,57.463,-888.9,66.2,118.7,73.17,39.7,-0.0765,0,113.1,951.9,108.1,0.0671
LSA,control,6/29/2019 11:29,0.1165,58.195,-888.9,63.7,123.7,71.533,39,-0.0714,0,108.1,918.1,103.1,0.0671
LSA,control,6/29/2019 11:39,0.1165,58.842,-888.9,58.7,126.2,71.704,37,-0.0765,0,96.9,841.9,91.9,0.0671
LSA,control,6/29/2019 11:49,0.1158,59.572,-888.9,66.2,138.7,72.136,37,-0.0765,0,108.1,964.4,104.4,0.0664
LSA,control,6/29/2019 11:59,0.1158,60.303,-888.9,66.2,161.2,71.791,37.3,-0.0815,0,108.1,984.4,104.4,0.0664
LSA,control,6/29/2019 12:09,0.1158,61.075,-888.9,68.7,191.2,72.394,35.2,-0.0866,0,108.1,1008.1,105.6,0.0657
LSA,control,6/29/2019 12:19,0.1158,61.804,-888.9,68.7,211.2,72.178,36,-0.0866,0,108.1,1029.4,105.6,0.0657
LSA,control,6/29/2019 12:29,0.115,62.577,-888.9,68.7,206.2,72.05,37.6,-0.0917,0,108.1,1048.1,106.9,0.0657
LSA,control,6/29/2019 12:39,0.115,63.347,-888.9,68.7,356.2,73.731,34.5,-0.0917,0,109.4,1065.6,108.1,0.0657
LSA,control,6/29/2019 12:49,0.115,64.117,-888.9,68.7,233.7,74.467,38.8,-0.0968,0,109.4,1076.9,108.1,0.0657
LSA,control,6/29/2019 12:59,0.115,64.845,-888.9,73.7,328.7,72.997,37.4,-0.0917,0,115.6,1145.6,114.4,0.0649
LSA,control,6/29/2019 13:09,0.1143,65.615,-888.9,83.7,421.2,76.028,35.3,-0.0968,0,135.6,1276.9,134.4,0.0649
LSA,control,6/29/2019 13:19,0.1143,66.385,-888.9,81.2,328.7,76.725,36.1,-0.0917,0,133.1,1276.9,133.1,0.0649
LSA,control,6/29/2019 13:29,0.1136,67.158,-888.9,76.2,718.7,75.333,34.7,-0.0968,0,121.9,1203.1,120.6,0.0649
LSA,control,6/29/2019 13:39,0.1136,67.842,-888.9,73.7,533.7,74.64,36.3,-0.0968,0,120.6,1209.4,120.6,0.0649
LSA,control,6/29/2019 13:49,0.1136,68.313,-888.9,68.7,1456.2,72.48,36.4,-0.1019,0,108.1,1109.4,108.1,0.0649
LSA,control,6/29/2019 13:59,0.1121,68.698,-888.9,66.2,1508.7,71.577,35.3,-0.107,0,104.4,1080.6,105.6,0.0642
LSA,control,6/29/2019 14:09,0.1121,69.085,-888.9,53.7,1586.2,71.103,34.7,-0.1019,0,86.9,888.1,88.1,0.0642
LSA,control,6/29/2019 14:19,0.1129,69.343,-888.9,68.7,1543.7,72.394,40.7,-0.107,0,113.1,1166.9,114.4,0.0649
LSA,control,6/29/2019 14:29,0.1121,69.685,-888.9,53.7,1473.7,71.834,34.1,-0.1019,0.0063,86.9,911.9,89.4,0.0642
LSA,control,6/29/2019 14:39,0.1121,69.901,-888.9,66.2,1841.2,72.05,40,-0.1019,0,109.4,1144.4,111.9,0.0649
LSA,control,6/29/2019 14:49,0.1107,70.158,-888.9,58.7,1811.2,72.696,37,-0.1019,0,99.4,1050.6,101.9,0.0635
LSA,control,6/29/2019 14:59,0.11,70.329,-888.9,61.2,998.7,72.653,39.5,-0.1019,0,103.1,1079.4,106.9,0.0628
LSA,control,6/29/2019 15:09,0.11,70.416,-888.9,68.7,1878.7,71.49,38.4,-0.1019,0,116.9,1230.6,121.9,0.0628
LSA,control,6/29/2019 15:19,0.1092,70.543,-888.9,53.7,1936.2,71.49,36,-0.0968,0,93.1,978.1,96.9,0.062
LSA,control,6/29/2019 15:29,0.1092,70.459,-888.9,46.2,2018.7,69.985,42.7,-0.1019,0,81.9,836.9,84.4,0.0613
LSA,control,6/29/2019 15:39,0.1092,70.416,-888.9,23.7,1993.7,71.361,40.5,-0.1019,0,45.6,430.6,45.6,0.062
LSA,control,6/29/2019 15:49,0.11,70.158,-888.9,23.7,2141.2,66.857,38.2,-0.1019,0,45.6,408.1,45.6,0.0628
LSA,control,6/29/2019 15:59,0.1085,69.858,-888.9,26.2,2046.2,68.27,40,-0.1019,0,48.1,440.6,49.4,0.0606
LSA,control,6/29/2019 16:09,0.1078,69.6,-888.9,18.7,2086.2,67.714,43.7,-0.1019,0,38.1,345.6,38.1,0.0606
LSA,control,6/29/2019 16:19,0.1078,69.3,-888.9,18.7,2088.7,67.114,49,-0.0968,0,36.9,330.6,36.9,0.0606
LSA,control,6/29/2019 16:29,0.1071,68.999,-888.9,18.7,2106.2,66.258,43.6,-0.0968,0,36.9,340.6,36.9,0.0606
LSA,control,6/29/2019 16:39,0.1078,68.742,-888.9,16.2,2148.7,65.359,40.9,-0.0968,0,33.1,296.9,33.1,0.0613
LSA,control,6/29/2019 16:49,0.1078,68.443,-888.9,16.2,2223.7,65.658,52.1,-0.0968,0.0063,31.9,288.1,31.9,0.0613
LSA,control,6/29/2019 16:59,0.1078,68.227,-888.9,18.7,2241.2,66.558,43.5,-0.0968,0,39.4,355.6,39.4,0.0613
LSA,control,6/29/2019 17:09,0.1078,68.013,-888.9,18.7,2206.2,67.329,42.3,-0.0917,0,40.6,376.9,41.9,0.0613
LSA,control,6/29/2019 17:19,0.1078,67.842,-888.9,18.7,2206.2,66.9,41.5,-0.0866,0,39.4,366.9,39.4,0.0613
LSA,control,6/29/2019 17:29,0.1071,67.714,-888.9,18.7,2211.2,67.285,47.4,-0.0866,0,38.1,344.4,38.1,0.0606
LSA,control,6/29/2019 17:39,0.1063,67.586,-888.9,16.2,2208.7,66.985,57.1,-0.0815,0,33.1,304.4,34.4,0.0598
LSA,control,6/29/2019 17:49,0.1063,67.413,-888.9,11.2,2208.7,64.247,48.7,-0.0866,0,26.9,238.1,26.9,0.0598
LSA,control,6/29/2019 17:59,0.1071,67.242,-888.9,11.2,2211.2,63.604,58.2,-0.0866,0,25.6,216.9,24.4,0.0606
LSA,control,6/29/2019 18:09,0.1063,67.028,-888.9,8.7,2201.2,63.219,49.8,-0.0917,0,21.9,190.6,21.9,0.0606
LSA,control,6/29/2019 18:19,0.1063,66.814,-888.9,8.7,2186.2,62.362,56.3,-0.0968,0,19.4,169.4,19.4,0.0591
LSA,control,6/29/2019 18:29,0.1063,66.558,-888.9,8.7,2153.7,62.577,60.7,-0.0968,0,20.6,185.6,20.6,0.0606
LSA,control,6/29/2019 18:39,0.1063,66.344,-888.9,6.2,2138.7,61.032,64.7,-0.0968,0,16.9,158.1,18.1,0.0606
LSA,control,6/29/2019 18:49,0.1071,66.13,-888.9,6.2,2111.2,59.014,68.7,-0.1019,0,14.4,133.1,14.4,0.0606
LSA,control,6/29/2019 18:59,0.1056,65.872,-888.9,8.7,2096.2,59.916,63.7,-0.107,0,26.9,259.4,28.1,0.0591
LSA,control,6/29/2019 19:09,0.1056,65.615,-888.9,8.7,2068.7,61.633,61,-0.107,0,24.4,240.6,26.9,0.0591
LSA,control,6/29/2019 19:19,0.1049,65.403,-888.9,11.2,2048.7,64.845,55.5,-0.1019,0,33.1,331.9,36.9,0.0591
LSA,control,6/29/2019 19:29,0.1056,65.188,-888.9,6.2,923.7,60.433,62.6,-0.0968,0,15.6,143.1,15.6,0.0591
LSA,control,6/29/2019 19:39,0.1056,64.974,-888.9,3.7,1733.7,58.411,68.9,-0.1019,0,13.1,114.4,13.1,0.0591
LSA,control,6/29/2019 19:49,0.1049,64.717,-888.9,3.7,2066.2,56.426,70.8,-0.1019,0,8.1,70.6,8.1,0.0591
LSA,control,6/29/2019 19:59,0.1049,64.418,-888.9,1.2,508.7,55.125,74.1,-0.1121,0,4.4,46.9,4.4,0.0591
LSA,control,6/29/2019 20:09,0.1049,64.117,-888.9,1.2,311.2,53.121,76.2,-0.1172,0,3.1,35.6,3.1,0.0584
LSA,control,6/29/2019 20:19,0.1049,63.775,-888.9,1.2,1788.7,50.886,77.9,-0.1223,0,1.9,19.4,1.9,0.0584
LSA,control,6/29/2019 20:29,0.1049,63.39,-888.9,1.2,2003.7,49.249,78.7,-0.1274,0,0.6,10.6,0.6,0.0584
LSA,control,6/29/2019 20:39,0.1042,62.962,-888.9,1.2,361.2,49.116,77.7,-0.1325,0,0.6,0.6,0.6,0.0584
LSA,control,6/29/2019 20:49,0.1042,62.533,-888.9,1.2,503.7,49.516,77.3,-0.1376,0,0.6,0.6,0.6,0.0584
