"Plot Title: 20139117_SM_LSA_A2_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139117, SEN S/N: 20145939, LBL: A2_Lmeadow)","Temp, °F (LGR S/N: 20139117, SEN S/N: 20399270, LBL: A2L_meadow)"
118,07/17/19 12:00:01 PM,0.1466,61.376
119,07/17/19 01:00:01 PM,0.1466,63.347
120,07/17/19 02:00:01 PM,0.1450,64.931
121,07/17/19 03:00:01 PM,0.1450,65.316
122,07/17/19 04:00:01 PM,0.1450,65.273
123,07/17/19 05:00:01 PM,0.1450,65.145
124,07/17/19 06:00:01 PM,0.1455,64.931
125,07/17/19 07:00:01 PM,0.1455,64.332
126,07/17/19 08:00:01 PM,0.1455,63.304
127,07/17/19 09:00:01 PM,0.1459,61.934
128,07/17/19 10:00:01 PM,0.1466,60.517
129,07/17/19 11:00:01 PM,0.1470,59.272
130,07/18/19 12:00:01 AM,0.1470,58.195
131,07/18/19 01:00:01 AM,0.1475,57.204
132,07/18/19 02:00:01 AM,0.1475,56.295
133,07/18/19 03:00:01 AM,0.1475,55.472
134,07/18/19 04:00:01 AM,0.1475,54.734
135,07/18/19 05:00:01 AM,0.1475,54.126
136,07/18/19 06:00:01 AM,0.1479,53.472
137,07/18/19 07:00:01 AM,0.1475,52.860
138,07/18/19 08:00:01 AM,0.1479,52.466
139,07/18/19 09:00:01 AM,0.1470,52.903
140,07/18/19 10:00:01 AM,0.1459,55.038
141,07/18/19 11:00:01 AM,0.1450,57.420
142,07/18/19 12:00:01 PM,0.1446,59.873
143,07/18/19 01:00:01 PM,0.1434,62.406
144,07/18/19 02:00:01 PM,0.1430,64.760
145,07/18/19 03:00:01 PM,0.1421,65.872
146,07/18/19 04:00:01 PM,0.1421,66.214
147,07/18/19 05:00:01 PM,0.1416,66.087
148,07/18/19 06:00:01 PM,0.1421,65.487
149,07/18/19 07:00:01 PM,0.1421,64.717
150,07/18/19 08:00:01 PM,0.1430,63.561
151,07/18/19 09:00:01 PM,0.1434,62.062
152,07/18/19 10:00:01 PM,0.1441,60.604
153,07/18/19 11:00:01 PM,0.1441,59.358
154,07/19/19 12:00:01 AM,0.1446,58.195
155,07/19/19 01:00:01 AM,0.1446,57.204
156,07/19/19 02:00:01 AM,0.1446,56.251
157,07/19/19 03:00:01 AM,0.1446,55.429
158,07/19/19 04:00:01 AM,0.1446,54.604
159,07/19/19 05:00:01 AM,0.1450,53.908
160,07/19/19 06:00:01 AM,0.1450,53.253
161,07/19/19 07:00:01 AM,0.1446,52.686
162,07/19/19 08:00:01 AM,0.1446,52.246
163,07/19/19 09:00:01 AM,0.1434,52.772
164,07/19/19 10:00:01 AM,0.1430,55.168
165,07/19/19 11:00:01 AM,0.1421,57.636
166,07/19/19 12:00:01 PM,0.1412,60.217
167,07/19/19 01:00:01 PM,0.1400,63.176
168,07/19/19 02:00:01 PM,0.1400,65.745
169,07/19/19 03:00:01 PM,0.1400,67.114
170,07/19/19 04:00:01 PM,0.1400,67.500
171,07/19/19 05:00:01 PM,0.1400,67.285
172,07/19/19 06:00:01 PM,0.1400,66.772
173,07/19/19 07:00:01 PM,0.1400,66.000
174,07/19/19 08:00:01 PM,0.1405,64.845
175,07/19/19 09:00:01 PM,0.1405,63.347
176,07/19/19 10:00:01 PM,0.1412,61.934
177,07/19/19 11:00:01 PM,0.1416,60.647
178,07/20/19 12:00:01 AM,0.1412,59.572
179,07/20/19 01:00:01 AM,0.1416,58.541
180,07/20/19 02:00:01 AM,0.1416,57.636
181,07/20/19 03:00:01 AM,0.1416,56.858
182,07/20/19 04:00:01 AM,0.1416,56.079
183,07/20/19 05:00:01 AM,0.1421,55.429
184,07/20/19 06:00:01 AM,0.1421,54.820
185,07/20/19 07:00:01 AM,0.1421,54.255
186,07/20/19 08:00:01 AM,0.1421,53.865
187,07/20/19 09:00:01 AM,0.1412,54.691
188,07/20/19 10:00:01 AM,0.1405,56.685
189,07/20/19 11:00:01 AM,0.1400,58.669
190,07/20/19 12:00:01 PM,0.1391,60.604
191,07/20/19 01:00:01 PM,0.1382,63.475
192,07/20/19 02:00:01 PM,0.1382,65.788
193,07/20/19 03:00:01 PM,0.1382,66.087
194,07/20/19 04:00:01 PM,0.1382,65.444
195,07/20/19 05:00:01 PM,0.1382,64.074
196,07/20/19 06:00:01 PM,0.1387,63.819
197,07/20/19 07:00:01 PM,0.1387,63.390
198,07/20/19 08:00:01 PM,0.1391,62.447
199,07/20/19 09:00:01 PM,0.1396,61.162
200,07/20/19 10:00:01 PM,0.1396,59.830
201,07/20/19 11:00:01 PM,0.1396,58.712
202,07/21/19 12:00:01 AM,0.1396,57.765
203,07/21/19 01:00:01 AM,0.1400,56.858
204,07/21/19 02:00:01 AM,0.1396,55.906
205,07/21/19 03:00:01 AM,0.1396,55.081
206,07/21/19 04:00:01 AM,0.1396,54.343
207,07/21/19 05:00:01 AM,0.1400,53.690
208,07/21/19 06:00:01 AM,0.1400,53.121
209,07/21/19 07:00:01 AM,0.1400,52.554
210,07/21/19 08:00:01 AM,0.1400,52.115
211,07/21/19 09:00:01 AM,0.1396,52.509
212,07/21/19 10:00:01 AM,0.1387,54.865
