Plot Title: 9735540_Pfeiler_B1,,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 2012372)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9680600)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700883)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700893)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700900)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9721335)","RH, % (LGR S/N: 9735540, SEN S/N: 9721335)","Voltage, V (LGR S/N: 9735540, SEN S/N: 9725488)","Current, mA (LGR S/N: 9735540, SEN S/N: 9725488)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734398)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734403)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734407)","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 10769153)","Batt, V (LGR S/N: 9735540)"
1,6/10/17 11:07,0.1085,55.342,83.7,83.7,2023.7,62.019,21.8,-0.1988,0,89.4,1041.9,86.9,0.0439,4.321
2,6/10/17 12:07,0.1078,60.474,91.2,81.2,2073.7,64.717,22.2,-0.2039,0,88.1,1061.9,90.6,0.0446,4.393
3,6/10/17 13:07,0.1071,64.974,91.2,76.2,2021.2,67.199,20.7,-0.2039,0,83.1,1018.1,90.6,0.0446,4.357
4,6/10/17 14:07,0.1078,68.614,83.7,66.2,1863.7,70.286,23.6,-0.2039,0,73.1,914.4,85.6,0.0446,4.4
5,6/10/17 15:07,0.1063,71.49,73.7,53.7,1623.7,70.158,20.1,-0.2039,0,58.1,785.6,75.6,0.0446,4.466
6,6/10/17 16:07,0.1056,73.083,61.2,43.7,1353.7,70.459,18.5,-0.2039,0,48.1,661.9,68.1,0.0439,4.369
7,6/10/17 17:07,0.1042,72.523,23.7,18.7,413.7,67.798,20.9,-0.2039,0,21.9,253.1,28.1,0.0439,4.369
8,6/10/17 18:07,0.1027,71.103,23.7,18.7,488.7,67.928,22,-0.2039,0,29.4,248.1,34.4,0.0431,4.381
9,6/10/17 19:07,0.1005,68.913,11.2,6.2,118.7,64.674,20.3,-0.2039,0,15.6,63.1,18.1,0.0417,4.393
10,6/10/17 20:07,0.0998,65.615,1.2,1.2,36.2,58.669,21.1,-0.2039,0,0.6,10.6,0.6,0.041,4.375
11,6/10/17 21:07,0.0983,62.105,1.2,1.2,1.2,55.342,20.6,-0.2039,0,0.6,0.6,0.6,0.041,4.363
12,6/10/17 22:07,0.0983,59.014,1.2,1.2,1.2,54.561,20.9,-0.2039,0,0.6,0.6,0.6,0.0402,4.363
13,6/10/17 23:07,0.0983,56.512,1.2,1.2,1.2,54.995,19,-0.2039,0,0.6,0.6,0.6,0.0395,4.357
14,6/11/17 0:07,0.0983,54.516,1.2,1.2,1.2,50.4,21.7,-0.2039,0,0.6,0.6,0.6,0.0388,4.357
15,6/11/17 1:07,0.0983,52.772,1.2,1.2,1.2,55.386,20.3,-0.2039,0,0.6,0.6,0.6,0.0395,4.351
16,6/11/17 2:07,0.0991,51.544,1.2,1.2,1.2,53.427,26.7,-0.2039,0,0.6,0.6,0.6,0.0395,4.351
17,6/11/17 3:07,0.0983,50.445,1.2,1.2,1.2,51.589,30.6,-0.2039,0,0.6,0.6,0.6,0.0388,4.351
18,6/11/17 4:07,0.0991,49.338,1.2,1.2,1.2,47.602,38.2,-0.2039,0,0.6,0.6,0.6,0.0388,4.351
19,6/11/17 5:07,0.0991,48.182,1.2,1.2,1.2,39.877,56.9,-0.2039,0,0.6,0.6,0.6,0.0388,4.351
20,6/11/17 6:07,0.0991,46.931,1.2,1.2,58.7,40.485,59.2,-0.2039,0,1.9,28.1,1.9,0.0381,4.393
21,6/11/17 7:07,0.0991,45.986,1.2,1.2,73.7,39.407,63.9,-0.2039,0,0.6,18.1,0.6,0.0381,4.4
22,6/11/17 8:07,0.0991,45.262,3.7,3.7,156.2,41.878,57,-0.2039,0,3.1,58.1,4.4,0.0381,4.442
23,6/11/17 9:07,0.1005,46.886,53.7,58.7,1583.7,57.679,31.6,-0.2039,0,70.6,795.6,66.9,0.0381,4.4
24,6/11/17 10:07,0.1005,51.017,48.7,48.7,1281.2,59.358,33,-0.2039,0,56.9,639.4,55.6,0.0388,4.369
25,6/11/17 11:07,0.0991,54.995,46.2,41.2,1121.2,57.376,31.7,-0.2039,0,49.4,559.4,50.6,0.0381,4.369
26,6/11/17 12:07,0.0983,58.455,93.7,83.7,2211.2,61.804,29.2,-0.2039,0,95.6,1116.9,98.1,0.0381,4.369
27,6/11/17 13:07,0.0969,62.62,93.7,81.2,2178.7,65.359,24,-0.2039,0,91.9,1106.9,99.4,0.0388,4.369
28,6/11/17 14:07,0.0969,67.372,81.2,66.2,1856.2,68.013,27.5,-0.2039,0,73.1,908.1,85.6,0.0388,4.375
29,6/11/17 15:07,0.0954,70.846,71.2,51.2,1601.2,68.956,21.5,-0.2039,0,59.4,779.4,76.9,0.0373,4.381
30,6/11/17 16:07,0.0947,72.523,56.2,38.7,1281.2,69.942,24.6,-0.2039,0,46.9,621.9,64.4,0.0373,4.393
31,6/11/17 17:07,0.0933,72.826,41.2,31.2,568.7,69.17,26.7,-0.2039,0,40.6,433.1,51.9,0.0366,4.393
32,6/11/17 18:07,0.0911,71.704,23.7,18.7,496.2,66.6,21.5,-0.2039,0,31.9,251.9,36.9,0.0359,4.369
33,6/11/17 19:07,0.0896,69.514,11.2,8.7,133.7,61.419,38.7,-0.2039,0,18.1,71.9,20.6,0.0352,4.375
34,6/11/17 20:07,0.0882,66.301,1.2,1.2,43.7,54.212,34.6,-0.2039,0,0.6,16.9,0.6,0.0344,4.393
35,6/11/17 21:07,0.0874,62.791,1.2,1.2,1.2,46.571,48.2,-0.2039,0,0.6,0.6,0.6,0.0344,4.369
36,6/11/17 22:07,0.0874,59.572,1.2,1.2,1.2,43.396,52.5,-0.2039,0,0.6,0.6,0.6,0.0337,4.363
37,6/11/17 23:07,0.0867,56.815,1.2,1.2,1.2,39.924,63.7,-0.2039,0,0.6,0.6,0.6,0.0337,4.363
38,6/12/17 0:07,0.0874,54.473,1.2,1.2,1.2,39.549,59.5,-0.2039,0,0.6,0.6,0.6,0.033,4.351
39,6/12/17 1:07,0.0874,52.423,1.2,1.2,1.2,40.811,54,-0.2039,0,0.6,0.6,0.6,0.033,4.363
40,6/12/17 2:07,0.0882,50.664,1.2,1.2,1.2,37.081,61,-0.2039,0,0.6,0.6,0.6,0.0322,4.363
41,6/12/17 3:07,0.0882,49.073,1.2,1.2,1.2,36.459,62.7,-0.2039,0,0.6,0.6,0.6,0.0322,4.357
42,6/12/17 4:07,0.0882,47.647,1.2,1.2,1.2,35.879,62.6,-0.2039,0,0.6,0.6,0.6,0.0322,4.357
43,6/12/17 5:07,0.0882,46.301,1.2,1.2,1.2,34.615,65.9,-0.2039,0,0.6,0.6,0.6,0.0322,4.351
44,6/12/17 6:07,0.0889,45.127,1.2,1.2,31.2,35.589,61.2,-0.2039,0,0.6,6.9,0.6,0.0322,4.351
45,6/12/17 7:07,0.0889,44.173,1.2,1.2,61.2,40.017,50.8,-0.2039,0,0.6,13.1,0.6,0.0322,4.393
46,6/12/17 8:07,0.0882,43.579,1.2,1.2,101.2,44.856,39.2,-0.2039,0,0.6,30.6,1.9,0.0322,4.393
47,6/12/17 9:07,0.0896,45.444,53.7,56.2,1596.2,55.819,33.3,-0.2039,0,71.9,800.6,68.1,0.0322,4.393
48,6/12/17 10:07,0.0896,49.782,68.7,71.2,1863.7,59.014,27.3,-0.2039,0,84.4,944.4,80.6,0.0322,4.381
49,6/12/17 11:07,0.0889,55.038,81.2,78.7,2026.2,61.72,25.9,-0.2039,0,91.9,1045.6,89.4,0.0322,4.508
50,6/12/17 12:07,0.0882,60.517,86.2,76.2,2078.7,64.888,24.9,-0.2039,0,91.9,1061.9,93.1,0.033,4.381
51,6/12/17 13:07,0.0867,65.273,26.2,21.2,641.2,68.185,21.1,-0.2039,0,24.4,281.9,26.9,0.0337,4.393
