"Plot Title: 2021997"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2021997, SEN S/N: 2373627)","Temp, °F (LGR S/N: 2021997, SEN S/N: 9721342)","RH, % (LGR S/N: 2021997, SEN S/N: 9721342)","Water Content, m³/m³ (LGR S/N: 2021997, SEN S/N: 20152222)"
90,05/19/18 07:33:01 AM,38.368,31.993,77.000,0.2056
91,05/19/18 08:33:01 AM,38.889,48.628,51.600,0.2056
92,05/19/18 09:33:01 AM,43.716,54.865,33.800,0.2052
93,05/19/18 10:33:01 AM,48.405,54.909,32.100,0.2043
94,05/19/18 11:33:01 AM,50.797,58.282,29.700,0.2038
95,05/19/18 12:33:01 PM,54.212,50.709,38.900,0.2026
96,05/19/18 01:33:01 PM,55.125,54.037,35.900,0.2012
97,05/19/18 02:33:01 PM,55.733,55.299,34.300,0.2012
98,05/19/18 03:33:01 PM,56.599,56.815,26.000,0.2012
99,05/19/18 04:33:01 PM,56.815,54.387,29.100,0.2020
100,05/19/18 05:33:01 PM,55.776,48.094,42.300,0.2020
101,05/19/18 06:33:01 PM,54.343,46.886,45.800,0.2003
102,05/19/18 07:33:01 PM,52.686,43.167,60.100,0.2003
103,05/19/18 08:33:01 PM,50.929,38.368,79.600,0.2008
104,05/19/18 09:33:01 PM,49.161,35.152,88.400,0.2052
105,05/19/18 10:33:01 PM,47.736,36.025,90.700,0.2038
106,05/19/18 11:33:01 PM,46.571,32.443,91.800,0.2029
107,05/20/18 12:33:01 AM,45.082,30.884,92.300,0.2012
108,05/20/18 01:33:01 AM,43.763,29.764,92.600,0.2012
109,05/20/18 02:33:01 AM,42.570,29.457,92.800,0.2012
110,05/20/18 03:33:01 AM,41.554,29.251,92.900,0.2012
111,05/20/18 04:33:01 AM,40.626,28.373,92.900,0.2012
112,05/20/18 05:33:01 AM,39.830,27.955,93.100,0.2012
113,05/20/18 06:33:01 AM,39.220,28.632,92.700,0.2017
114,05/20/18 07:33:01 AM,38.700,28.528,92.900,0.2020
115,05/20/18 08:33:01 AM,38.700,39.830,89.600,0.2056
116,05/20/18 09:33:01 AM,42.800,48.049,73.400,0.2043
117,05/20/18 10:33:01 AM,48.094,52.817,51.700,0.2035
118,05/20/18 11:33:01 AM,52.817,53.602,50.100,0.2020
119,05/20/18 12:33:01 PM,55.733,59.099,39.500,0.2012
120,05/20/18 01:33:01 PM,56.035,51.237,46.900,0.2003
121,05/20/18 02:33:01 PM,54.212,49.249,46.300,0.2003
122,05/20/18 03:33:01 PM,52.291,45.534,45.500,0.2003
123,05/20/18 04:33:01 PM,50.709,43.396,57.400,0.2012
124,05/20/18 05:33:01 PM,50.135,44.537,61.500,0.2008
125,05/20/18 06:33:01 PM,49.782,43.351,64.700,0.2012
126,05/20/18 07:33:01 PM,48.895,41.277,72.900,0.2012
127,05/20/18 08:33:01 PM,47.602,34.075,84.800,0.2008
128,05/20/18 09:33:01 PM,45.896,31.440,88.200,0.2003
129,05/20/18 10:33:01 PM,44.355,30.529,89.600,0.2003
130,05/20/18 11:33:01 PM,43.122,31.138,90.500,0.2003
131,05/21/18 12:33:01 AM,42.109,30.429,90.200,0.2008
132,05/21/18 01:33:01 AM,41.090,29.611,90.400,0.2008
133,05/21/18 02:33:01 AM,40.204,28.787,90.300,0.2012
134,05/21/18 03:33:01 AM,39.454,29.199,90.400,0.2017
135,05/21/18 04:33:01 AM,38.748,28.942,89.200,0.2017
136,05/21/18 05:33:01 AM,38.179,28.112,89.500,0.2020
137,05/21/18 06:33:01 AM,37.656,29.304,89.300,0.2020
138,05/21/18 07:33:01 AM,37.274,30.326,90.600,0.2026
139,05/21/18 08:33:01 AM,37.560,44.809,75.500,0.2038
140,05/21/18 09:33:01 AM,42.064,52.029,56.400,0.2029
141,05/21/18 10:33:01 AM,47.334,56.685,47.200,0.2026
142,05/21/18 11:33:01 AM,51.895,56.340,38.000,0.2008
143,05/21/18 12:33:01 PM,54.561,59.745,37.000,0.1999
144,05/21/18 01:33:01 PM,56.295,57.074,33.000,0.1990
145,05/21/18 02:33:01 PM,56.122,63.862,28.900,0.1981
146,05/21/18 03:33:01 PM,55.949,55.386,34.400,0.1985
147,05/21/18 04:33:01 PM,55.992,59.529,30.600,0.1985
148,05/21/18 05:33:01 PM,55.733,53.166,35.600,0.1990
149,05/21/18 06:33:01 PM,54.212,47.109,57.800,0.1999
150,05/21/18 07:33:01 PM,52.378,43.763,69.100,0.1999
151,05/21/18 08:33:01 PM,50.886,39.078,80.200,0.1994
152,05/21/18 09:33:01 PM,49.161,34.858,85.400,0.1999
153,05/21/18 10:33:01 PM,47.467,33.928,86.100,0.1999
154,05/21/18 11:33:01 PM,45.986,33.928,86.100,0.1999
155,05/22/18 12:33:01 AM,44.719,31.842,88.100,0.1999
156,05/22/18 01:33:01 AM,43.579,31.188,89.300,0.1999
157,05/22/18 02:33:01 AM,42.570,31.390,87.800,0.2003
158,05/22/18 03:33:01 AM,41.648,29.611,90.500,0.2003
159,05/22/18 04:33:01 AM,40.764,29.509,90.700,0.2003
160,05/22/18 05:33:01 AM,40.064,29.097,91.600,0.2003
161,05/22/18 06:33:01 AM,39.360,29.199,91.600,0.2008
162,05/22/18 07:33:01 AM,38.937,31.743,90.900,0.2012
163,05/22/18 08:33:01 AM,39.313,46.974,74.700,0.2017
164,05/22/18 09:33:01 AM,44.037,53.602,54.200,0.2012
165,05/22/18 10:33:01 AM,48.895,58.023,46.900,0.2003
166,05/22/18 11:33:01 AM,53.298,57.893,40.000,0.1994
167,05/22/18 12:33:01 PM,55.081,53.645,43.300,0.1985
168,05/22/18 01:33:01 PM,55.168,54.516,42.900,0.1976
169,05/22/18 02:33:01 PM,55.647,54.430,45.500,0.1976
170,05/22/18 03:33:01 PM,54.995,51.105,40.500,0.1967
171,05/22/18 04:33:01 PM,53.994,51.458,44.400,0.1967
172,05/22/18 05:33:01 PM,53.515,52.423,44.200,0.1967
173,05/22/18 06:33:01 PM,52.686,46.931,57.900,0.1967
174,05/22/18 07:33:01 PM,51.105,40.298,72.800,0.1972
175,05/22/18 08:33:01 PM,49.249,35.733,82.200,0.1972
176,05/22/18 09:33:01 PM,47.512,33.435,85.100,0.1972
177,05/22/18 10:33:01 PM,45.986,33.534,83.700,0.1972
178,05/22/18 11:33:01 PM,44.627,31.743,86.900,0.1972
179,05/23/18 12:33:01 AM,43.488,31.942,87.100,0.1967
180,05/23/18 01:33:01 AM,42.525,31.591,87.400,0.1967
181,05/23/18 02:33:01 AM,41.648,31.037,88.200,0.1972
182,05/23/18 03:33:01 AM,41.090,33.089,87.700,0.1976
183,05/23/18 04:33:01 AM,40.485,30.529,88.100,0.1976
184,05/23/18 05:33:01 AM,39.924,31.743,87.200,0.1976
185,05/23/18 06:33:01 AM,39.502,33.584,87.400,0.1985
186,05/23/18 07:33:01 AM,39.830,41.090,80.000,0.1990
187,05/23/18 08:33:01 AM,41.230,47.064,61.500,0.1985
188,05/23/18 09:33:01 AM,45.036,51.589,46.000,0.1981
189,05/23/18 10:33:01 AM,49.161,53.121,35.400,0.1972
190,05/23/18 11:33:01 AM,52.466,59.486,30.600,0.1954
191,05/23/18 12:33:01 PM,54.082,53.776,34.500,0.1948
192,05/23/18 01:33:01 PM,55.472,60.948,31.200,0.1939
193,05/23/18 02:33:01 PM,58.411,60.089,30.700,0.1935
194,05/23/18 03:33:01 PM,59.745,61.506,32.900,0.1939
195,05/23/18 04:33:01 PM,59.788,59.358,31.600,0.1939
196,05/23/18 05:33:01 PM,58.842,58.755,28.800,0.1948
197,05/23/18 06:33:01 PM,57.074,53.384,33.500,0.1954
198,05/23/18 07:33:01 PM,54.865,44.218,51.300,0.1958
199,05/23/18 08:33:01 PM,52.729,44.764,41.100,0.1963
200,05/23/18 09:33:01 PM,50.709,43.075,43.200,0.1967
201,05/23/18 10:33:01 PM,48.895,36.651,57.300,0.1948
202,05/23/18 11:33:01 PM,47.334,35.492,61.700,0.1948
203,05/24/18 12:33:01 AM,45.896,33.188,68.800,0.1948
204,05/24/18 01:33:01 AM,44.627,32.592,68.000,0.1948
205,05/24/18 02:33:01 AM,43.534,32.542,69.200,0.1948
206,05/24/18 03:33:01 AM,42.525,30.529,72.300,0.1948
207,05/24/18 04:33:01 AM,41.601,30.733,74.300,0.1954
208,05/24/18 05:33:01 AM,40.764,30.123,74.300,0.1954
209,05/24/18 06:33:01 AM,40.017,30.529,72.300,0.1954
210,05/24/18 07:33:01 AM,39.502,31.942,71.600,0.1954
211,05/24/18 08:33:01 AM,39.970,50.752,47.900,0.1981
212,05/24/18 09:33:01 AM,44.901,57.204,30.800,0.1945
213,05/24/18 10:33:01 AM,50.356,58.885,27.100,0.1932
214,05/24/18 11:33:01 AM,55.125,60.474,27.800,0.1923
215,05/24/18 12:33:01 PM,59.142,63.775,27.200,0.1904
216,05/24/18 01:33:01 PM,62.319,62.191,25.100,0.1904
217,05/24/18 02:33:01 PM,64.418,62.533,24.300,0.1908
218,05/24/18 03:33:01 PM,65.145,62.362,22.600,0.1913
219,05/24/18 04:33:01 PM,64.589,64.803,23.400,0.1923
220,05/24/18 05:33:01 PM,63.133,62.362,23.200,0.1932
221,05/24/18 06:33:01 PM,60.904,57.463,24.900,0.1939
222,05/24/18 07:33:01 PM,58.325,47.781,50.200,0.1939
223,05/24/18 08:33:01 PM,55.949,41.878,54.400,0.1945
224,05/24/18 09:33:01 PM,53.690,38.984,57.900,0.1945
225,05/24/18 10:33:01 PM,51.764,38.795,58.000,0.1945
226,05/24/18 11:33:01 PM,50.047,36.459,63.800,0.1945
227,05/25/18 12:33:01 AM,48.628,37.225,58.600,0.1945
228,05/25/18 01:33:01 AM,47.334,35.346,63.600,0.1945
229,05/25/18 02:33:01 AM,46.166,34.371,67.100,0.1945
230,05/25/18 03:33:01 AM,45.127,33.978,70.700,0.1945
231,05/25/18 04:33:01 AM,44.173,32.293,74.100,0.1948
232,05/25/18 05:33:01 AM,43.259,32.243,73.500,0.1948
233,05/25/18 06:33:01 AM,42.478,32.841,73.500,0.1954
234,05/25/18 07:33:01 AM,41.878,33.831,72.400,0.1954
235,05/25/18 08:33:01 AM,42.433,53.035,46.400,0.1954
236,05/25/18 09:33:01 AM,47.557,61.248,33.200,0.1945
237,05/25/18 10:33:01 AM,53.166,64.803,26.300,0.1932
238,05/25/18 11:33:01 AM,58.152,65.829,19.500,0.1917
239,05/25/18 12:33:01 PM,62.276,66.900,24.100,0.1904
240,05/25/18 01:33:01 PM,65.530,69.300,20.600,0.1895
241,05/25/18 02:33:01 PM,67.500,71.317,22.100,0.1898
242,05/25/18 03:33:01 PM,68.356,71.877,20.600,0.1904
243,05/25/18 04:33:01 PM,67.798,66.900,20.200,0.1908
244,05/25/18 05:33:01 PM,66.087,66.985,21.300,0.1917
245,05/25/18 06:33:01 PM,63.732,61.547,22.100,0.1923
