Plot Title: 9735551_SM_LSA_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700889)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700899)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9719154)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9721332)","RH, % (LGR S/N: 9735551, SEN S/N: 9721332)","Voltage, V (LGR S/N: 9735551, SEN S/N: 9725502)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734411)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734415)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734419)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769151)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769152)","Batt, V (LGR S/N: 9735551)"
Site,Treatment,Date.Time,PAR.up,PAR.right,PAR.left,ST.between,Air.T,RH,,SR.up,SR.right,SR.left,SWC.between,SWC.between,
LSA,early,6/7/2019 10:00,1318.7,2553.7,2553.7,52.817,58.498,47.4,-0.1274,734.4,51.9,70.6,0.1848,0.1811,4.345
LSA,early,6/7/2019 10:10,1631.2,51.2,68.7,53.559,56.815,49.6,-0.1274,781.9,54.4,74.4,0.1848,0.1811,4.363
LSA,early,6/7/2019 10:20,1861.2,56.2,73.7,54.255,60.474,45.6,-0.1274,896.9,60.6,79.4,0.1855,0.1811,4.351
LSA,early,6/7/2019 10:30,811.2,21.2,26.2,55.213,62.105,47.5,-0.1223,374.4,21.9,26.9,0.1855,0.1811,4.375
LSA,early,6/7/2019 10:40,606.2,16.2,18.7,55.863,53.645,55.7,-0.1223,273.1,15.6,19.4,0.1855,0.1811,4.351
LSA,early,6/7/2019 10:50,2173.7,66.2,83.7,56.34,60.26,45.2,-0.1325,1051.9,69.4,90.6,0.1855,0.1811,4.393
LSA,early,6/7/2019 11:00,738.7,21.2,23.7,56.988,57.765,52.8,-0.1325,334.4,20.6,24.4,0.1855,0.1811,4.351
LSA,early,6/7/2019 11:10,383.7,8.7,11.2,56.988,49.959,65.8,-0.1376,163.1,8.1,10.6,0.1855,0.1819,4.393
LSA,early,6/7/2019 11:20,716.2,16.2,18.7,56.035,44.946,81.5,-0.1478,341.9,16.9,20.6,0.1862,0.1819,4.363
LSA,early,6/7/2019 11:30,1206.2,31.2,41.2,55.038,49.914,67.1,-0.1529,569.4,34.4,45.6,0.1862,0.1819,4.393
LSA,early,6/7/2019 11:40,2003.7,58.7,73.7,55.168,57.074,56,-0.1478,998.1,61.9,80.6,0.1862,0.1819,4.363
LSA,early,6/7/2019 11:50,2066.2,61.2,76.2,56.251,58.626,54,-0.1376,1041.9,64.4,83.1,0.1862,0.1819,4.49
LSA,early,6/7/2019 12:00,2083.7,61.2,76.2,57.679,60.948,51.2,-0.1325,1056.9,65.6,83.1,0.1862,0.1819,4.363
LSA,early,6/7/2019 12:10,2216.2,66.2,78.7,58.582,59.056,52.5,-0.1325,1131.9,69.4,86.9,0.1862,0.1819,4.478
LSA,early,6/7/2019 12:20,2316.2,68.7,83.7,59.185,61.72,45.7,-0.1325,1184.4,73.1,89.4,0.1862,0.1819,4.381
LSA,early,6/7/2019 12:30,1031.2,28.7,33.7,59.873,65.23,40.9,-0.1325,484.4,28.1,34.4,0.1862,0.1819,4.351
LSA,early,6/7/2019 12:40,2553.7,76.2,91.2,60.474,64.674,47,-0.1325,1276.9,80.6,98.1,0.1862,0.1819,4.375
LSA,early,6/7/2019 12:50,2553.7,83.7,98.7,61.075,62.447,47.9,-0.1325,1276.9,89.4,106.9,0.1862,0.1826,4.351
LSA,early,6/7/2019 13:00,1241.2,33.7,38.7,61.633,59.486,47.6,-0.1325,588.1,34.4,41.9,0.187,0.1826,4.381
LSA,early,6/7/2019 13:10,878.7,23.7,26.2,61.977,57.376,53.9,-0.1427,401.9,23.1,28.1,0.187,0.1826,4.351
LSA,early,6/7/2019 13:20,1148.7,31.2,36.2,61.891,52.16,57.9,-0.1427,543.1,31.9,38.1,0.187,0.1826,4.393
LSA,early,6/7/2019 13:30,596.2,16.2,18.7,61.462,54.343,50.7,-0.1478,266.9,15.6,19.4,0.187,0.1826,4.363
LSA,early,6/7/2019 13:40,943.7,23.7,28.7,60.561,51.764,58.3,-0.158,440.6,25.6,31.9,0.187,0.1833,4.393
LSA,early,6/7/2019 13:50,1218.7,31.2,38.7,59.745,56.642,50.2,-0.158,578.1,33.1,40.6,0.187,0.1826,4.393
LSA,early,6/7/2019 14:00,1431.2,38.7,43.7,59.445,59.445,47.9,-0.1529,698.1,40.6,48.1,0.187,0.1826,4.43
LSA,early,6/7/2019 14:10,2096.2,56.2,66.2,59.572,59.616,47.8,-0.1478,1058.1,59.4,71.9,0.187,0.1826,4.363
LSA,early,6/7/2019 14:20,2248.7,58.7,66.2,59.959,61.205,43.2,-0.1376,1144.4,63.1,74.4,0.187,0.1826,4.484
LSA,early,6/7/2019 14:30,863.7,23.7,26.2,60.346,56.035,48.8,-0.1376,400.6,23.1,28.1,0.187,0.1826,4.363
LSA,early,6/7/2019 14:40,786.2,21.2,23.7,60.26,53.298,53.7,-0.1478,364.4,21.9,26.9,0.187,0.1826,4.381
LSA,early,6/7/2019 14:50,468.7,11.2,13.7,60.003,53.733,51.6,-0.1529,205.6,11.9,14.4,0.187,0.1826,4.363
LSA,early,6/7/2019 15:00,511.2,13.7,16.2,59.702,53.384,55.6,-0.1529,231.9,13.1,16.9,0.187,0.1833,4.393
LSA,early,6/7/2019 15:10,796.2,21.2,23.7,59.401,52.335,54.5,-0.1529,374.4,21.9,25.6,0.187,0.1833,4.363
LSA,early,6/7/2019 15:20,1423.7,36.2,41.2,59.056,52.291,54.2,-0.1529,691.9,38.1,45.6,0.187,0.1833,4.393
LSA,early,6/7/2019 15:30,1146.2,28.7,33.7,58.755,56.251,50.2,-0.1529,538.1,30.6,36.9,0.187,0.1833,4.369
LSA,early,6/7/2019 15:40,1306.2,31.2,36.2,58.669,56.642,47.6,-0.1478,633.1,34.4,39.4,0.187,0.1833,4.363
LSA,early,6/7/2019 15:50,1361.2,33.7,38.7,58.755,56.642,51.2,-0.1427,660.6,35.6,41.9,0.187,0.1833,4.369
LSA,early,6/7/2019 16:00,1991.2,48.7,51.2,59.056,59.056,52.8,-0.1478,984.4,50.6,59.4,0.187,0.1826,4.363
LSA,early,6/7/2019 16:10,1031.2,23.7,26.2,59.445,56.383,51.3,-0.1427,489.4,25.6,29.4,0.1862,0.1833,4.381
LSA,early,6/7/2019 16:20,473.7,11.2,13.7,59.529,54.255,52.6,-0.1478,214.4,11.9,13.1,0.1862,0.1826,4.363
LSA,early,6/7/2019 16:30,818.7,18.7,21.2,59.358,53.602,50.2,-0.1529,389.4,20.6,24.4,0.1862,0.1826,4.393
LSA,early,6/7/2019 16:40,1266.2,28.7,28.7,59.272,59.572,48.9,-0.1529,614.4,30.6,34.4,0.1862,0.1833,4.363
LSA,early,6/7/2019 16:50,1836.2,41.2,43.7,59.185,58.411,49.6,-0.1478,909.4,45.6,51.9,0.1862,0.1826,4.393
LSA,early,6/7/2019 17:00,943.7,23.7,26.2,59.099,55.038,57.3,-0.1529,454.4,24.4,29.4,0.1862,0.1833,4.369
LSA,early,6/7/2019 17:10,621.2,16.2,16.2,58.928,55.168,48,-0.1529,291.9,15.6,19.4,0.1862,0.1833,4.363
LSA,early,6/7/2019 17:20,413.7,11.2,11.2,58.626,53.865,51.6,-0.158,190.6,10.6,13.1,0.1862,0.1833,4.381
LSA,early,6/7/2019 17:30,541.2,13.7,13.7,58.411,55.906,55.7,-0.158,253.1,14.4,16.9,0.1862,0.1833,4.363
LSA,early,6/7/2019 17:40,1131.2,23.7,26.2,58.239,54.561,57.1,-0.158,561.9,28.1,31.9,0.1862,0.1833,4.381
LSA,early,6/7/2019 17:50,433.7,8.7,11.2,57.893,53.298,56.2,-0.158,198.1,10.6,11.9,0.1862,0.1833,4.369
LSA,early,6/7/2019 18:00,378.7,8.7,8.7,57.463,52.597,54.7,-0.158,176.9,9.4,10.6,0.1862,0.1833,4.363
LSA,early,6/7/2019 18:10,521.2,11.2,13.7,56.901,51.148,57.3,-0.1631,253.1,13.1,15.6,0.1862,0.1833,4.393
LSA,early,6/7/2019 18:20,463.7,11.2,13.7,56.469,53.472,54.9,-0.1631,221.9,11.9,14.4,0.1862,0.1833,4.363
LSA,early,6/7/2019 18:30,511.2,11.2,13.7,56.208,51.94,57,-0.1631,248.1,13.1,16.9,0.1862,0.1833,4.393
LSA,early,6/7/2019 18:40,598.7,13.7,13.7,55.949,49.959,61.2,-0.1631,298.1,14.4,16.9,0.1862,0.1833,4.375
LSA,early,6/7/2019 18:50,261.2,6.2,6.2,55.558,49.116,63,-0.1631,124.4,6.9,8.1,0.1862,0.1826,4.363
LSA,early,6/7/2019 19:00,183.7,3.7,3.7,55.125,48.85,58.1,-0.1631,85.6,4.4,4.4,0.1862,0.1833,4.393
LSA,early,6/7/2019 19:10,153.7,3.7,3.7,54.604,47.109,64.2,-0.1631,70.6,3.1,4.4,0.1855,0.1826,4.369
LSA,early,6/7/2019 19:20,378.7,6.2,6.2,54.082,50.135,57.2,-0.1631,204.4,6.9,8.1,0.1855,0.1826,4.393
LSA,early,6/7/2019 19:30,158.7,3.7,3.7,53.602,49.428,58.1,-0.1631,75.6,3.1,4.4,0.1855,0.1826,4.363
LSA,early,6/7/2019 19:40,138.7,1.2,3.7,53.035,50.576,54.9,-0.1631,68.1,3.1,4.4,0.1855,0.1833,4.393
LSA,early,6/7/2019 19:50,131.2,1.2,3.7,52.466,48.137,56.4,-0.1631,65.6,3.1,4.4,0.1855,0.1833,4.381
LSA,early,6/7/2019 20:00,103.7,1.2,1.2,52.029,47.334,56.9,-0.1631,51.9,1.9,3.1,0.1848,0.1826,4.363
LSA,early,6/7/2019 20:10,63.7,1.2,1.2,51.589,48.672,53.1,-0.1631,34.4,0.6,0.6,0.1848,0.1833,4.393
LSA,early,6/7/2019 20:20,28.7,1.2,1.2,51.148,45.082,62.3,-0.1631,13.1,0.6,0.6,0.1848,0.1826,4.369
LSA,early,6/7/2019 20:30,8.7,1.2,1.2,50.709,44.082,63.5,-0.1631,3.1,0.6,0.6,0.1848,0.1826,4.363
LSA,early,6/7/2019 20:40,1.2,1.2,1.2,50.268,45.806,61.2,-0.1682,0.6,0.6,0.6,0.1848,0.1826,4.363
LSA,early,6/7/2019 20:50,1.2,1.2,1.2,49.825,43.214,66.5,-0.1682,0.6,0.6,0.6,0.1848,0.1826,4.363
LSA,early,6/7/2019 21:00,1.2,1.2,1.2,49.428,44.082,62.1,-0.1682,0.6,0.6,0.6,0.1848,0.1826,4.363
LSA,early,6/7/2019 21:10,1.2,1.2,1.2,49.028,41.369,71.2,-0.1682,0.6,0.6,0.6,0.1848,0.1826,4.363
LSA,early,6/7/2019 21:20,1.2,1.2,1.2,48.672,39.267,75.3,-0.1733,0.6,0.6,0.6,0.184,0.1826,4.363
LSA,early,6/7/2019 21:30,1.2,1.2,1.2,48.272,40.719,71.8,-0.1733,0.6,0.6,0.6,0.184,0.1826,4.357
LSA,early,6/7/2019 21:40,1.2,1.2,1.2,47.871,41.416,68.2,-0.1733,0.6,0.6,0.6,0.184,0.1819,4.351
LSA,early,6/7/2019 21:50,1.2,1.2,1.2,47.467,39.643,72,-0.1733,0.6,0.6,0.6,0.184,0.1819,4.351
LSA,early,6/7/2019 22:00,1.2,1.2,1.2,47.109,42.8,62.9,-0.1682,0.6,0.6,0.6,0.184,0.1819,4.351
LSA,early,6/7/2019 22:10,1.2,1.2,1.2,46.751,43.122,63.1,-0.1733,0.6,0.6,0.6,0.184,0.1826,4.351
LSA,early,6/7/2019 22:20,1.2,1.2,1.2,46.391,39.643,71,-0.1733,0.6,0.6,0.6,0.184,0.1819,4.351
LSA,early,6/7/2019 22:30,1.2,1.2,1.2,46.076,39.877,70.2,-0.1733,0.6,0.6,0.6,0.184,0.1819,4.351
LSA,early,6/7/2019 22:40,1.2,1.2,1.2,45.806,42.202,64.3,-0.1733,0.6,0.6,0.6,0.1833,0.1819,4.351
LSA,early,6/7/2019 22:50,1.2,1.2,1.2,45.489,44.856,57.1,-0.1682,0.6,0.6,0.6,0.184,0.1819,4.351
LSA,early,6/7/2019 23:00,1.2,1.2,1.2,45.217,40.672,66.8,-0.1682,0.6,0.6,0.6,0.184,0.1819,4.345
LSA,early,6/7/2019 23:10,1.2,1.2,1.2,44.946,40.064,69.6,-0.1682,0.6,0.6,0.6,0.1833,0.1819,4.345
LSA,early,6/7/2019 23:20,1.2,1.2,1.2,44.719,39.596,70.2,-0.1682,0.6,0.6,0.6,0.1833,0.1819,4.345
LSA,early,6/7/2019 23:30,1.2,1.2,1.2,44.492,40.858,66.6,-0.1682,0.6,0.6,0.6,0.1833,0.1811,4.345
LSA,early,6/7/2019 23:40,1.2,1.2,1.2,44.263,41.184,63.6,-0.1682,0.6,0.6,0.6,0.1833,0.1811,4.345
LSA,early,6/7/2019 23:50,1.2,1.2,1.2,44.127,41.832,66,-0.1682,0.6,0.6,0.6,0.1833,0.1811,4.339
LSA,early,6/8/2019 0:00,1.2,1.2,1.2,43.99,40.905,70,-0.1682,0.6,0.6,0.6,0.1833,0.1811,4.339
LSA,early,6/8/2019 0:10,1.2,1.2,1.2,43.9,39.549,73.1,-0.1682,0.6,0.6,0.6,0.1833,0.1811,4.339
LSA,early,6/8/2019 0:20,1.2,1.2,1.2,43.853,39.502,73.9,-0.1682,0.6,0.6,0.6,0.1826,0.1811,4.339
LSA,early,6/8/2019 0:30,1.2,1.2,1.2,43.763,39.078,76.7,-0.1682,0.6,0.6,0.6,0.1833,0.1811,4.339
LSA,early,6/8/2019 0:40,1.2,1.2,1.2,43.671,39.22,76.2,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 0:50,1.2,1.2,1.2,43.534,38.7,77.6,-0.1733,0.6,0.6,0.6,0.1826,0.1811,4.339
LSA,early,6/8/2019 1:00,1.2,1.2,1.2,43.396,37.751,79.6,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 1:10,1.2,1.2,1.2,43.259,37.989,79.4,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 1:20,1.2,1.2,1.2,43.122,39.124,76.2,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 1:30,1.2,1.2,1.2,42.984,40.858,71.4,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 1:40,1.2,1.2,1.2,42.8,39.596,73.4,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 1:50,1.2,1.2,1.2,42.663,40.017,73.1,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 2:00,1.2,1.2,1.2,42.525,37.989,76.7,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 2:10,1.2,1.2,1.2,42.341,37.846,79.2,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 2:20,1.2,1.2,1.2,42.202,38.322,85.5,-0.1733,0.6,0.6,0.6,0.1826,0.1804,4.339
LSA,early,6/8/2019 2:30,1.2,1.2,1.2,42.109,40.672,82,-0.1733,0.6,0.6,0.6,0.1826,0.1797,4.339
LSA,early,6/8/2019 2:40,1.2,1.2,1.2,42.064,41.043,77.1,-0.1733,0.6,0.6,0.6,0.1826,0.1797,4.339
LSA,early,6/8/2019 2:50,1.2,1.2,1.2,42.017,40.764,79,-0.1733,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 3:00,1.2,1.2,1.2,41.97,38.037,82.9,-0.1733,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 3:10,1.2,1.2,1.2,41.878,37.609,85.1,-0.1733,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 3:20,1.2,1.2,1.2,41.787,36.41,87.5,-0.1733,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 3:30,1.2,1.2,1.2,41.648,38.179,83.8,-0.1784,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 3:40,1.2,1.2,1.2,41.508,37.609,84,-0.1784,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 3:50,1.2,1.2,1.2,41.416,37.274,85,-0.1784,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 4:00,1.2,1.2,1.2,41.322,38.606,83.7,-0.1784,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 4:10,1.2,1.2,1.2,41.23,39.69,82.6,-0.1784,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 4:20,1.2,1.2,1.2,41.184,38.179,86,-0.1784,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 4:30,1.2,1.2,1.2,41.137,41.137,79.4,-0.1784,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 4:40,1.2,1.2,1.2,41.09,41.832,74.6,-0.1733,0.6,0.6,0.6,0.1819,0.1797,4.339
LSA,early,6/8/2019 4:50,1.2,1.2,1.2,41.09,42.433,73.5,-0.1733,0.6,0.6,0.6,0.1819,0.179,4.339
LSA,early,6/8/2019 5:00,1.2,1.2,1.2,41.09,44.4,68.5,-0.1733,0.6,0.6,0.6,0.1819,0.179,4.339
LSA,early,6/8/2019 5:10,1.2,1.2,1.2,41.09,44.31,68,-0.1733,0.6,0.6,0.6,0.1819,0.179,4.351
LSA,early,6/8/2019 5:20,1.2,1.2,1.2,41.043,40.158,77.4,-0.1733,0.6,0.6,0.6,0.1819,0.179,4.339
LSA,early,6/8/2019 5:30,1.2,1.2,1.2,40.998,38.889,81,-0.1733,0.6,0.6,0.6,0.1819,0.179,4.339
LSA,early,6/8/2019 5:40,3.7,1.2,1.2,40.905,39.124,80.7,-0.1733,0.6,0.6,0.6,0.1819,0.179,4.339
LSA,early,6/8/2019 5:50,11.2,1.2,1.2,40.764,38.226,83.6,-0.1784,1.9,0.6,0.6,0.1819,0.179,4.339
LSA,early,6/8/2019 6:00,21.2,1.2,1.2,40.672,37.656,83.6,-0.1784,5.6,0.6,0.6,0.1819,0.179,4.339
LSA,early,6/8/2019 6:10,43.7,1.2,1.2,40.532,37.13,84,-0.1784,18.1,0.6,0.6,0.1819,0.179,4.351
LSA,early,6/8/2019 6:20,71.2,1.2,1.2,40.392,35.928,86.7,-0.1784,29.4,0.6,0.6,0.1819,0.179,4.393
LSA,early,6/8/2019 6:30,86.2,1.2,1.2,40.298,37.989,83.6,-0.1784,36.9,0.6,0.6,0.1819,0.179,4.393
LSA,early,6/8/2019 6:40,83.7,1.2,1.2,40.204,39.924,78.5,-0.1784,31.9,0.6,0.6,0.1819,0.179,4.369
LSA,early,6/8/2019 6:50,101.2,1.2,1.2,40.111,38.557,80.9,-0.1784,38.1,0.6,0.6,0.1819,0.179,4.418
LSA,early,6/8/2019 7:00,113.7,1.2,1.2,40.064,38.937,79.6,-0.1784,41.9,0.6,1.9,0.1819,0.179,4.381
LSA,early,6/8/2019 7:10,118.7,1.2,1.2,40.017,39.173,79.3,-0.1784,41.9,0.6,1.9,0.1819,0.179,4.4
LSA,early,6/8/2019 7:20,123.7,1.2,1.2,40.017,38.037,82,-0.1784,43.1,0.6,1.9,0.1811,0.179,4.381
LSA,early,6/8/2019 7:30,126.2,1.2,1.2,39.97,41.277,73.7,-0.1784,44.4,0.6,1.9,0.1819,0.179,4.442
LSA,early,6/8/2019 7:40,138.7,1.2,1.2,39.97,40.858,73.9,-0.1784,49.4,1.9,1.9,0.1819,0.179,4.381
LSA,early,6/8/2019 7:50,161.2,1.2,3.7,40.017,39.69,76.7,-0.1784,59.4,1.9,3.1,0.1819,0.179,4.393
LSA,early,6/8/2019 8:00,191.2,3.7,3.7,40.017,42.939,70.3,-0.1784,73.1,3.1,4.4,0.1811,0.179,4.393
LSA,early,6/8/2019 8:10,211.2,3.7,3.7,40.111,41.878,71,-0.1733,85.6,4.4,5.6,0.1819,0.1782,4.363
LSA,early,6/8/2019 8:20,206.2,3.7,3.7,40.204,43.351,66.8,-0.1733,79.4,4.4,5.6,0.1811,0.1782,4.393
LSA,early,6/8/2019 8:30,356.2,8.7,11.2,40.392,43.853,67.2,-0.1733,149.4,8.1,11.9,0.1811,0.1782,4.363
LSA,early,6/8/2019 8:40,233.7,3.7,6.2,40.579,43.259,67.6,-0.1733,89.4,4.4,6.9,0.1811,0.1782,4.393
LSA,early,6/8/2019 8:50,328.7,6.2,8.7,40.951,46.256,60.1,-0.1733,135.6,8.1,10.6,0.1819,0.1782,4.363
LSA,early,6/8/2019 9:00,421.2,8.7,13.7,41.416,44.764,65.8,-0.1682,183.1,10.6,15.6,0.1811,0.1782,4.393
LSA,early,6/8/2019 9:10,328.7,6.2,8.7,41.74,45.082,63.1,-0.1682,138.1,6.9,10.6,0.1811,0.1782,4.363
LSA,early,6/8/2019 9:20,718.7,18.7,26.2,42.247,48.049,56.6,-0.1682,323.1,21.9,30.6,0.1811,0.1782,4.393
LSA,early,6/8/2019 9:30,533.7,13.7,18.7,42.984,50.311,54.3,-0.1682,221.9,14.4,20.6,0.1811,0.1782,4.363
LSA,early,6/8/2019 9:40,1456.2,43.7,58.7,44.082,53.427,51.8,-0.158,703.1,49.4,70.6,0.1811,0.1782,4.393
LSA,early,6/8/2019 9:50,1508.7,46.2,61.2,45.399,56.642,49.1,-0.158,726.9,51.9,71.9,0.1819,0.179,4.369
LSA,early,6/8/2019 10:00,1586.2,48.7,66.2,46.706,54.126,50.2,-0.1529,768.1,54.4,74.4,0.1811,0.179,4.484
LSA,early,6/8/2019 10:10,1543.7,46.2,63.7,48.004,49.959,54.2,-0.1529,739.4,51.9,70.6,0.1819,0.1782,4.369
LSA,early,6/8/2019 10:20,1473.7,43.7,56.2,49.028,55.558,46.8,-0.158,699.4,46.9,61.9,0.1819,0.1782,4.393
LSA,early,6/8/2019 10:30,1841.2,56.2,73.7,49.782,54.126,51.1,-0.158,894.4,63.1,83.1,0.1819,0.1782,4.369
LSA,early,6/8/2019 10:40,1811.2,56.2,73.7,50.4,55.863,47.1,-0.1631,878.1,61.9,80.6,0.1819,0.1782,4.363
LSA,early,6/8/2019 10:50,998.7,28.7,36.2,51.458,57.117,43.6,-0.158,448.1,29.4,38.1,0.1819,0.179,4.381
LSA,early,6/8/2019 11:00,1878.7,58.7,73.7,52.597,56.556,41.9,-0.158,924.4,63.1,83.1,0.1819,0.179,4.363
LSA,early,6/8/2019 11:10,1936.2,61.2,76.2,53.602,54.865,47,-0.158,954.4,65.6,84.4,0.1826,0.179,4.393
LSA,early,6/8/2019 11:20,2018.7,63.7,78.7,54.604,62.062,42.6,-0.158,1006.9,68.1,86.9,0.1826,0.179,4.363
LSA,early,6/8/2019 11:30,1993.7,61.2,76.2,56.035,60.26,48.1,-0.158,1000.6,66.9,84.4,0.1826,0.179,4.381
LSA,early,6/8/2019 11:40,2141.2,66.2,81.2,57.29,55.558,52,-0.158,1085.6,71.9,90.6,0.1826,0.179,4.393
LSA,early,6/8/2019 11:50,2046.2,63.7,76.2,58.152,59.916,49.8,-0.1631,1041.9,68.1,84.4,0.1826,0.1797,4.393
LSA,early,6/8/2019 12:00,2086.2,63.7,76.2,58.842,57.893,46,-0.1631,1068.1,69.4,84.4,0.1826,0.179,4.363
LSA,early,6/8/2019 12:10,2088.7,63.7,76.2,59.616,59.142,44.8,-0.1631,1078.1,69.4,84.4,0.1826,0.1797,4.4
LSA,early,6/8/2019 12:20,2106.2,66.2,76.2,60.26,56.944,51,-0.1682,1089.4,69.4,83.1,0.1833,0.1797,4.363
LSA,early,6/8/2019 12:30,2148.7,66.2,76.2,60.474,58.885,46.5,-0.1682,1116.9,70.6,84.4,0.1833,0.1797,4.363
LSA,early,6/8/2019 12:40,2223.7,68.7,78.7,60.561,59.099,43.8,-0.1682,1153.1,73.1,86.9,0.1833,0.1797,4.393
LSA,early,6/8/2019 12:50,2241.2,68.7,78.7,60.904,57.636,41.4,-0.1682,1171.9,73.1,86.9,0.1833,0.1797,4.381
LSA,early,6/8/2019 13:00,2206.2,66.2,76.2,61.162,55.342,43.1,-0.1733,1145.6,70.6,84.4,0.184,0.1804,4.363
LSA,early,6/8/2019 13:10,2206.2,66.2,73.7,61.29,61.248,44.5,-0.1733,1153.1,70.6,83.1,0.184,0.1804,4.393
LSA,early,6/8/2019 13:20,2211.2,66.2,73.7,61.72,62.919,41,-0.1733,1160.6,69.4,83.1,0.184,0.1804,4.363
LSA,early,6/8/2019 13:30,2208.7,63.7,71.2,62.191,59.959,48.4,-0.1733,1156.9,69.4,80.6,0.184,0.1804,4.393
LSA,early,6/8/2019 13:40,2208.7,63.7,71.2,62.62,61.761,46.6,-0.1733,1156.9,68.1,79.4,0.1848,0.1804,4.369
LSA,early,6/8/2019 13:50,2211.2,63.7,68.7,63.133,61.032,43.2,-0.1733,1156.9,68.1,78.1,0.1848,0.1804,4.363
LSA,early,6/8/2019 14:00,2201.2,63.7,68.7,63.689,59.616,46.7,-0.1733,1150.6,66.9,76.9,0.1848,0.1811,4.393
LSA,early,6/8/2019 14:10,2186.2,61.2,66.2,63.946,58.195,52.4,-0.1784,1134.4,65.6,74.4,0.1848,0.1804,4.393
LSA,early,6/8/2019 14:20,2153.7,61.2,66.2,63.903,59.83,51.9,-0.1784,1115.6,63.1,73.1,0.1848,0.1811,4.393
LSA,early,6/8/2019 14:30,2138.7,61.2,63.7,63.946,55.256,43.5,-0.1784,1106.9,63.1,70.6,0.1848,0.1811,4.363
LSA,early,6/8/2019 14:40,2111.2,58.7,61.2,63.819,56.34,46.3,-0.1835,1089.4,61.9,69.4,0.1848,0.1811,4.363
LSA,early,6/8/2019 14:50,2096.2,56.2,58.7,63.475,55.906,47.5,-0.1835,1075.6,59.4,66.9,0.1848,0.1811,4.393
LSA,early,6/8/2019 15:00,2068.7,56.2,56.2,63.347,56.426,48,-0.1835,1058.1,58.1,64.4,0.1848,0.1811,4.363
LSA,early,6/8/2019 15:10,2048.7,53.7,56.2,63.518,57.463,47,-0.1835,1041.9,56.9,63.1,0.1848,0.1811,4.393
LSA,early,6/8/2019 15:20,923.7,23.7,23.7,63.732,54.865,46.6,-0.1835,426.9,23.1,24.4,0.1848,0.1811,4.381
LSA,early,6/8/2019 15:30,1733.7,43.7,43.7,63.946,55.299,48.1,-0.1835,850.6,45.6,50.6,0.1855,0.1811,4.4
LSA,early,6/8/2019 15:40,2066.2,53.7,51.2,63.99,57.074,51.1,-0.1835,1035.6,55.6,61.9,0.1855,0.1811,4.381
LSA,early,6/8/2019 15:50,508.7,11.2,11.2,63.862,52.072,51.8,-0.1835,228.1,11.9,13.1,0.1855,0.1819,4.46
LSA,early,6/8/2019 16:00,311.2,6.2,6.2,63.518,52.992,52.2,-0.1886,128.1,5.6,6.9,0.1848,0.1811,4.363
LSA,early,6/8/2019 16:10,1788.7,43.7,41.2,63.09,56.426,47.2,-0.1886,863.1,44.4,49.4,0.1848,0.1811,4.393
LSA,early,6/8/2019 16:20,2003.7,48.7,46.2,62.62,51.809,53.6,-0.1886,993.1,51.9,56.9,0.1848,0.1819,4.363
LSA,early,6/8/2019 16:30,361.2,8.7,8.7,62.105,51.589,53.4,-0.1886,159.4,8.1,9.4,0.1848,0.1819,4.375
