"Plot Title: 20290164_SM_UM_A2_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229, LBL: A2_Rshrub)"
98,06/14/19 12:00:01 PM,51.678,0.2355,0.2494
99,06/14/19 01:00:01 PM,52.947,0.2347,0.2490
100,06/14/19 02:00:01 PM,54.169,0.2347,0.2487
101,06/14/19 03:00:01 PM,55.647,0.2344,0.2479
102,06/14/19 04:00:01 PM,56.858,0.2347,0.2475
103,06/14/19 05:00:01 PM,57.290,0.2335,0.2464
104,06/14/19 06:00:01 PM,57.463,0.2335,0.2460
105,06/14/19 07:00:01 PM,56.988,0.2335,0.2456
106,06/14/19 08:00:01 PM,56.208,0.2339,0.2452
107,06/14/19 09:00:01 PM,55.256,0.2344,0.2452
108,06/14/19 10:00:01 PM,54.212,0.2335,0.2452
109,06/14/19 11:00:01 PM,53.166,0.2330,0.2452
110,06/15/19 12:00:01 AM,52.203,0.2330,0.2452
111,06/15/19 01:00:01 AM,51.282,0.2327,0.2452
112,06/15/19 02:00:01 AM,50.400,0.2323,0.2452
113,06/15/19 03:00:01 AM,49.604,0.2323,0.2456
114,06/15/19 04:00:01 AM,48.805,0.2318,0.2460
115,06/15/19 05:00:01 AM,48.004,0.2318,0.2460
116,06/15/19 06:00:01 AM,47.244,0.2318,0.2460
117,06/15/19 07:00:01 AM,46.571,0.2318,0.2460
118,06/15/19 08:00:01 AM,46.346,0.2339,0.2464
119,06/15/19 09:00:01 AM,46.796,0.2330,0.2464
120,06/15/19 10:00:01 AM,47.736,0.2327,0.2460
121,06/15/19 11:00:01 AM,48.850,0.2318,0.2452
122,06/15/19 12:00:01 PM,50.223,0.2315,0.2449
123,06/15/19 01:00:01 PM,51.852,0.2299,0.2445
124,06/15/19 02:00:01 PM,53.602,0.2303,0.2441
125,06/15/19 03:00:01 PM,55.213,0.2303,0.2434
126,06/15/19 04:00:01 PM,56.728,0.2303,0.2425
127,06/15/19 05:00:01 PM,57.592,0.2269,0.2418
128,06/15/19 06:00:01 PM,57.420,0.2262,0.2410
129,06/15/19 07:00:01 PM,57.074,0.2299,0.2410
130,06/15/19 08:00:01 PM,56.469,0.2282,0.2406
131,06/15/19 09:00:01 PM,55.558,0.2311,0.2403
132,06/15/19 10:00:01 PM,54.604,0.2299,0.2406
133,06/15/19 11:00:01 PM,53.559,0.2294,0.2406
134,06/16/19 12:00:01 AM,52.466,0.2294,0.2406
135,06/16/19 01:00:01 AM,51.413,0.2291,0.2406
136,06/16/19 02:00:01 AM,50.445,0.2286,0.2414
137,06/16/19 03:00:01 AM,49.516,0.2291,0.2414
138,06/16/19 04:00:01 AM,48.762,0.2286,0.2414
139,06/16/19 05:00:01 AM,48.094,0.2282,0.2418
140,06/16/19 06:00:01 AM,47.422,0.2282,0.2418
141,06/16/19 07:00:01 AM,46.796,0.2277,0.2418
142,06/16/19 08:00:01 AM,46.526,0.2277,0.2418
143,06/16/19 09:00:01 AM,46.886,0.2286,0.2418
144,06/16/19 10:00:01 AM,47.781,0.2277,0.2414
145,06/16/19 11:00:01 AM,49.249,0.2274,0.2410
146,06/16/19 12:00:01 PM,51.062,0.2266,0.2410
147,06/16/19 01:00:01 PM,52.554,0.2262,0.2399
148,06/16/19 02:00:01 PM,53.951,0.2262,0.2399
149,06/16/19 03:00:01 PM,55.342,0.2257,0.2387
150,06/16/19 04:00:01 PM,56.383,0.2262,0.2379
151,06/16/19 05:00:01 PM,57.074,0.2266,0.2379
152,06/16/19 06:00:01 PM,57.247,0.2229,0.2367
153,06/16/19 07:00:01 PM,57.247,0.2219,0.2363
154,06/16/19 08:00:01 PM,56.685,0.2254,0.2355
155,06/16/19 09:00:01 PM,55.733,0.2257,0.2358
156,06/16/19 10:00:01 PM,54.777,0.2249,0.2355
157,06/16/19 11:00:01 PM,53.820,0.2249,0.2358
158,06/17/19 12:00:01 AM,52.860,0.2249,0.2355
159,06/17/19 01:00:01 AM,52.115,0.2245,0.2358
160,06/17/19 02:00:01 AM,51.501,0.2245,0.2358
161,06/17/19 03:00:01 AM,50.929,0.2241,0.2358
162,06/17/19 04:00:01 AM,50.356,0.2237,0.2363
163,06/17/19 05:00:01 AM,49.825,0.2241,0.2363
164,06/17/19 06:00:01 AM,49.383,0.2241,0.2363
165,06/17/19 07:00:01 AM,48.983,0.2245,0.2367
166,06/17/19 08:00:01 AM,48.805,0.2241,0.2367
167,06/17/19 09:00:01 AM,49.028,0.2245,0.2367
168,06/17/19 10:00:01 AM,49.737,0.2245,0.2367
169,06/17/19 11:00:01 AM,50.533,0.2232,0.2358
170,06/17/19 12:00:01 PM,50.797,0.2232,0.2358
171,06/17/19 01:00:01 PM,51.764,0.2232,0.2358
172,06/17/19 02:00:01 PM,53.645,0.2229,0.2347
173,06/17/19 03:00:01 PM,54.300,0.2232,0.2344
174,06/17/19 04:00:01 PM,54.255,0.2232,0.2339
175,06/17/19 05:00:01 PM,54.082,0.2245,0.2339
176,06/17/19 06:00:01 PM,53.994,0.2232,0.2344
177,06/17/19 07:00:01 PM,54.037,0.2245,0.2339
178,06/17/19 08:00:01 PM,53.776,0.2232,0.2339
179,06/17/19 09:00:01 PM,53.166,0.2229,0.2330
180,06/17/19 10:00:01 PM,52.509,0.2229,0.2335
181,06/17/19 11:00:01 PM,51.852,0.2229,0.2330
182,06/18/19 12:00:01 AM,51.237,0.2232,0.2335
183,06/18/19 01:00:01 AM,50.709,0.2229,0.2335
184,06/18/19 02:00:01 AM,50.135,0.2229,0.2335
185,06/18/19 03:00:01 AM,49.649,0.2229,0.2335
186,06/18/19 04:00:01 AM,49.028,0.2241,0.2339
187,06/18/19 05:00:01 AM,48.405,0.2224,0.2339
188,06/18/19 06:00:01 AM,47.871,0.2224,0.2339
189,06/18/19 07:00:01 AM,47.422,0.2224,0.2339
190,06/18/19 08:00:01 AM,47.289,0.2224,0.2344
191,06/18/19 09:00:01 AM,47.602,0.2224,0.2344
192,06/18/19 10:00:01 AM,48.227,0.2224,0.2344
193,06/18/19 11:00:01 AM,48.762,0.2211,0.2344
194,06/18/19 12:00:01 PM,49.294,0.2216,0.2339
195,06/18/19 01:00:01 PM,50.180,0.2216,0.2330
196,06/18/19 02:00:01 PM,50.664,0.2216,0.2339
197,06/18/19 03:00:01 PM,51.148,0.2219,0.2335
198,06/18/19 04:00:01 PM,51.633,0.2219,0.2335
199,06/18/19 05:00:01 PM,51.764,0.2219,0.2335
200,06/18/19 06:00:01 PM,51.764,0.2229,0.2339
201,06/18/19 07:00:01 PM,51.413,0.2237,0.2339
202,06/18/19 08:00:01 PM,50.886,0.2262,0.2355
203,06/18/19 09:00:01 PM,50.268,0.2291,0.2374
204,06/18/19 10:00:01 PM,49.649,0.2303,0.2383
205,06/18/19 11:00:01 PM,49.073,0.2311,0.2399
206,06/19/19 12:00:01 AM,48.493,0.2318,0.2406
207,06/19/19 01:00:01 AM,47.871,0.2327,0.2414
208,06/19/19 02:00:01 AM,47.422,0.2327,0.2425
209,06/19/19 03:00:01 AM,47.019,0.2339,0.2437
