"Plot Title: 20290165_SM_UM_C2_ctrl"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20145933, LBL: UM_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20152221, LBL: UM_Rshrub)","Temp, °F (LGR S/N: 20290165, SEN S/N: 20399282, LBL: UM_Lmeadow)"
98,06/19/19 12:00:01 PM,0.2990,0.2190,52.729
99,06/19/19 01:00:01 PM,0.2994,0.2195,55.256
100,06/19/19 02:00:01 PM,0.3001,0.2195,57.376
101,06/19/19 03:00:01 PM,0.3001,0.2190,59.056
102,06/19/19 04:00:01 PM,0.2997,0.2195,60.174
103,06/19/19 05:00:01 PM,0.3005,0.2195,60.561
104,06/19/19 06:00:01 PM,0.3005,0.2190,60.561
105,06/19/19 07:00:01 PM,0.2994,0.2190,59.873
106,06/19/19 08:00:01 PM,0.2994,0.2190,58.798
107,06/19/19 09:00:01 PM,0.2997,0.2195,57.592
108,06/19/19 10:00:01 PM,0.3001,0.2195,56.340
109,06/19/19 11:00:01 PM,0.3001,0.2198,55.168
110,06/20/19 12:00:01 AM,0.3001,0.2198,54.037
111,06/20/19 01:00:01 AM,0.3005,0.2203,52.992
112,06/20/19 02:00:01 AM,0.3001,0.2203,52.072
113,06/20/19 03:00:01 AM,0.2997,0.2203,51.325
114,06/20/19 04:00:01 AM,0.2997,0.2203,50.533
115,06/20/19 05:00:01 AM,0.2997,0.2203,49.825
116,06/20/19 06:00:01 AM,0.3001,0.2203,49.161
117,06/20/19 07:00:01 AM,0.2997,0.2203,48.583
118,06/20/19 08:00:01 AM,0.3005,0.2203,48.450
119,06/20/19 09:00:01 AM,0.3001,0.2198,49.204
120,06/20/19 10:00:01 AM,0.3001,0.2195,50.709
121,06/20/19 11:00:01 AM,0.3011,0.2190,52.903
122,06/20/19 12:00:01 PM,0.3008,0.2185,55.299
123,06/20/19 01:00:01 PM,0.3008,0.2182,57.290
124,06/20/19 02:00:01 PM,0.3008,0.2177,58.928
125,06/20/19 03:00:01 PM,0.3005,0.2174,59.702
126,06/20/19 04:00:01 PM,0.3008,0.2177,59.830
127,06/20/19 05:00:01 PM,0.2997,0.2174,59.702
128,06/20/19 06:00:01 PM,0.2997,0.2169,59.659
129,06/20/19 07:00:01 PM,0.2994,0.2174,59.056
130,06/20/19 08:00:01 PM,0.2994,0.2174,58.109
131,06/20/19 09:00:01 PM,0.2990,0.2174,57.204
132,06/20/19 10:00:01 PM,0.2997,0.2177,56.208
133,06/20/19 11:00:01 PM,0.3001,0.2182,55.168
134,06/21/19 12:00:01 AM,0.3001,0.2177,54.169
135,06/21/19 01:00:01 AM,0.2997,0.2177,53.298
136,06/21/19 02:00:01 AM,0.2997,0.2174,52.554
137,06/21/19 03:00:01 AM,0.2994,0.2174,51.809
138,06/21/19 04:00:01 AM,0.3001,0.2177,51.017
139,06/21/19 05:00:01 AM,0.2997,0.2177,50.180
140,06/21/19 06:00:01 AM,0.2997,0.2177,49.383
141,06/21/19 07:00:01 AM,0.2997,0.2182,48.672
142,06/21/19 08:00:01 AM,0.2997,0.2177,48.137
143,06/21/19 09:00:01 AM,0.2994,0.2177,48.004
144,06/21/19 10:00:01 AM,0.3001,0.2177,48.583
145,06/21/19 11:00:01 AM,0.2994,0.2169,50.092
146,06/21/19 12:00:01 PM,0.3001,0.2169,52.203
147,06/21/19 01:00:01 PM,0.2994,0.2156,54.387
148,06/21/19 02:00:01 PM,0.2997,0.2156,56.079
149,06/21/19 03:00:01 PM,0.2990,0.2148,57.765
150,06/21/19 04:00:01 PM,0.2994,0.2148,59.099
151,06/21/19 05:00:01 PM,0.2994,0.2143,60.132
152,06/21/19 06:00:01 PM,0.2994,0.2139,60.647
153,06/21/19 07:00:01 PM,0.2990,0.2139,60.346
154,06/21/19 08:00:01 PM,0.2987,0.2139,59.445
155,06/21/19 09:00:01 PM,0.2979,0.2134,58.282
156,06/21/19 10:00:01 PM,0.2984,0.2139,57.074
157,06/21/19 11:00:01 PM,0.2984,0.2134,56.035
158,06/22/19 12:00:01 AM,0.2979,0.2134,55.168
159,06/22/19 01:00:01 AM,0.2987,0.2139,54.300
160,06/22/19 02:00:01 AM,0.2984,0.2143,53.472
161,06/22/19 03:00:01 AM,0.2984,0.2143,52.686
162,06/22/19 04:00:01 AM,0.2973,0.2143,51.940
163,06/22/19 05:00:01 AM,0.2973,0.2156,51.105
164,06/22/19 06:00:01 AM,0.2973,0.2161,50.268
165,06/22/19 07:00:01 AM,0.2966,0.2164,49.516
166,06/22/19 08:00:01 AM,0.2973,0.2169,48.895
167,06/22/19 09:00:01 AM,0.2973,0.2169,48.762
168,06/22/19 10:00:01 AM,0.2973,0.2161,49.692
169,06/22/19 11:00:01 AM,0.2973,0.2156,51.633
170,06/22/19 12:00:01 PM,0.2979,0.2156,53.515
171,06/22/19 01:00:01 PM,0.2976,0.2153,54.561
172,06/22/19 02:00:01 PM,0.2970,0.2153,54.734
173,06/22/19 03:00:01 PM,0.2959,0.2161,54.037
174,06/22/19 04:00:01 PM,0.2959,0.2164,52.903
175,06/22/19 05:00:01 PM,0.2963,0.2169,52.203
176,06/22/19 06:00:01 PM,0.2970,0.2174,51.544
177,06/22/19 07:00:01 PM,0.2966,0.2182,50.311
178,06/22/19 08:00:01 PM,0.2966,0.2190,49.116
179,06/22/19 09:00:01 PM,0.2966,0.2195,48.272
180,06/22/19 10:00:01 PM,0.2966,0.2195,47.602
181,06/22/19 11:00:01 PM,0.2966,0.2203,47.019
182,06/23/19 12:00:01 AM,0.2966,0.2208,46.481
183,06/23/19 01:00:01 AM,0.2970,0.2216,45.941
184,06/23/19 02:00:01 AM,0.2970,0.2224,45.444
185,06/23/19 03:00:01 AM,0.2973,0.2232,44.901
186,06/23/19 04:00:01 AM,0.2970,0.2241,44.355
187,06/23/19 05:00:01 AM,0.2976,0.2245,43.900
188,06/23/19 06:00:01 AM,0.2976,0.2249,43.534
189,06/23/19 07:00:01 AM,0.2976,0.2254,43.167
190,06/23/19 08:00:01 AM,0.2984,0.2257,42.892
191,06/23/19 09:00:01 AM,0.2984,0.2262,42.892
192,06/23/19 10:00:01 AM,0.2987,0.2269,43.214
193,06/23/19 11:00:01 AM,0.2984,0.2269,44.082
194,06/23/19 12:00:01 PM,0.2987,0.2269,45.262
195,06/23/19 01:00:01 PM,0.2994,0.2274,46.571
196,06/23/19 02:00:01 PM,0.2990,0.2269,48.450
197,06/23/19 03:00:01 PM,0.2990,0.2266,50.488
198,06/23/19 04:00:01 PM,0.2990,0.2266,51.940
199,06/23/19 05:00:01 PM,0.3001,0.2269,52.554
200,06/23/19 06:00:01 PM,0.2994,0.2266,53.078
201,06/23/19 07:00:01 PM,0.2997,0.2269,53.078
202,06/23/19 08:00:01 PM,0.2994,0.2269,52.554
203,06/23/19 09:00:01 PM,0.3001,0.2269,51.721
204,06/23/19 10:00:01 PM,0.3001,0.2274,50.752
205,06/23/19 11:00:01 PM,0.3005,0.2274,49.737
206,06/24/19 12:00:01 AM,0.3008,0.2274,48.717
207,06/24/19 01:00:01 AM,0.3001,0.2274,47.781
208,06/24/19 02:00:01 AM,0.3005,0.2274,46.886
209,06/24/19 03:00:01 AM,0.3005,0.2274,46.031
210,06/24/19 04:00:01 AM,0.3005,0.2274,45.217
211,06/24/19 05:00:01 AM,0.3005,0.2274,44.445
212,06/24/19 06:00:01 AM,0.3005,0.2274,43.716
213,06/24/19 07:00:01 AM,0.3008,0.2277,43.030
214,06/24/19 08:00:01 AM,0.3011,0.2274,42.616
215,06/24/19 09:00:01 AM,0.3011,0.2269,43.075
216,06/24/19 10:00:01 AM,0.3008,0.2269,44.582
217,06/24/19 11:00:01 AM,0.3005,0.2266,46.796
218,06/24/19 12:00:01 PM,0.3005,0.2262,49.471
219,06/24/19 01:00:01 PM,0.3005,0.2262,52.246
220,06/24/19 02:00:01 PM,0.3005,0.2254,54.777
221,06/24/19 03:00:01 PM,0.3005,0.2249,56.815
222,06/24/19 04:00:01 PM,0.3005,0.2245,58.195
223,06/24/19 05:00:01 PM,0.3001,0.2241,58.798
224,06/24/19 06:00:01 PM,0.3001,0.2241,58.971
225,06/24/19 07:00:01 PM,0.2997,0.2241,58.541
226,06/24/19 08:00:01 PM,0.2997,0.2241,57.506
227,06/24/19 09:00:01 PM,0.2997,0.2241,56.295
228,06/24/19 10:00:01 PM,0.2997,0.2241,55.038
229,06/24/19 11:00:01 PM,0.2997,0.2241,53.776
230,06/25/19 12:00:01 AM,0.2997,0.2241,52.597
231,06/25/19 01:00:01 AM,0.2997,0.2241,51.544
232,06/25/19 02:00:01 AM,0.2997,0.2241,50.576
233,06/25/19 03:00:01 AM,0.2997,0.2245,49.604
234,06/25/19 04:00:01 AM,0.2997,0.2241,48.672
235,06/25/19 05:00:01 AM,0.2997,0.2241,47.781
236,06/25/19 06:00:01 AM,0.2997,0.2241,46.974
237,06/25/19 07:00:01 AM,0.2997,0.2241,46.166
238,06/25/19 08:00:01 AM,0.2997,0.2241,45.669
239,06/25/19 09:00:01 AM,0.3001,0.2237,46.121
240,06/25/19 10:00:01 AM,0.2997,0.2237,47.467
241,06/25/19 11:00:01 AM,0.2997,0.2229,49.471
242,06/25/19 12:00:01 PM,0.2997,0.2219,51.895
243,06/25/19 01:00:01 PM,0.2994,0.2216,54.212
244,06/25/19 02:00:01 PM,0.2994,0.2211,55.992
245,06/25/19 03:00:01 PM,0.2990,0.2203,57.679
246,06/25/19 04:00:01 PM,0.2987,0.2198,59.142
247,06/25/19 05:00:01 PM,0.2990,0.2195,60.217
248,06/25/19 06:00:01 PM,0.2987,0.2190,60.260
249,06/25/19 07:00:01 PM,0.2984,0.2190,59.572
250,06/25/19 08:00:01 PM,0.2984,0.2195,58.712
251,06/25/19 09:00:01 PM,0.2984,0.2195,57.722
252,06/25/19 10:00:01 PM,0.2979,0.2190,56.556
253,06/25/19 11:00:01 PM,0.2979,0.2190,55.342
254,06/26/19 12:00:01 AM,0.2979,0.2195,54.126
255,06/26/19 01:00:01 AM,0.2979,0.2195,52.992
256,06/26/19 02:00:01 AM,0.2979,0.2195,51.940
257,06/26/19 03:00:01 AM,0.2979,0.2195,50.974
258,06/26/19 04:00:01 AM,0.2976,0.2195,50.092
259,06/26/19 05:00:01 AM,0.2979,0.2195,49.294
260,06/26/19 06:00:01 AM,0.2979,0.2195,48.538
261,06/26/19 07:00:01 AM,0.2979,0.2198,47.781
262,06/26/19 08:00:01 AM,0.2979,0.2198,47.334
263,06/26/19 09:00:01 AM,0.2979,0.2190,47.826
264,06/26/19 10:00:01 AM,0.2984,0.2185,49.116
265,06/26/19 11:00:01 AM,0.2979,0.2182,50.974
