"Plot Title: 20139116_SM_UM_C1_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20145938, LBL: UM_Lshrub)","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20152219, LBL: UM_Rmeadow)","Temp, °F (LGR S/N: 20139116, SEN S/N: 20391814, LBL: UM_Rmeadow)"
98,05/21/19 10:00:01 AM,0.3095,0.2994,35.298
99,05/21/19 11:00:01 AM,0.3095,0.2997,35.249
100,05/21/19 12:00:01 PM,0.3095,0.2997,35.249
101,05/21/19 01:00:01 PM,0.3095,0.2997,35.249
102,05/21/19 02:00:01 PM,0.3095,0.3005,35.249
103,05/21/19 03:00:01 PM,0.3098,0.3008,35.249
104,05/21/19 04:00:01 PM,0.3102,0.3008,35.200
105,05/21/19 05:00:01 PM,0.3110,0.3008,35.152
106,05/21/19 06:00:01 PM,0.3121,0.3011,35.103
107,05/21/19 07:00:01 PM,0.3133,0.3011,35.006
108,05/21/19 08:00:01 PM,0.3140,0.3019,34.957
109,05/21/19 09:00:01 PM,0.3148,0.3019,34.858
110,05/21/19 10:00:01 PM,0.3148,0.3022,34.810
111,05/21/19 11:00:01 PM,0.3151,0.3026,34.761
112,05/22/19 12:00:01 AM,0.3151,0.3029,34.713
113,05/22/19 01:00:01 AM,0.3148,0.3033,34.664
114,05/22/19 02:00:01 AM,0.3148,0.3037,34.615
115,05/22/19 03:00:01 AM,0.3148,0.3040,34.565
116,05/22/19 04:00:01 AM,0.3148,0.3043,34.565
117,05/22/19 05:00:01 AM,0.3144,0.3048,34.516
118,05/22/19 06:00:01 AM,0.3148,0.3043,34.468
119,05/22/19 07:00:01 AM,0.3144,0.3043,34.468
120,05/22/19 08:00:01 AM,0.3144,0.3043,34.468
121,05/22/19 09:00:01 AM,0.3140,0.3051,34.468
122,05/22/19 10:00:01 AM,0.3144,0.3054,34.516
123,05/22/19 11:00:01 AM,0.3144,0.3054,34.565
124,05/22/19 12:00:01 PM,0.3148,0.3054,34.664
125,05/22/19 01:00:01 PM,0.3156,0.3058,34.761
126,05/22/19 02:00:01 PM,0.3168,0.3054,34.957
127,05/22/19 03:00:01 PM,0.3204,0.3080,35.103
128,05/22/19 04:00:01 PM,0.3265,0.3168,35.589
129,05/22/19 05:00:01 PM,0.3317,0.3256,36.217
130,05/22/19 06:00:01 PM,0.3326,0.3256,36.698
131,05/22/19 07:00:01 PM,0.3321,0.3244,37.560
132,05/22/19 08:00:01 PM,0.3308,0.3228,37.609
