Plot Title: 20290164_A2,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229)"
119,5/21/18 9:29,40.672,0.2026,0.2216
120,5/21/18 10:29,42.202,0.202,0.2208
121,5/21/18 11:29,44.263,0.2008,0.2203
122,5/21/18 12:29,46.256,0.2003,0.2203
123,5/21/18 13:29,48.094,0.1999,0.2195
124,5/21/18 14:29,49.204,0.1999,0.2195
125,5/21/18 15:29,49.692,0.199,0.219
126,5/21/18 16:29,50.223,0.199,0.2185
127,5/21/18 17:29,50.797,0.199,0.2177
128,5/21/18 18:29,50.709,0.1994,0.2177
129,5/21/18 19:29,50.268,0.1999,0.2182
130,5/21/18 20:29,49.604,0.2008,0.2177
131,5/21/18 21:29,48.762,0.2012,0.2177
132,5/21/18 22:29,47.826,0.2017,0.2177
133,5/21/18 23:29,46.886,0.2017,0.2182
134,5/22/18 0:29,45.986,0.2017,0.2182
135,5/22/18 1:29,45.127,0.202,0.2185
136,5/22/18 2:29,44.355,0.2017,0.2185
137,5/22/18 3:29,43.534,0.202,0.2182
138,5/22/18 4:29,42.847,0.202,0.2185
139,5/22/18 5:29,42.156,0.2026,0.2185
140,5/22/18 6:29,41.554,0.2026,0.2185
141,5/22/18 7:29,41.137,0.2012,0.2195
142,5/22/18 8:29,41.137,0.2017,0.2195
143,5/22/18 9:29,41.832,0.2017,0.219
144,5/22/18 10:29,43.259,0.2008,0.2185
145,5/22/18 11:29,45.262,0.2003,0.2177
146,5/22/18 12:29,47.064,0.2003,0.2177
147,5/22/18 13:29,48.405,0.1999,0.2174
148,5/22/18 14:29,49.516,0.199,0.2169
149,5/22/18 15:29,50.311,0.199,0.2164
150,5/22/18 16:29,50.621,0.1985,0.2164
151,5/22/18 17:29,50.886,0.1976,0.2139
152,5/22/18 18:29,51.062,0.199,0.2161
153,5/22/18 19:29,50.797,0.1994,0.2156
154,5/22/18 20:29,50.002,0.2003,0.2153
155,5/22/18 21:29,48.938,0.2003,0.2156
156,5/22/18 22:29,47.871,0.2008,0.2156
157,5/22/18 23:29,46.886,0.199,0.2156
158,5/23/18 0:29,45.986,0.1981,0.2161
159,5/23/18 1:29,45.082,0.1981,0.2156
160,5/23/18 2:29,44.263,0.1985,0.2161
161,5/23/18 3:29,43.624,0.1981,0.2161
162,5/23/18 4:29,42.984,0.1985,0.2161
163,5/23/18 5:29,42.433,0.1985,0.2164
164,5/23/18 6:29,41.97,0.1981,0.2169
165,5/23/18 7:29,41.832,0.1972,0.2174
166,5/23/18 8:29,42.202,0.1981,0.2169
167,5/23/18 9:29,43.03,0.1976,0.2169
168,5/23/18 10:29,44.445,0.1967,0.2164
169,5/23/18 11:29,46.346,0.1958,0.2156
170,5/23/18 12:29,48.315,0.1954,0.2153
171,5/23/18 13:29,49.959,0.1945,0.2148
172,5/23/18 14:29,51.501,0.1939,0.2139
173,5/23/18 15:29,53.078,0.1935,0.2134
174,5/23/18 16:29,54.3,0.1935,0.2131
175,5/23/18 17:29,55.125,0.1939,0.2117
176,5/23/18 18:29,55.342,0.1945,0.2122
177,5/23/18 19:29,54.865,0.1948,0.2122
178,5/23/18 20:29,53.776,0.1954,0.2112
179,5/23/18 21:29,52.509,0.1967,0.2109
180,5/23/18 22:29,51.282,0.1967,0.2109
181,5/23/18 23:29,50.092,0.1963,0.2104
182,5/24/18 0:29,48.938,0.1963,0.2109
183,5/24/18 1:29,47.826,0.1967,0.2104
184,5/24/18 2:29,46.796,0.1972,0.2104
185,5/24/18 3:29,45.851,0.1972,0.2109
186,5/24/18 4:29,44.991,0.1972,0.2112
187,5/24/18 5:29,44.173,0.1976,0.2112
188,5/24/18 6:29,43.396,0.1976,0.2112
189,5/24/18 7:29,42.892,0.1976,0.2126
190,5/24/18 8:29,42.8,0.1972,0.2126
191,5/24/18 9:29,43.443,0.1963,0.2122
192,5/24/18 10:29,44.809,0.1954,0.2126
193,5/24/18 11:29,46.571,0.1948,0.2117
194,5/24/18 12:29,48.672,0.1935,0.2109
195,5/24/18 13:29,50.886,0.1932,0.21
196,5/24/18 14:29,52.992,0.1923,0.2092
197,5/24/18 15:29,54.734,0.1898,0.2029
198,5/24/18 16:29,55.992,0.1913,0.2078
199,5/24/18 17:29,56.815,0.1913,0.2073
200,5/24/18 18:29,57.074,0.1917,0.2064
201,5/24/18 19:29,56.642,0.1923,0.2061
202,5/24/18 20:29,55.515,0.1926,0.2052
203,5/24/18 21:29,54.169,0.1923,0.2047
204,5/24/18 22:29,52.772,0.1923,0.2043
205,5/24/18 23:29,51.458,0.1923,0.2047
206,5/25/18 0:29,50.268,0.1923,0.2047
207,5/25/18 1:29,49.161,0.1917,0.2047
208,5/25/18 2:29,48.137,0.1917,0.2052
209,5/25/18 3:29,47.199,0.1917,0.2052
210,5/25/18 4:29,46.346,0.1923,0.2056
211,5/25/18 5:29,45.534,0.1923,0.2052
212,5/25/18 6:29,44.764,0.1923,0.2056
213,5/25/18 7:29,44.263,0.1923,0.2064
214,5/25/18 8:29,44.127,0.1917,0.207
215,5/25/18 9:29,44.809,0.1913,0.207
216,5/25/18 10:29,46.211,0.1904,0.2064
217,5/25/18 11:29,48.137,0.1895,0.2061
218,5/25/18 12:29,50.311,0.1881,0.2047
219,5/25/18 13:29,52.509,0.1872,0.2038
220,5/25/18 14:29,54.516,0.1859,0.202
221,5/25/18 15:29,56.251,0.1853,0.2017
222,5/25/18 16:29,57.549,0.1849,0.2012
223,5/25/18 17:29,58.282,0.1853,0.2012
224,5/25/18 18:29,58.455,0.1859,0.2008
225,5/25/18 19:29,58.023,0.1859,0.1999
226,5/25/18 20:29,56.858,0.1866,0.1985
227,5/25/18 21:29,55.472,0.1872,0.1981
228,5/25/18 22:29,54.037,0.1876,0.1976
229,5/25/18 23:29,52.686,0.1872,0.1976
230,5/26/18 0:29,51.413,0.1881,0.1976
231,5/26/18 1:29,50.223,0.1881,0.1976
232,5/26/18 2:29,49.116,0.1885,0.1981
233,5/26/18 3:29,48.137,0.1885,0.1976
234,5/26/18 4:29,47.154,0.1885,0.1976
235,5/26/18 5:29,46.301,0.1891,0.1985
236,5/26/18 6:29,45.489,0.1891,0.1985
237,5/26/18 7:29,44.946,0.1885,0.2003
238,5/26/18 8:29,44.809,0.1881,0.2008
239,5/26/18 9:29,45.489,0.1872,0.1994
240,5/26/18 10:29,46.841,0.1859,0.1999
241,5/26/18 11:29,48.717,0.1843,0.199
242,5/26/18 12:29,50.576,0.1836,0.1981
243,5/26/18 13:29,51.721,0.1826,0.1972
244,5/26/18 14:29,52.466,0.182,0.1963
245,5/26/18 15:29,53.035,0.1813,0.1954
246,5/26/18 16:29,53.209,0.1813,0.1948
247,5/26/18 17:29,53.078,0.1813,0.1945
248,5/26/18 18:29,52.86,0.1807,0.1945
249,5/26/18 19:29,52.641,0.1803,0.1939
250,5/26/18 20:29,52.115,0.1807,0.1935
251,5/26/18 21:29,51.37,0.1807,0.1926
252,5/26/18 22:29,50.445,0.1816,0.1923
253,5/26/18 23:29,49.561,0.1816,0.1923
254,5/27/18 0:29,48.85,0.1816,0.1917
255,5/27/18 1:29,48.182,0.1816,0.1917
256,5/27/18 2:29,47.512,0.1807,0.1917
257,5/27/18 3:29,46.886,0.1813,0.1917
258,5/27/18 4:29,46.256,0.1813,0.1913
259,5/27/18 5:29,45.579,0.1816,0.1917
260,5/27/18 6:29,44.946,0.1813,0.1913
261,5/27/18 7:29,44.492,0.1807,0.1923
262,5/27/18 8:29,44.445,0.1803,0.1923
263,5/27/18 9:29,45.127,0.1793,0.1917
264,5/27/18 10:29,46.526,0.1775,0.1917
265,5/27/18 11:29,48.36,0.1765,0.1908
266,5/27/18 12:29,50.488,0.1746,0.1891
267,5/27/18 13:29,52.641,0.1738,0.1898
268,5/27/18 14:29,54.648,0.1728,0.1885
269,5/27/18 15:29,56.383,0.1724,0.1881
270,5/27/18 16:29,57.592,0.1724,0.1866
271,5/27/18 17:29,58.239,0.1724,0.1866
272,5/27/18 18:29,58.368,0.1724,0.1862
273,5/27/18 19:29,57.85,0.1732,0.1859
274,5/27/18 20:29,56.772,0.1732,0.184
275,5/27/18 21:29,55.429,0.1738,0.183
276,5/27/18 22:29,54.037,0.1738,0.183
277,5/27/18 23:29,52.729,0.1738,0.1836
278,5/28/18 0:29,51.501,0.1738,0.183
279,5/28/18 1:29,50.356,0.1738,0.1836
280,5/28/18 2:29,49.294,0.1738,0.1836
281,5/28/18 3:29,48.272,0.1738,0.183
282,5/28/18 4:29,47.334,0.1738,0.183
283,5/28/18 5:29,46.436,0.1732,0.1836
284,5/28/18 6:29,45.669,0.1732,0.1843
285,5/28/18 7:29,45.127,0.1728,0.1853
286,5/28/18 8:29,44.991,0.1724,0.1859
287,5/28/18 9:29,45.669,0.1709,0.1866
288,5/28/18 10:29,46.931,0.1695,0.1859
289,5/28/18 11:29,48.405,0.1681,0.1826
290,5/28/18 12:29,49.649,0.1667,0.1816
291,5/28/18 13:29,50.664,0.1663,0.1813
292,5/28/18 14:29,51.809,0.1642,0.1783
293,5/28/18 15:29,53.078,0.1638,0.1789
294,5/28/18 16:29,53.69,0.1634,0.1783
295,5/28/18 17:29,54.082,0.1629,0.1765
296,5/28/18 18:29,54.037,0.1638,0.1783
297,5/28/18 19:29,53.602,0.1634,0.1762
298,5/28/18 20:29,52.817,0.1629,0.1738
299,5/28/18 21:29,51.94,0.1629,0.1732
300,5/28/18 22:29,51.062,0.1629,0.1732
301,5/28/18 23:29,50.092,0.1629,0.1724
302,5/29/18 0:29,49.161,0.1629,0.1724
303,5/29/18 1:29,48.315,0.1623,0.1728
304,5/29/18 2:29,47.467,0.1623,0.1724
305,5/29/18 3:29,46.661,0.1623,0.1724
306,5/29/18 4:29,45.941,0.1634,0.1756
307,5/29/18 5:29,45.217,0.1634,0.1762
308,5/29/18 6:29,44.582,0.1642,0.1775
309,5/29/18 7:29,44.218,0.1623,0.1746
310,5/29/18 8:29,44.218,0.1623,0.1765
311,5/29/18 9:29,44.856,0.1608,0.1742
312,5/29/18 10:29,46.211,0.1596,0.1746
313,5/29/18 11:29,47.871,0.1581,0.1732
314,5/29/18 12:29,49.516,0.157,0.1752
315,5/29/18 13:29,50.886,0.1566,0.1742
316,5/29/18 14:29,52.246,0.1551,0.1714
317,5/29/18 15:29,53.602,0.1547,0.1718
318,5/29/18 16:29,54.952,0.1542,0.1709
319,5/29/18 17:29,55.992,0.1532,0.1699
320,5/29/18 18:29,56.383,0.1532,0.1689
321,5/29/18 19:29,56.079,0.1542,0.1689
322,5/29/18 20:29,55.081,0.1538,0.1667
323,5/29/18 21:29,53.865,0.1542,0.1656
324,5/29/18 22:29,52.554,0.1542,0.1663
325,5/29/18 23:29,51.37,0.1542,0.1663
326,5/30/18 0:29,50.268,0.1538,0.1656
327,5/30/18 1:29,49.249,0.1538,0.1656
328,5/30/18 2:29,48.315,0.1538,0.1656
329,5/30/18 3:29,47.467,0.1542,0.1663
330,5/30/18 4:29,46.616,0.1538,0.1656
331,5/30/18 5:29,45.851,0.1538,0.1667
332,5/30/18 6:29,45.172,0.1532,0.1663
333,5/30/18 7:29,44.764,0.1532,0.1699
334,5/30/18 8:29,44.809,0.1527,0.1677
335,5/30/18 9:29,45.534,0.1523,0.1703
336,5/30/18 10:29,46.886,0.1508,0.1689
337,5/30/18 11:29,48.628,0.149,0.1685
338,5/30/18 12:29,50.621,0.147,0.1667
339,5/30/18 13:29,52.597,0.1455,0.1656
340,5/30/18 14:29,54.387,0.1446,0.1608
341,5/30/18 15:29,55.733,0.1446,0.1615
342,5/30/18 16:29,55.949,0.1446,0.1596
343,5/30/18 17:29,55.213,0.1352,0.1677
344,5/30/18 18:29,54.387,0.1391,0.1671
345,5/30/18 19:29,53.776,0.1405,0.1642
346,5/30/18 20:29,52.992,0.1416,0.1623
347,5/30/18 21:29,51.984,0.143,0.1629
348,5/30/18 22:29,50.886,0.1425,0.1648
349,5/30/18 23:29,49.825,0.1446,0.1648
350,5/31/18 0:29,48.85,0.1455,0.1629
351,5/31/18 1:29,47.959,0.145,0.1629
352,5/31/18 2:29,47.154,0.145,0.1629
353,5/31/18 3:29,46.436,0.1446,0.1623
354,5/31/18 4:29,45.761,0.145,0.1623
355,5/31/18 5:29,45.127,0.1446,0.1623
356,5/31/18 6:29,44.582,0.1446,0.1629
357,5/31/18 7:29,44.173,0.1396,0.1652
358,5/31/18 8:29,44.037,0.143,0.1629
359,5/31/18 9:29,44.719,0.1425,0.16
360,5/31/18 10:29,46.391,0.1412,0.1585
361,5/31/18 11:29,48.717,0.1396,0.1577
362,5/31/18 12:29,51.282,0.1382,0.1566
363,5/31/18 13:29,53.733,0.1375,0.16
364,5/31/18 14:29,55.863,0.1366,0.159
365,5/31/18 15:29,57.549,0.1366,0.1585
366,5/31/18 16:29,58.498,0.1361,0.1562
367,5/31/18 17:29,59.056,0.1361,0.1547
368,5/31/18 18:29,59.056,0.1366,0.1547
369,5/31/18 19:29,58.411,0.1366,0.1542
370,5/31/18 20:29,57.117,0.1366,0.1538
371,5/31/18 21:29,55.69,0.137,0.1532
372,5/31/18 22:29,54.212,0.1342,0.1527
373,5/31/18 23:29,52.817,0.1335,0.1527
374,6/1/18 0:29,51.589,0.1331,0.1527
375,6/1/18 1:29,50.576,0.1331,0.1527
376,6/1/18 2:29,49.825,0.1326,0.1519
377,6/1/18 3:29,49.249,0.1317,0.1503
378,6/1/18 4:29,48.672,0.1312,0.1508
379,6/1/18 5:29,48.049,0.1307,0.1508
380,6/1/18 6:29,47.422,0.1302,0.1514
381,6/1/18 7:29,46.931,0.1307,0.1508
382,6/1/18 8:29,46.796,0.129,0.1514
383,6/1/18 9:29,47.199,0.1285,0.1503
384,6/1/18 10:29,48.182,0.1271,0.149
385,6/1/18 11:29,49.825,0.1261,0.1508
386,6/1/18 12:29,51.984,0.1246,0.1514
387,6/1/18 13:29,54.212,0.1237,0.1499
388,6/1/18 14:29,56.295,0.1229,0.1495
389,6/1/18 15:29,57.765,0.1224,0.1479
390,6/1/18 16:29,58.798,0.1219,0.1479
391,6/1/18 17:29,59.445,0.1224,0.147
392,6/1/18 18:29,59.315,0.1219,0.1446
393,6/1/18 19:29,58.626,0.1224,0.1441
394,6/1/18 20:29,57.42,0.1219,0.1434
395,6/1/18 21:29,56.035,0.1214,0.1421
396,6/1/18 22:29,54.648,0.1219,0.1425
397,6/1/18 23:29,53.384,0.1214,0.1446
398,6/2/18 0:29,52.115,0.1214,0.143
399,6/2/18 1:29,50.929,0.1209,0.1434
400,6/2/18 2:29,49.825,0.1209,0.143
401,6/2/18 3:29,48.762,0.1214,0.145
402,6/2/18 4:29,47.826,0.1209,0.1459
403,6/2/18 5:29,46.931,0.1204,0.1466
404,6/2/18 6:29,46.076,0.1204,0.147
405,6/2/18 7:29,45.534,0.1199,0.1459
406,6/2/18 8:29,45.444,0.1184,0.1441
407,6/2/18 9:29,46.076,0.1174,0.1434
408,6/2/18 10:29,47.512,0.1159,0.1434
409,6/2/18 11:29,49.561,0.1138,0.1421
410,6/2/18 12:29,52.203,0.1122,0.1412
411,6/2/18 13:29,54.648,0.1112,0.1391
412,6/2/18 14:29,56.772,0.1101,0.1375
413,6/2/18 15:29,58.498,0.1101,0.1366
414,6/2/18 16:29,59.788,0.1101,0.1361
415,6/2/18 17:29,60.561,0.1101,0.1357
416,6/2/18 18:29,60.69,0.1096,0.1347
417,6/2/18 19:29,60.089,0.1101,0.1342
418,6/2/18 20:29,58.885,0.1096,0.1331
419,6/2/18 21:29,57.42,0.1096,0.1331
420,6/2/18 22:29,55.906,0.1096,0.1331
421,6/2/18 23:29,54.473,0.1096,0.1321
422,6/3/18 0:29,53.166,0.1085,0.1321
423,6/3/18 1:29,51.984,0.1085,0.1321
424,6/3/18 2:29,50.886,0.108,0.1321
425,6/3/18 3:29,49.914,0.1075,0.1326
426,6/3/18 4:29,48.983,0.1075,0.1326
427,6/3/18 5:29,48.227,0.1069,0.1326
428,6/3/18 6:29,47.647,0.1064,0.1326
429,6/3/18 7:29,47.377,0.1058,0.1331
430,6/3/18 8:29,47.467,0.1053,0.1331
431,6/3/18 9:29,48.049,0.1047,0.1361
432,6/3/18 10:29,49.028,0.1042,0.1361
433,6/3/18 11:29,50.356,0.1031,0.1361
434,6/3/18 12:29,51.589,0.102,0.1357
435,6/3/18 13:29,52.554,0.1014,0.1312
436,6/3/18 14:29,53.472,0.1014,0.1331
437,6/3/18 15:29,54.777,0.1003,0.1317
438,6/3/18 16:29,55.515,0.0998,0.1297
439,6/3/18 17:29,55.342,0.0998,0.1281
440,6/3/18 18:29,54.865,0.0998,0.1276
441,6/3/18 19:29,54.343,0.0998,0.1271
442,6/3/18 20:29,53.69,0.0998,0.1271
443,6/3/18 21:29,52.817,0.0992,0.1266
444,6/3/18 22:29,51.852,0.0986,0.1271
445,6/3/18 23:29,50.841,0.0981,0.1266
446,6/4/18 0:29,49.87,0.0981,0.1266
447,6/4/18 1:29,48.938,0.0981,0.1271
448,6/4/18 2:29,48.049,0.0975,0.1271
449,6/4/18 3:29,47.244,0.0969,0.1271
450,6/4/18 4:29,46.436,0.0969,0.1271
451,6/4/18 5:29,45.714,0.0969,0.1276
452,6/4/18 6:29,45.036,0.0963,0.1276
453,6/4/18 7:29,44.627,0.0963,0.1297
454,6/4/18 8:29,44.674,0.0961,0.1285
455,6/4/18 9:29,45.444,0.0961,0.1271
456,6/4/18 10:29,46.974,0.0949,0.1271
457,6/4/18 11:29,49.073,0.0937,0.1261
458,6/4/18 12:29,51.501,0.0932,0.1246
459,6/4/18 13:29,53.865,0.0926,0.1242
460,6/4/18 14:29,55.949,0.092,0.1224
461,6/4/18 15:29,57.679,0.092,0.1224
462,6/4/18 16:29,59.014,0.092,0.1219
463,6/4/18 17:29,59.788,0.092,0.1214
464,6/4/18 18:29,59.83,0.092,0.1214
465,6/4/18 19:29,59.358,0.0926,0.1209
466,6/4/18 20:29,58.282,0.092,0.1199
467,6/4/18 21:29,56.944,0.092,0.1199
468,6/4/18 22:29,55.558,0.0914,0.1194
469,6/4/18 23:29,54.212,0.0914,0.1194
470,6/5/18 0:29,52.992,0.0908,0.1194
471,6/5/18 1:29,51.852,0.0908,0.1194
472,6/5/18 2:29,50.841,0.0902,0.1194
473,6/5/18 3:29,49.87,0.0896,0.1194
474,6/5/18 4:29,48.983,0.0893,0.1199
475,6/5/18 5:29,48.137,0.0887,0.1194
476,6/5/18 6:29,47.422,0.0887,0.1194
477,6/5/18 7:29,46.974,0.0881,0.1204
478,6/5/18 8:29,46.974,0.0875,0.1199
479,6/5/18 9:29,47.691,0.0869,0.1189
480,6/5/18 10:29,49.249,0.0863,0.1189
481,6/5/18 11:29,51.413,0.0857,0.1179
482,6/5/18 12:29,53.472,0.085,0.1179
483,6/5/18 13:29,55.602,0.0844,0.1169
484,6/5/18 14:29,57.117,0.0841,0.1164
485,6/5/18 15:29,58.582,0.0841,0.1164
486,6/5/18 16:29,59.959,0.0841,0.1159
487,6/5/18 17:29,60.775,0.0841,0.1153
488,6/5/18 18:29,60.991,0.0841,0.1143
489,6/5/18 19:29,60.433,0.0841,0.1133
490,6/5/18 20:29,59.401,0.0835,0.1128
491,6/5/18 21:29,58.109,0.0835,0.1117
492,6/5/18 22:29,56.815,0.0829,0.1122
493,6/5/18 23:29,55.558,0.0822,0.1117
494,6/6/18 0:29,54.255,0.0816,0.1112
495,6/6/18 1:29,53.035,0.081,0.1112
496,6/6/18 2:29,51.895,0.081,0.1107
497,6/6/18 3:29,50.841,0.0803,0.1112
498,6/6/18 4:29,49.825,0.0797,0.1117
499,6/6/18 5:29,48.85,0.0794,0.1112
500,6/6/18 6:29,48.004,0.0794,0.1117
501,6/6/18 7:29,47.557,0.0794,0.1122
502,6/6/18 8:29,47.557,0.0787,0.1117
503,6/6/18 9:29,48.272,0.0781,0.1107
504,6/6/18 10:29,49.692,0.0781,0.1096
505,6/6/18 11:29,51.721,0.0775,0.1096
506,6/6/18 12:29,54.255,0.0775,0.1085
507,6/6/18 13:29,56.469,0.0768,0.1085
508,6/6/18 14:29,57.807,0.0768,0.108
509,6/6/18 15:29,58.971,0.0775,0.1075
510,6/6/18 16:29,59.788,0.0768,0.1085
511,6/6/18 17:29,59.959,0.0768,0.1075
512,6/6/18 18:29,59.702,0.0762,0.1069
513,6/6/18 19:29,59.142,0.0762,0.1053
514,6/6/18 20:29,58.282,0.0758,0.1047
515,6/6/18 21:29,57.16,0.0752,0.1042
516,6/6/18 22:29,55.863,0.0745,0.1042
517,6/6/18 23:29,54.561,0.0745,0.1042
518,6/7/18 0:29,53.341,0.0738,0.1036
519,6/7/18 1:29,52.246,0.0732,0.1036
520,6/7/18 2:29,51.193,0.0725,0.1036
521,6/7/18 3:29,50.223,0.0722,0.1036
522,6/7/18 4:29,49.294,0.0722,0.1036
523,6/7/18 5:29,48.493,0.0722,0.1042
524,6/7/18 6:29,47.871,0.0715,0.1036
525,6/7/18 7:29,47.467,0.0722,0.1042
