Plot Title: 9735543_UpperMontaneB1,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735543, SEN S/N: 2012369)","PAR, uE (LGR S/N: 9735543, SEN S/N: 9700887)","PAR, uE (LGR S/N: 9735543, SEN S/N: 9700895)","PAR, uE (LGR S/N: 9735543, SEN S/N: 9700903)","Temp, °F (LGR S/N: 9735543, SEN S/N: 9713844)","Temp, °F (LGR S/N: 9735543, SEN S/N: 9721336)","RH, % (LGR S/N: 9735543, SEN S/N: 9721336)","Voltage, V (LGR S/N: 9735543, SEN S/N: 9725493)","Solar Radiation, W/m² (LGR S/N: 9735543, SEN S/N: 9734401)","Solar Radiation, W/m² (LGR S/N: 9735543, SEN S/N: 9734413)","Solar Radiation, W/m² (LGR S/N: 9735543, SEN S/N: 9734414)","Water Content, m³/m³ (LGR S/N: 9735543, SEN S/N: 10769159)","Batt, V (LGR S/N: 9735543)"
1,5/4/18 16:00,0.1673,1391.2,23.7,53.7,44.082,46.616,40.2,-0.2039,45.6,721.9,25.6,0.2305,4.454
2,5/4/18 16:10,0.1673,1356.2,46.2,51.2,44.173,50.002,40.9,-0.1988,44.4,689.4,49.4,0.2305,4.4
3,5/4/18 16:20,0.1673,1298.7,46.2,51.2,44.263,51.809,36.8,-0.1988,43.1,661.9,48.1,0.2305,4.393
4,5/4/18 16:30,0.1673,1248.7,43.7,48.7,44.263,48.628,41.2,-0.1988,41.9,635.6,46.9,0.2305,4.4
5,5/4/18 16:40,0.1666,1193.7,41.2,48.7,44.263,50.664,37.1,-0.1988,40.6,608.1,45.6,0.2305,4.406
6,5/4/18 16:50,0.1673,1141.2,38.7,46.2,44.263,53.427,38.7,-0.1988,40.6,583.1,43.1,0.2305,4.393
7,5/4/18 17:00,0.1666,1033.7,36.2,43.7,44.263,48.583,40.4,-0.1988,36.9,525.6,39.4,0.2298,4.418
8,5/4/18 17:10,0.1666,978.7,33.7,41.2,44.218,48.004,41.3,-0.1988,35.6,496.9,38.1,0.2298,4.393
9,5/4/18 17:20,0.1666,888.7,31.2,38.7,44.173,48.182,40,-0.1988,33.1,449.4,34.4,0.2298,4.393
10,5/4/18 17:30,0.1666,823.7,28.7,36.2,44.127,52.115,38.1,-0.1988,31.9,418.1,31.9,0.2298,4.393
11,5/4/18 17:40,0.1666,758.7,26.2,33.7,44.082,52.554,38.4,-0.1988,29.4,388.1,29.4,0.2298,4.43
12,5/4/18 17:50,0.1666,686.2,23.7,31.2,43.99,52.729,39.4,-0.1988,28.1,351.9,26.9,0.2298,4.393
13,5/4/18 18:00,0.1659,633.7,21.2,28.7,43.9,53.994,37.2,-0.1988,26.9,329.4,25.6,0.2298,4.466
14,5/4/18 18:10,0.1659,548.7,18.7,26.2,43.808,49.428,42.3,-0.1988,23.1,283.1,21.9,0.2298,4.4
15,5/4/18 18:20,0.1659,478.7,16.2,23.7,43.716,51.544,39.9,-0.1988,20.6,248.1,19.4,0.2291,4.393
16,5/4/18 18:30,0.1652,416.2,13.7,21.2,43.624,52.947,39.7,-0.1988,18.1,218.1,15.6,0.2291,4.393
17,5/4/18 18:40,0.1652,353.7,11.2,16.2,43.534,50.886,38.6,-0.1988,15.6,185.6,13.1,0.2291,4.393
18,5/4/18 18:50,0.1652,293.7,8.7,13.7,43.443,52.029,40.6,-0.1988,13.1,156.9,10.6,0.2291,4.393
19,5/4/18 19:00,0.1652,221.2,6.2,11.2,43.351,47.914,45.6,-0.1988,9.4,121.9,8.1,0.2291,4.387
20,5/4/18 19:10,0.1644,153.7,3.7,6.2,43.214,46.346,48,-0.1988,5.6,84.4,5.6,0.2291,4.4
21,5/4/18 19:20,0.1644,68.7,1.2,1.2,43.122,40.345,57.2,-0.1988,0.6,23.1,0.6,0.2284,4.393
22,5/4/18 19:30,0.1644,56.2,1.2,1.2,42.984,37.035,64.7,-0.1988,0.6,19.4,0.6,0.2284,4.393
23,5/4/18 19:40,0.1644,41.2,1.2,1.2,42.892,36.505,66.2,-0.1988,0.6,15.6,0.6,0.2276,4.393
24,5/4/18 19:50,0.1644,26.2,1.2,1.2,42.708,35.2,69.3,-0.1988,0.6,9.4,0.6,0.2276,4.393
25,5/4/18 20:00,0.1652,11.2,1.2,1.2,42.616,35.492,67.8,-0.1988,0.6,4.4,0.6,0.2276,4.381
26,5/4/18 20:10,0.1644,1.2,1.2,1.2,42.433,34.858,69,-0.1988,0.6,0.6,0.6,0.2276,4.381
27,5/4/18 20:20,0.1637,1.2,1.2,1.2,42.341,33.584,71.5,-0.1988,0.6,0.6,0.6,0.2276,4.381
28,5/4/18 20:30,0.1637,1.2,1.2,1.2,42.156,32.592,74.2,-0.1988,0.6,0.6,0.6,0.2276,4.369
29,5/4/18 20:40,0.1637,1.2,1.2,1.2,42.017,31.591,76.7,-0.1988,0.6,0.6,0.6,0.2262,4.369
30,5/4/18 20:50,0.1644,1.2,1.2,1.2,41.832,31.791,76.9,-0.1988,0.6,0.6,0.6,0.2276,4.369
31,5/4/18 21:00,0.1644,1.2,1.2,1.2,41.693,31.087,78.7,-0.1988,0.6,0.6,0.6,0.2269,4.363
32,5/4/18 21:10,0.1644,1.2,1.2,1.2,41.508,31.188,77.4,-0.1988,0.6,0.6,0.6,0.2269,4.363
33,5/4/18 21:20,0.1644,1.2,1.2,1.2,41.369,30.479,79.4,-0.1988,0.6,0.6,0.6,0.2262,4.363
34,5/4/18 21:30,0.1644,1.2,1.2,1.2,41.23,29.917,81.6,-0.1988,0.6,0.6,0.6,0.2269,4.363
35,5/4/18 21:40,0.1644,1.2,1.2,1.2,41.043,29.097,82.2,-0.1988,0.6,0.6,0.6,0.2269,4.363
36,5/4/18 21:50,0.1644,1.2,1.2,1.2,40.905,29.97,82.5,-0.1988,0.6,0.6,0.6,0.2262,4.363
37,5/4/18 22:00,0.1644,1.2,1.2,1.2,40.764,30.173,80.7,-0.1988,0.6,0.6,0.6,0.2262,4.363
38,5/4/18 22:10,0.1637,1.2,1.2,1.2,40.579,29.662,79.9,-0.1988,0.6,0.6,0.6,0.2262,4.363
39,5/4/18 22:20,0.1644,1.2,1.2,1.2,40.438,30.123,80.5,-0.1988,0.6,0.6,0.6,0.2262,4.363
40,5/4/18 22:30,0.1637,1.2,1.2,1.2,40.298,30.072,78.9,-0.1988,0.6,0.6,0.6,0.2262,4.363
41,5/4/18 22:40,0.163,1.2,1.2,1.2,40.111,30.072,80.8,-0.1988,0.6,0.6,0.6,0.2254,4.357
42,5/4/18 22:50,0.163,1.2,1.2,1.2,39.97,28.735,81.3,-0.1988,0.6,0.6,0.6,0.2254,4.351
43,5/4/18 23:00,0.1623,1.2,1.2,1.2,39.83,28.008,84,-0.1988,0.6,0.6,0.6,0.2254,4.351
44,5/4/18 23:10,0.1623,1.2,1.2,1.2,39.643,28.839,81.6,-0.1988,0.6,0.6,0.6,0.2254,4.351
45,5/4/18 23:20,0.1623,1.2,1.2,1.2,39.549,28.476,82.9,-0.1988,0.6,0.6,0.6,0.2254,4.351
46,5/4/18 23:30,0.1623,1.2,1.2,1.2,39.407,29.611,80.7,-0.1988,0.6,0.6,0.6,0.2247,4.351
47,5/4/18 23:40,0.1615,1.2,1.2,1.2,39.267,28.216,83.4,-0.1988,0.6,0.6,0.6,0.2247,4.351
48,5/4/18 23:50,0.1615,1.2,1.2,1.2,39.078,27.694,83.3,-0.1988,0.6,0.6,0.6,0.2254,4.351
49,5/5/18 0:00,0.1615,1.2,1.2,1.2,38.984,26.854,85.4,-0.1988,0.6,0.6,0.6,0.2254,4.351
50,5/5/18 0:10,0.1615,1.2,1.2,1.2,38.842,26.96,83.6,-0.1988,0.6,0.6,0.6,0.2254,4.351
51,5/5/18 0:20,0.1615,1.2,1.2,1.2,38.7,27.171,85.4,-0.1988,0.6,0.6,0.6,0.2247,4.345
52,5/5/18 0:30,0.1608,1.2,1.2,1.2,38.606,26.96,85.8,-0.1988,0.6,0.6,0.6,0.2247,4.345
53,5/5/18 0:40,0.1608,1.2,1.2,1.2,38.415,27.433,83.2,-0.1988,0.6,0.6,0.6,0.2247,4.345
54,5/5/18 0:50,0.1615,1.2,1.2,1.2,38.322,27.381,82.4,-0.1988,0.6,0.6,0.6,0.2247,4.345
55,5/5/18 1:00,0.1608,1.2,1.2,1.2,38.179,26.006,84.3,-0.1988,0.6,0.6,0.6,0.224,4.345
56,5/5/18 1:10,0.1608,1.2,1.2,1.2,38.084,27.486,81.4,-0.1988,0.6,0.6,0.6,0.224,4.339
57,5/5/18 1:20,0.1608,1.2,1.2,1.2,37.942,25.632,85.5,-0.1988,0.6,0.6,0.6,0.224,4.339
58,5/5/18 1:30,0.1608,1.2,1.2,1.2,37.846,26.164,81.7,-0.1988,0.6,0.6,0.6,0.224,4.339
59,5/5/18 1:40,0.1608,1.2,1.2,1.2,37.702,27.064,82.8,-0.1988,0.6,0.6,0.6,0.224,4.339
60,5/5/18 1:50,0.1601,1.2,1.2,1.2,37.609,26.643,83,-0.1988,0.6,0.6,0.6,0.2233,4.339
61,5/5/18 2:00,0.1601,1.2,1.2,1.2,37.513,26.058,83.6,-0.1988,0.6,0.6,0.6,0.2233,4.339
62,5/5/18 2:10,0.1601,1.2,1.2,1.2,37.369,25.041,86.4,-0.1988,0.6,0.6,0.6,0.2233,4.339
63,5/5/18 2:20,0.1594,1.2,1.2,1.2,37.274,25.363,84.7,-0.1988,0.6,0.6,0.6,0.2233,4.339
64,5/5/18 2:30,0.1594,1.2,1.2,1.2,37.179,24.499,86.8,-0.1988,0.6,0.6,0.6,0.2233,4.339
65,5/5/18 2:40,0.1594,1.2,1.2,1.2,37.081,25.524,84.9,-0.1988,0.6,0.6,0.6,0.2233,4.339
66,5/5/18 2:50,0.1594,1.2,1.2,1.2,36.986,25.578,84.9,-0.1988,0.6,0.6,0.6,0.2225,4.339
67,5/5/18 3:00,0.1586,1.2,1.2,1.2,36.891,25.201,86.7,-0.1988,0.6,0.6,0.6,0.2225,4.339
68,5/5/18 3:10,0.1586,1.2,1.2,1.2,36.795,24.879,87.9,-0.1988,0.6,0.6,0.6,0.2225,4.339
69,5/5/18 3:20,0.1586,1.2,1.2,1.2,36.698,25.632,84,-0.1988,0.6,0.6,0.6,0.2225,4.339
70,5/5/18 3:30,0.1586,1.2,1.2,1.2,36.603,24.445,87,-0.1988,0.6,0.6,0.6,0.2225,4.339
71,5/5/18 3:40,0.1586,1.2,1.2,1.2,36.554,24.01,88.9,-0.1988,0.6,0.6,0.6,0.2225,4.339
72,5/5/18 3:50,0.1579,1.2,1.2,1.2,36.459,24.933,88.1,-0.1988,0.6,0.6,0.6,0.2225,4.339
73,5/5/18 4:00,0.1586,1.2,1.2,1.2,36.361,23.572,87.8,-0.1988,0.6,0.6,0.6,0.2225,4.339
74,5/5/18 4:10,0.1579,1.2,1.2,1.2,36.313,24.228,86.8,-0.1988,0.6,0.6,0.6,0.2218,4.339
75,5/5/18 4:20,0.1579,1.2,1.2,1.2,36.217,24.663,85.1,-0.1988,0.6,0.6,0.6,0.2225,4.339
76,5/5/18 4:30,0.1572,1.2,1.2,1.2,36.169,23.463,88.3,-0.1988,0.6,0.6,0.6,0.2225,4.363
